filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
BTbn-ord-A#0-ff.wav,BTbn,ord,A#0,ff,22,781.5,1772.0,,976.0,624.5,430.7,527.6
BTbn-ord-A#0-mf.wav,BTbn,ord,A#0,mf,22,612.5,1690.4,,1033.8,430.7,409.1,516.8
BTbn-ord-A#0-pp.wav,BTbn,ord,A#0,pp,22,1432.0,,,1094.2,,269.2,204.6
BTbn-ord-A#1-f.wav,BTbn,ord,A#1,f,34,1262.1,2941.3,,1132.5,904.4,990.5,1324.3
BTbn-ord-A#1-ff.wav,BTbn,ord,A#1,ff,34,1270.9,3023.6,,1136.1,893.6,1356.6,1324.3
BTbn-ord-A#1-mf.wav,BTbn,ord,A#1,mf,34,919.7,1987.0,3005.9,1008.0,796.7,495.3,495.3
BTbn-ord-A#1-pp.wav,BTbn,ord,A#1,pp,34,627.1,1705.1,,899.7,570.6,516.8,527.6
BTbn-ord-A#2-f.wav,BTbn,ord,A#2,f,46,1125.9,2815.3,,1083.5,829.0,947.5,506.0
BTbn-ord-A#2-ff.wav,BTbn,ord,A#2,ff,46,1215.5,2987.5,,1122.8,850.6,969.0,1022.8
BTbn-ord-A#2-mf.wav,BTbn,ord,A#2,mf,46,1088.0,2304.1,3950.5,1101.7,839.8,958.2,1022.8
BTbn-ord-A#2-pp.wav,BTbn,ord,A#2,pp,46,358.3,,,814.4,150.7,2885.4,527.6
BTbn-ord-A#3-f.wav,BTbn,ord,A#3,f,58,1132.5,2907.2,,1041.3,818.3,947.5,829.0
BTbn-ord-A#3-ff.wav,BTbn,ord,A#3,ff,58,1209.3,3069.6,,1062.5,839.8,958.2,796.7
BTbn-ord-A#3-mf.wav,BTbn,ord,A#3,mf,58,996.9,2220.2,3987.8,1018.5,818.3,958.2,818.3
BTbn-ord-A#3-pp.wav,BTbn,ord,A#3,pp,58,577.6,3223.0,,839.4,656.8,473.7,506.0
BTbn-ord-A#4-ff.wav,BTbn,ord,A#4,ff,70,928.8,2255.7,3030.3,1114.2,807.5,689.1,484.5
BTbn-ord-A#4-mf.wav,BTbn,ord,A#4,mf,70,596.3,1667.2,,1066.2,775.2,656.8,484.5
BTbn-ord-A#4-pp.wav,BTbn,ord,A#4,pp,70,557.1,3905.0,,987.5,721.4,602.9,463.0
BTbn-ord-A1-f.wav,BTbn,ord,A1,f,33,1156.3,2675.6,,1074.5,861.3,893.6,775.2
BTbn-ord-A1-ff.wav,BTbn,ord,A1,ff,33,1300.2,3092.6,,1129.6,882.9,904.4,775.2
BTbn-ord-A1-mf.wav,BTbn,ord,A1,mf,33,1090.5,2181.2,,1065.6,818.3,958.2,786.0
BTbn-ord-A2-f.wav,BTbn,ord,A2,f,45,1167.8,2771.1,,1105.1,850.6,958.2,753.7
BTbn-ord-A2-ff.wav,BTbn,ord,A2,ff,45,1222.6,2888.1,,1141.2,882.9,979.8,1033.6
BTbn-ord-A2-mf.wav,BTbn,ord,A2,mf,45,1169.5,2374.7,,1108.8,861.3,925.9,786.0
BTbn-ord-A3-f.wav,BTbn,ord,A3,f,57,1172.4,2574.3,,1070.9,818.3,925.9,775.2
BTbn-ord-A3-ff.wav,BTbn,ord,A3,ff,57,1275.6,2998.1,,1127.7,839.8,936.7,786.0
BTbn-ord-A3-mf.wav,BTbn,ord,A3,mf,57,974.4,2152.0,3890.4,1054.0,807.5,915.2,818.3
BTbn-ord-B1-f.wav,BTbn,ord,B1,f,35,1270.8,2929.4,,1141.7,861.3,925.9,807.5
BTbn-ord-B1-ff.wav,BTbn,ord,B1,ff,35,1361.1,3255.5,,1163.7,861.3,947.5,850.6
BTbn-ord-B1-mf.wav,BTbn,ord,B1,mf,35,1112.4,2222.3,3880.6,1115.5,829.0,915.2,807.5
BTbn-ord-B2-f.wav,BTbn,ord,B2,f,47,1210.1,3073.0,,1098.1,839.8,947.5,796.7
BTbn-ord-B2-ff.wav,BTbn,ord,B2,ff,47,1295.9,3354.5,,1108.7,861.3,969.0,1001.3
BTbn-ord-B2-mf.wav,BTbn,ord,B2,mf,47,1256.3,2761.1,,1097.6,850.6,947.5,1012.1
BTbn-ord-B3-f.wav,BTbn,ord,B3,f,59,1238.7,2945.6,,1149.0,839.8,947.5,829.0
BTbn-ord-B3-ff.wav,BTbn,ord,B3,ff,59,1279.1,2979.1,,1182.1,872.1,969.0,979.8
BTbn-ord-B3-mf.wav,BTbn,ord,B3,mf,59,1037.9,2379.1,,1080.0,829.0,947.5,764.4
BTbn-ord-C#1-ff.wav,BTbn,ord,C#1,ff,25,768.5,1788.5,,952.4,667.5,441.4,366.1
BTbn-ord-C#1-mf.wav,BTbn,ord,C#1,mf,25,618.6,1922.0,,981.1,527.6,419.9,516.8
BTbn-ord-C#1-pp.wav,BTbn,ord,C#1,pp,25,854.6,1666.0,,1024.4,,1485.8,204.6
BTbn-ord-C#2-f.wav,BTbn,ord,C#2,f,37,1280.9,2967.6,,1146.3,904.4,1464.3,775.2
BTbn-ord-C#2-ff.wav,BTbn,ord,C#2,ff,37,1328.3,3166.0,,1145.5,861.3,936.7,775.2
BTbn-ord-C#2-mf.wav,BTbn,ord,C#2,mf,37,906.2,1984.9,3264.0,1014.2,775.2,463.0,495.3
BTbn-ord-C#2-pp.wav,BTbn,ord,C#2,pp,37,657.1,670.2,,846.3,527.6,495.3,527.6
BTbn-ord-C#3-f.wav,BTbn,ord,C#3,f,49,1121.4,2735.8,,1082.0,807.5,936.7,753.7
BTbn-ord-C#3-ff.wav,BTbn,ord,C#3,ff,49,1228.3,3176.3,,1113.2,829.0,947.5,775.2
BTbn-ord-C#3-mf.wav,BTbn,ord,C#3,mf,49,1137.6,2472.7,,1088.7,818.3,947.5,775.2
BTbn-ord-C#3-pp.wav,BTbn,ord,C#3,pp,49,634.9,689.3,,856.1,635.2,559.9,538.3
BTbn-ord-C#4-f.wav,BTbn,ord,C#4,f,61,1143.3,2869.7,3265.3,1140.9,818.3,484.5,559.9
BTbn-ord-C#4-ff.wav,BTbn,ord,C#4,ff,61,1160.1,2771.3,2919.9,1166.0,839.8,958.2,559.9
BTbn-ord-C#4-mf.wav,BTbn,ord,C#4,mf,61,1100.9,2380.5,,1122.9,818.3,915.2,839.8
BTbn-ord-C#4-pp.wav,BTbn,ord,C#4,pp,61,773.9,3114.9,,912.5,721.4,516.8,570.6
BTbn-ord-C#5-ff.wav,BTbn,ord,C#5,ff,73,589.6,2229.3,3522.0,1300.3,786.0,592.2,549.1
BTbn-ord-C#5-mf.wav,BTbn,ord,C#5,mf,73,559.4,1853.3,,1179.5,732.1,624.5,570.6
BTbn-ord-C#5-pp.wav,BTbn,ord,C#5,pp,73,554.3,2603.7,,1128.2,710.6,635.2,559.9
BTbn-ord-C2-f.wav,BTbn,ord,C2,f,36,1182.1,2769.1,,1118.3,818.3,452.2,764.4
BTbn-ord-C2-ff.wav,BTbn,ord,C2,ff,36,1329.0,3112.2,,1137.5,829.0,419.9,775.2
BTbn-ord-C2-mf.wav,BTbn,ord,C2,mf,36,887.8,2068.7,3438.4,1023.2,786.0,419.9,495.3
BTbn-ord-C3-f.wav,BTbn,ord,C3,f,48,1140.4,2998.1,,1062.7,818.3,936.7,775.2
BTbn-ord-C3-ff.wav,BTbn,ord,C3,ff,48,1281.0,3068.9,,1126.4,882.9,979.8,1055.1
BTbn-ord-C3-mf.wav,BTbn,ord,C3,mf,48,1198.4,2361.5,,1119.6,850.6,969.0,1044.4
BTbn-ord-C4-f.wav,BTbn,ord,C4,f,60,1163.2,2392.3,3882.6,1094.1,839.8,969.0,829.0
BTbn-ord-C4-ff.wav,BTbn,ord,C4,ff,60,1193.9,3024.5,,1124.2,850.6,969.0,850.6
BTbn-ord-C4-mf.wav,BTbn,ord,C4,mf,60,1055.8,2458.8,,1072.7,818.3,936.7,839.8
BTbn-ord-D#1-f.wav,BTbn,ord,D#1,f,27,1252.7,3078.6,,1135.1,872.1,990.5,473.7
BTbn-ord-D#1-ff.wav,BTbn,ord,D#1,ff,27,1318.3,3287.7,,1148.2,839.8,452.2,484.5
BTbn-ord-D#1-mf.wav,BTbn,ord,D#1,mf,27,1013.5,2110.8,3448.7,1064.7,807.5,419.9,764.4
BTbn-ord-D#2-f.wav,BTbn,ord,D#2,f,39,1026.9,2223.0,3786.9,1039.0,807.5,925.9,775.2
BTbn-ord-D#2-ff.wav,BTbn,ord,D#2,ff,39,1052.9,2314.5,,1054.8,839.8,947.5,786.0
BTbn-ord-D#2-mf.wav,BTbn,ord,D#2,mf,39,1057.8,2198.0,3838.7,1069.9,829.0,936.7,775.2
BTbn-ord-D#3-f.wav,BTbn,ord,D#3,f,51,1255.8,2903.2,,1081.8,861.3,904.4,775.2
BTbn-ord-D#3-ff.wav,BTbn,ord,D#3,ff,51,1321.4,3018.2,,1136.2,882.9,969.0,1012.1
BTbn-ord-D#3-mf.wav,BTbn,ord,D#3,mf,51,1118.6,2417.4,,1072.0,829.0,915.2,775.2
BTbn-ord-D#4-f.wav,BTbn,ord,D#4,f,63,1153.7,2591.7,,985.3,829.0,925.9,936.7
BTbn-ord-D#4-ff.wav,BTbn,ord,D#4,ff,63,1483.6,3291.5,,1186.6,861.3,979.8,1248.9
BTbn-ord-D#4-mf.wav,BTbn,ord,D#4,mf,63,1064.8,2263.6,,1006.8,829.0,947.5,936.7
BTbn-ord-D2-f.wav,BTbn,ord,D2,f,38,1046.5,2318.6,3705.4,1086.5,818.3,947.5,506.0
BTbn-ord-D2-ff.wav,BTbn,ord,D2,ff,38,1262.2,3069.9,,1138.3,872.1,925.9,1033.6
BTbn-ord-D2-mf.wav,BTbn,ord,D2,mf,38,924.8,2005.5,3657.4,1020.9,786.0,904.4,753.7
BTbn-ord-D3-f.wav,BTbn,ord,D3,f,50,1201.8,2898.3,,1142.0,882.9,958.2,796.7
BTbn-ord-D3-ff.wav,BTbn,ord,D3,ff,50,1268.0,2997.4,,1171.8,872.1,958.2,1012.1
BTbn-ord-D3-mf.wav,BTbn,ord,D3,mf,50,1135.9,2486.4,,1102.1,850.6,958.2,1022.8
BTbn-ord-D4-f.wav,BTbn,ord,D4,f,62,1051.3,2521.2,,1136.0,829.0,947.5,882.9
BTbn-ord-D4-ff.wav,BTbn,ord,D4,ff,62,1188.8,2736.7,,1181.5,850.6,958.2,882.9
BTbn-ord-D4-mf.wav,BTbn,ord,D4,mf,62,1091.7,2167.1,,1149.4,829.0,947.5,882.9
BTbn-ord-E1-f.wav,BTbn,ord,E1,f,28,1251.8,3116.3,,1115.0,850.6,947.5,764.4
BTbn-ord-E1-ff.wav,BTbn,ord,E1,ff,28,1261.0,3231.3,,1123.5,839.8,915.2,764.4
BTbn-ord-E1-mf.wav,BTbn,ord,E1,mf,28,938.8,1971.1,3516.6,1056.5,807.5,441.4,473.7
BTbn-ord-E1-pp.wav,BTbn,ord,E1,pp,28,1550.3,,,1079.9,,301.5,204.6
BTbn-ord-E2-f.wav,BTbn,ord,E2,f,40,1130.5,2464.6,3952.2,1104.1,829.0,979.8,1022.8
BTbn-ord-E2-ff.wav,BTbn,ord,E2,ff,40,986.5,2635.5,,1057.9,818.3,484.5,495.3
BTbn-ord-E2-mf.wav,BTbn,ord,E2,mf,40,1131.2,2384.7,,1095.5,818.3,947.5,786.0
BTbn-ord-E2-pp.wav,BTbn,ord,E2,pp,40,635.7,,,846.3,506.0,506.0,527.6
BTbn-ord-E3-f.wav,BTbn,ord,E3,f,52,1155.3,2779.6,,1044.5,839.8,893.6,764.4
BTbn-ord-E3-ff.wav,BTbn,ord,E3,ff,52,1305.8,2989.4,,1074.8,872.1,925.9,764.4
BTbn-ord-E3-mf.wav,BTbn,ord,E3,mf,52,1086.4,2290.0,,1046.4,839.8,915.2,786.0
BTbn-ord-E3-pp.wav,BTbn,ord,E3,pp,52,671.0,814.2,,821.3,646.0,570.6,516.8
BTbn-ord-E4-ff.wav,BTbn,ord,E4,ff,64,1268.1,2968.6,3972.1,1022.5,829.0,915.2,1001.3
BTbn-ord-E4-mf.wav,BTbn,ord,E4,mf,64,708.0,1439.0,,836.5,764.4,656.8,667.5
BTbn-ord-E4-pp.wav,BTbn,ord,E4,pp,64,711.6,749.7,,757.8,732.1,635.2,646.0
BTbn-ord-E5-ff.wav,BTbn,ord,E5,ff,76,1199.3,2229.5,,1004.0,818.3,678.3,667.5
BTbn-ord-E5-mf.wav,BTbn,ord,E5,mf,76,957.8,2283.2,,844.6,786.0,656.8,646.0
BTbn-ord-E5-pp.wav,BTbn,ord,E5,pp,76,674.6,2562.8,,717.6,764.4,678.3,667.5
BTbn-ord-F#1-f.wav,BTbn,ord,F#1,f,30,1112.2,2528.7,,1083.1,829.0,947.5,796.7
BTbn-ord-F#1-ff.wav,BTbn,ord,F#1,ff,30,1262.4,3143.7,,1116.4,850.6,958.2,775.2
BTbn-ord-F#1-mf.wav,BTbn,ord,F#1,mf,30,952.1,2040.1,3400.9,1032.3,786.0,452.2,484.5
BTbn-ord-F#2-f.wav,BTbn,ord,F#2,f,42,1176.8,2668.2,,1125.0,850.6,979.8,1076.7
BTbn-ord-F#2-ff.wav,BTbn,ord,F#2,ff,42,1222.9,2991.8,,1139.0,882.9,990.5,1098.2
BTbn-ord-F#2-mf.wav,BTbn,ord,F#2,mf,42,1119.6,2393.5,,1099.2,839.8,947.5,796.7
BTbn-ord-F#3-f.wav,BTbn,ord,F#3,f,54,1261.0,2825.8,,1131.7,839.8,947.5,764.4
BTbn-ord-F#3-ff.wav,BTbn,ord,F#3,ff,54,1359.2,3223.0,,1185.5,882.9,1485.8,1324.3
BTbn-ord-F#3-mf.wav,BTbn,ord,F#3,mf,54,1070.9,2407.8,,1046.7,807.5,904.4,764.4
BTbn-ord-F1-f.wav,BTbn,ord,F1,f,29,1210.7,2911.6,,1110.7,850.6,947.5,796.7
BTbn-ord-F1-ff.wav,BTbn,ord,F1,ff,29,1289.7,3405.0,,1120.1,839.8,915.2,796.7
BTbn-ord-F1-mf.wav,BTbn,ord,F1,mf,29,1152.3,2363.2,,1094.1,839.8,958.2,786.0
BTbn-ord-F2-f.wav,BTbn,ord,F2,f,41,1137.8,2703.3,,1071.6,829.0,969.0,1044.4
BTbn-ord-F2-ff.wav,BTbn,ord,F2,ff,41,1033.1,2599.2,,1047.5,829.0,969.0,1044.4
BTbn-ord-F2-mf.wav,BTbn,ord,F2,mf,41,1130.3,2422.8,,1084.5,829.0,419.9,1055.1
BTbn-ord-F3-f.wav,BTbn,ord,F3,f,53,1203.4,2837.3,,1092.9,861.3,915.2,775.2
BTbn-ord-F3-ff.wav,BTbn,ord,F3,ff,53,1250.9,2811.4,,1126.8,872.1,969.0,1302.8
BTbn-ord-F3-mf.wav,BTbn,ord,F3,mf,53,1028.2,2321.3,,1066.5,850.6,947.5,807.5
BTbn-ord-G#1-f.wav,BTbn,ord,G#1,f,32,1181.7,2825.9,,1084.2,839.8,452.2,775.2
BTbn-ord-G#1-ff.wav,BTbn,ord,G#1,ff,32,1228.3,3064.2,,1119.4,850.6,947.5,775.2
BTbn-ord-G#1-mf.wav,BTbn,ord,G#1,mf,32,908.6,2043.8,,1016.0,775.2,430.7,473.7
BTbn-ord-G#2-f.wav,BTbn,ord,G#2,f,44,1056.4,2408.8,,1059.4,818.3,936.7,775.2
BTbn-ord-G#2-ff.wav,BTbn,ord,G#2,ff,44,1242.0,2987.5,,1123.4,861.3,979.8,1044.4
BTbn-ord-G#2-mf.wav,BTbn,ord,G#2,mf,44,1154.6,2323.7,,1100.2,839.8,936.7,775.2
BTbn-ord-G#3-f.wav,BTbn,ord,G#3,f,56,1099.7,2535.9,,1057.4,818.3,441.4,473.7
BTbn-ord-G#3-ff.wav,BTbn,ord,G#3,ff,56,1220.5,2915.6,,1082.4,850.6,969.0,775.2
BTbn-ord-G#3-mf.wav,BTbn,ord,G#3,mf,56,963.5,2140.8,3897.3,1012.0,818.3,925.9,796.7
BTbn-ord-G1-f.wav,BTbn,ord,G1,f,31,1049.2,2249.6,,1069.8,807.5,484.5,495.3
BTbn-ord-G1-ff.wav,BTbn,ord,G1,ff,31,1377.8,3385.3,,1148.1,850.6,958.2,1335.1
BTbn-ord-G1-mf.wav,BTbn,ord,G1,mf,31,854.2,1806.8,,1020.9,786.0,452.2,484.5
BTbn-ord-G1-pp.wav,BTbn,ord,G1,pp,31,676.8,1423.3,,899.8,592.2,452.2,527.6
BTbn-ord-G2-f.wav,BTbn,ord,G2,f,43,1159.8,2425.2,3975.0,1136.4,829.0,430.7,484.5
BTbn-ord-G2-ff.wav,BTbn,ord,G2,ff,43,1245.7,2928.6,,1155.7,850.6,441.4,495.3
BTbn-ord-G2-mf.wav,BTbn,ord,G2,mf,43,1165.2,2453.6,,1112.4,861.3,979.8,1044.4
BTbn-ord-G2-pp.wav,BTbn,ord,G2,pp,43,575.5,,,837.5,441.4,463.0,549.1
BTbn-ord-G3-f.wav,BTbn,ord,G3,f,55,1178.6,2915.2,,1131.5,839.8,936.7,775.2
BTbn-ord-G3-ff.wav,BTbn,ord,G3,ff,55,1250.0,2986.7,,1162.4,850.6,947.5,775.2
BTbn-ord-G3-mf.wav,BTbn,ord,G3,mf,55,1181.3,2324.9,,1146.2,807.5,925.9,775.2
BTbn-ord-G3-pp.wav,BTbn,ord,G3,pp,55,671.0,687.5,,780.4,635.2,473.7,506.0
BTbn-ord-G4-ff.wav,BTbn,ord,G4,ff,67,996.7,2849.0,,1093.1,786.0,872.1,419.9
BTbn-ord-G4-mf.wav,BTbn,ord,G4,mf,67,581.1,1339.1,1650.7,1019.5,753.7,559.9,409.1
BTbn-ord-G4-pp.wav,BTbn,ord,G4,pp,67,410.5,1758.8,,979.9,635.2,484.5,398.4
