filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Bn-ord-A#1-ff-N-N.wav,Bn,ord,A#1,ff,34,601.7,1823.9,,1053.9,1722.7,1281.2,1238.2
Bn-ord-A#1-mf-N-N.wav,Bn,ord,A#1,mf,34,524.4,1737.8,,991.8,1733.4,463.0,484.5
Bn-ord-A#1-pp-N-N.wav,Bn,ord,A#1,pp,34,495.1,2003.1,,884.0,1787.3,441.4,193.8
Bn-ord-A#2-ff-N-N.wav,Bn,ord,A#2,ff,46,600.7,2101.3,,1089.3,635.2,538.3,559.9
Bn-ord-A#2-mf-N-T11u.wav,Bn,ord,A#2,mf,46,572.2,1967.9,,1065.1,602.9,516.8,516.8
Bn-ord-A#2-pp-N-N.wav,Bn,ord,A#2,pp,46,551.5,2076.0,,988.6,570.6,516.8,516.8
Bn-ord-A#3-ff-N-N.wav,Bn,ord,A#3,ff,58,671.4,1659.1,,1042.4,721.4,495.3,516.8
Bn-ord-A#3-mf-N-N.wav,Bn,ord,A#3,mf,58,521.3,1635.9,,988.1,667.5,516.8,516.8
Bn-ord-A#3-pp-N-N.wav,Bn,ord,A#3,pp,58,516.1,3867.7,,875.8,613.7,516.8,495.3
Bn-ord-A#4-ff-N-T11u.wav,Bn,ord,A#4,ff,70,880.4,2868.1,,976.7,753.7,624.5,936.7
Bn-ord-A#4-mf-N-T14u.wav,Bn,ord,A#4,mf,70,897.3,3308.7,,956.7,699.8,602.9,495.3
Bn-ord-A#4-pp-N-T13u.wav,Bn,ord,A#4,pp,70,898.3,3976.9,,954.6,678.3,581.4,484.5
Bn-ord-A2-ff-N-T11d.wav,Bn,ord,A2,ff,45,686.2,1602.2,,1058.0,699.8,495.3,538.3
Bn-ord-A2-mf-N-N.wav,Bn,ord,A2,mf,45,599.1,1646.4,,985.8,678.3,527.6,538.3
Bn-ord-A2-pp-N-N.wav,Bn,ord,A2,pp,45,569.3,1611.0,,898.6,635.2,538.3,538.3
Bn-ord-A3-ff-N-T14d.wav,Bn,ord,A3,ff,57,936.8,1109.5,,984.4,753.7,570.6,549.1
Bn-ord-A3-mf-N-N.wav,Bn,ord,A3,mf,57,662.2,1655.9,,887.6,699.8,581.4,549.1
Bn-ord-A3-pp-N-T11d.wav,Bn,ord,A3,pp,57,645.6,,,829.1,646.0,570.6,538.3
Bn-ord-A4-ff-N-N.wav,Bn,ord,A4,ff,69,1288.9,3526.7,,1150.4,742.9,656.8,904.4
Bn-ord-A4-mf-N-T14u_R100d.wav,Bn,ord,A4,mf,69,829.0,1782.1,3432.0,925.3,689.1,613.7,882.9
Bn-ord-A4-pp-N-N.wav,Bn,ord,A4,pp,69,852.1,1921.2,,960.5,689.1,689.1,915.2
Bn-ord-B1-ff-N-N.wav,Bn,ord,B1,ff,35,653.7,2010.8,,936.5,3337.6,441.4,495.3
Bn-ord-B1-mf-N-N.wav,Bn,ord,B1,mf,35,554.7,1953.5,,913.9,1808.8,441.4,506.0
Bn-ord-B1-pp-N-T11d.wav,Bn,ord,B1,pp,35,527.9,1598.9,,848.6,3197.7,419.9,506.0
Bn-ord-B2-ff-N-N.wav,Bn,ord,B2,ff,47,748.0,1410.7,,930.3,667.5,538.3,506.0
Bn-ord-B2-mf-N-N.wav,Bn,ord,B2,mf,47,660.5,1534.6,,902.2,667.5,549.1,516.8
Bn-ord-B2-pp-N-N.wav,Bn,ord,B2,pp,47,573.1,1348.0,,773.3,613.7,538.3,506.0
Bn-ord-B3-ff-N-N.wav,Bn,ord,B3,ff,59,567.6,1730.3,,1202.9,732.1,516.8,516.8
Bn-ord-B3-mf-N-N.wav,Bn,ord,B3,mf,59,514.1,1552.4,,1068.4,646.0,527.6,516.8
Bn-ord-B3-pp-N-N.wav,Bn,ord,B3,pp,59,504.7,,,1012.6,624.5,527.6,506.0
Bn-ord-B4-ff-N-N.wav,Bn,ord,B4,ff,71,995.3,2840.9,,1087.4,732.1,624.5,602.9
Bn-ord-B4-mf-N-N.wav,Bn,ord,B4,mf,71,864.8,1077.4,,1044.7,699.8,549.1,506.0
Bn-ord-B4-pp-N-N.wav,Bn,ord,B4,pp,71,651.3,858.5,,1027.2,689.1,549.1,506.0
Bn-ord-C#2-ff-N-N.wav,Bn,ord,C#2,ff,37,685.8,1865.0,,894.8,559.9,570.6,656.8
Bn-ord-C#2-mf-N-N.wav,Bn,ord,C#2,mf,37,651.0,1749.7,,821.8,549.1,559.9,646.0
Bn-ord-C#2-pp-N-N.wav,Bn,ord,C#2,pp,37,641.9,,,737.1,506.0,516.8,646.0
Bn-ord-C#3-ff-N-N.wav,Bn,ord,C#3,ff,49,767.4,1631.8,,1192.3,721.4,527.6,527.6
Bn-ord-C#3-mf-N-R100d.wav,Bn,ord,C#3,mf,49,657.3,1077.8,,1029.8,689.1,452.2,506.0
Bn-ord-C#3-pp-N-N.wav,Bn,ord,C#3,pp,49,547.4,3391.7,,989.3,549.1,506.0,495.3
Bn-ord-C#4-ff-N-N.wav,Bn,ord,C#4,ff,61,581.2,2391.4,,1274.1,667.5,538.3,559.9
Bn-ord-C#4-mf-N-N.wav,Bn,ord,C#4,mf,61,562.7,3866.1,,1215.0,592.2,527.6,570.6
Bn-ord-C#4-pp-N-N.wav,Bn,ord,C#4,pp,61,553.8,3526.3,,1153.5,559.9,538.3,570.6
Bn-ord-C#5-ff-N-N.wav,Bn,ord,C#5,ff,73,774.8,1367.8,,1125.3,753.7,570.6,559.9
Bn-ord-C#5-mf-N-N.wav,Bn,ord,C#5,mf,73,671.0,1133.9,,1111.4,710.6,570.6,559.9
Bn-ord-C#5-pp-N-N.wav,Bn,ord,C#5,pp,73,605.1,1145.7,,1106.2,742.9,581.4,570.6
Bn-ord-C2-ff-N-N.wav,Bn,ord,C2,ff,36,619.0,1909.9,,1037.9,1808.8,463.0,463.0
Bn-ord-C2-mf-N-N.wav,Bn,ord,C2,mf,36,555.2,1873.5,,888.0,1819.6,473.7,452.2
Bn-ord-C2-pp-N-T11d_R100u.wav,Bn,ord,C2,pp,36,555.9,1638.4,,857.8,473.7,409.1,506.0
Bn-ord-C3-ff-N-T12d.wav,Bn,ord,C3,ff,48,1288.5,,,1099.6,699.8,419.9,463.0
Bn-ord-C3-mf-N-R100u.wav,Bn,ord,C3,mf,48,652.2,1690.8,,924.3,667.5,549.1,549.1
Bn-ord-C3-pp-N-T15d.wav,Bn,ord,C3,pp,48,441.2,3775.5,,943.0,581.4,430.7,419.9
Bn-ord-C4-ff-N-N.wav,Bn,ord,C4,ff,60,974.0,1389.0,,1162.3,710.6,463.0,538.3
Bn-ord-C4-mf-N-N.wav,Bn,ord,C4,mf,60,641.4,1850.5,,1167.4,635.2,452.2,538.3
Bn-ord-C4-pp-N-N.wav,Bn,ord,C4,pp,60,546.0,3072.6,,1092.4,581.4,452.2,538.3
Bn-ord-C5-ff-N-N.wav,Bn,ord,C5,ff,72,1068.7,1071.6,,1152.2,786.0,570.6,570.6
Bn-ord-C5-mf-N-N.wav,Bn,ord,C5,mf,72,983.2,1133.2,,1111.1,764.4,516.8,527.6
Bn-ord-C5-pp-N-N.wav,Bn,ord,C5,pp,72,647.5,1090.9,,1096.6,742.9,581.4,570.6
Bn-ord-D#2-ff-N-T17d.wav,Bn,ord,D#2,ff,39,710.3,1237.9,,935.4,441.4,473.7,473.7
Bn-ord-D#2-mf-N-N.wav,Bn,ord,D#2,mf,39,555.7,1808.1,,898.9,1765.7,484.5,441.4
Bn-ord-D#2-pp-N-N.wav,Bn,ord,D#2,pp,39,530.1,2782.8,,786.7,1819.6,484.5,430.7
Bn-ord-D#3-ff-N-N.wav,Bn,ord,D#3,ff,51,860.4,1388.0,,967.5,699.8,473.7,495.3
Bn-ord-D#3-mf-N-N.wav,Bn,ord,D#3,mf,51,581.3,1476.0,,841.8,656.8,506.0,516.8
Bn-ord-D#3-pp-N-N.wav,Bn,ord,D#3,pp,51,557.8,,,743.2,570.6,495.3,506.0
Bn-ord-D#4-ff-N-N.wav,Bn,ord,D#4,ff,63,876.5,1486.4,,835.4,786.0,570.6,613.7
Bn-ord-D#4-mf-N-N.wav,Bn,ord,D#4,mf,63,681.3,1519.6,,796.4,721.4,559.9,613.7
Bn-ord-D#4-pp-N-N.wav,Bn,ord,D#4,pp,63,649.2,1121.4,,701.2,635.2,559.9,602.9
Bn-ord-D#5-ff-N-T14d.wav,Bn,ord,D#5,ff,75,728.3,3137.3,,692.6,742.9,635.2,624.5
Bn-ord-D#5-mf-N-N.wav,Bn,ord,D#5,mf,75,697.4,3011.6,,706.5,721.4,624.5,602.9
Bn-ord-D#5-pp-N-N.wav,Bn,ord,D#5,pp,75,652.0,2649.4,,698.2,699.8,624.5,613.7
Bn-ord-D2-ff-N-N.wav,Bn,ord,D2,ff,38,627.0,1946.5,,1005.2,602.9,355.3,344.5
Bn-ord-D2-mf-N-N.wav,Bn,ord,D2,mf,38,515.5,1907.1,,1041.1,463.0,366.1,279.9
Bn-ord-D2-pp-N-N.wav,Bn,ord,D2,pp,38,454.7,1380.8,,1001.0,3111.5,355.3,279.9
Bn-ord-D3-ff-N-T11d.wav,Bn,ord,D3,ff,50,830.3,,,1025.4,678.3,506.0,570.6
Bn-ord-D3-mf-N-N.wav,Bn,ord,D3,mf,50,698.5,1124.4,,961.6,646.0,473.7,516.8
Bn-ord-D3-pp-N-T13d.wav,Bn,ord,D3,pp,50,595.6,915.3,,938.2,613.7,484.5,527.6
Bn-ord-D4-ff-N-N.wav,Bn,ord,D4,ff,62,643.0,1875.9,,954.7,689.1,516.8,581.4
Bn-ord-D4-mf-N-N.wav,Bn,ord,D4,mf,62,599.3,1643.9,,880.9,656.8,538.3,581.4
Bn-ord-D4-pp-N-N.wav,Bn,ord,D4,pp,62,596.7,,,814.2,624.5,506.0,581.4
Bn-ord-D5-ff-N-N.wav,Bn,ord,D5,ff,74,1010.9,1986.6,,1140.0,818.3,592.2,592.2
Bn-ord-D5-mf-N-N.wav,Bn,ord,D5,mf,74,1051.8,1114.2,,1176.9,764.4,592.2,581.4
Bn-ord-D5-pp-N-N.wav,Bn,ord,D5,pp,74,636.2,1120.0,,1061.9,764.4,592.2,581.4
Bn-ord-E2-ff-N-N.wav,Bn,ord,E2,ff,40,577.6,1984.0,,973.4,613.7,452.2,516.8
Bn-ord-E2-mf-N-T10u.wav,Bn,ord,E2,mf,40,534.0,1851.5,,939.1,570.6,463.0,495.3
Bn-ord-E2-pp-N-N.wav,Bn,ord,E2,pp,40,560.0,3370.2,,906.3,527.6,452.2,506.0
Bn-ord-E3-ff-N-R100u.wav,Bn,ord,E3,ff,52,789.2,1718.6,,978.9,710.6,527.6,602.9
Bn-ord-E3-mf-N-T11d.wav,Bn,ord,E3,mf,52,508.2,1823.5,,962.7,581.4,463.0,516.8
Bn-ord-E3-pp-N-T13d.wav,Bn,ord,E3,pp,52,493.6,2245.8,,925.4,549.1,430.7,516.8
Bn-ord-E4-ff-N-N.wav,Bn,ord,E4,ff,64,689.8,2090.8,,768.4,699.8,602.9,656.8
Bn-ord-E4-mf-N-N.wav,Bn,ord,E4,mf,64,679.8,1868.0,,766.6,699.8,613.7,656.8
Bn-ord-E4-pp-N-N.wav,Bn,ord,E4,pp,64,670.8,1982.4,,717.4,635.2,602.9,646.0
Bn-ord-F#2-ff-N-N.wav,Bn,ord,F#2,ff,42,618.2,1915.8,,921.4,624.5,527.6,559.9
Bn-ord-F#2-mf-N-N.wav,Bn,ord,F#2,mf,42,615.1,1891.3,,862.6,624.5,538.3,570.6
Bn-ord-F#2-pp-N-T12d.wav,Bn,ord,F#2,pp,42,586.2,1418.4,,835.1,602.9,484.5,559.9
Bn-ord-F#3-ff-N-T13d.wav,Bn,ord,F#3,ff,54,606.4,1974.2,,1013.7,678.3,559.9,559.9
Bn-ord-F#3-mf-N-T16d.wav,Bn,ord,F#3,mf,54,571.9,1900.4,,1052.8,646.0,516.8,549.1
Bn-ord-F#3-pp-N-T23d.wav,Bn,ord,F#3,pp,54,558.2,1539.5,,915.7,592.2,506.0,538.3
Bn-ord-F#4-ff-N-N.wav,Bn,ord,F#4,ff,66,738.5,2374.9,,812.9,710.6,581.4,710.6
Bn-ord-F#4-mf-N-N.wav,Bn,ord,F#4,mf,66,726.1,,,772.9,656.8,581.4,721.4
Bn-ord-F#4-pp-N-N.wav,Bn,ord,F#4,pp,66,722.4,,,766.7,635.2,570.6,721.4
Bn-ord-F2-ff-N-T10d.wav,Bn,ord,F2,ff,41,715.6,1654.2,,893.1,592.2,409.1,323.0
Bn-ord-F2-mf-N-N.wav,Bn,ord,F2,mf,41,635.6,1720.7,,914.0,549.1,430.7,549.1
Bn-ord-F2-pp-N-T17d.wav,Bn,ord,F2,pp,41,560.3,1682.2,,815.9,516.8,409.1,323.0
Bn-ord-F3-ff-N-T10d.wav,Bn,ord,F3,ff,53,894.8,1907.5,,1068.9,710.6,452.2,495.3
Bn-ord-F3-mf-N-N.wav,Bn,ord,F3,mf,53,686.4,1329.1,,1014.3,656.8,495.3,506.0
Bn-ord-F3-pp-N-T15d.wav,Bn,ord,F3,pp,53,496.0,2035.6,,930.6,613.7,452.2,495.3
Bn-ord-F4-ff-N-N.wav,Bn,ord,F4,ff,65,878.9,2181.2,,895.9,753.7,570.6,678.3
Bn-ord-F4-mf-N-N.wav,Bn,ord,F4,mf,65,723.9,1935.0,,812.1,678.3,613.7,689.1
Bn-ord-F4-pp-N-N.wav,Bn,ord,F4,pp,65,715.0,1354.6,,780.0,656.8,570.6,678.3
Bn-ord-G#2-ff-N-N.wav,Bn,ord,G#2,ff,44,695.3,2096.6,,885.2,667.5,559.9,538.3
Bn-ord-G#2-mf-N-R100d.wav,Bn,ord,G#2,mf,44,561.7,1541.2,,941.5,646.0,484.5,495.3
Bn-ord-G#2-pp-N-T16d.wav,Bn,ord,G#2,pp,44,585.7,1895.4,,796.2,592.2,559.9,516.8
Bn-ord-G#3-ff-N-N.wav,Bn,ord,G#3,ff,56,853.4,1565.4,,858.5,742.9,538.3,516.8
Bn-ord-G#3-mf-N-N.wav,Bn,ord,G#3,mf,56,619.9,1969.6,,738.1,656.8,506.0,516.8
Bn-ord-G#3-pp-N-T19d.wav,Bn,ord,G#3,pp,56,628.3,993.5,,755.6,635.2,506.0,506.0
Bn-ord-G#4-ff-N-N.wav,Bn,ord,G#4,ff,68,881.3,1666.6,,976.6,699.8,570.6,441.4
Bn-ord-G#4-mf-N-R100u.wav,Bn,ord,G#4,mf,68,1568.9,,,1168.6,732.1,592.2,1248.9
Bn-ord-G#4-pp-N-N.wav,Bn,ord,G#4,pp,68,745.1,3602.2,,900.2,667.5,570.6,452.2
Bn-ord-G2-ff-N-N.wav,Bn,ord,G2,ff,43,587.0,2019.7,,987.5,635.2,463.0,495.3
Bn-ord-G2-mf-N-T10d.wav,Bn,ord,G2,mf,43,563.8,2172.6,,965.7,624.5,473.7,506.0
Bn-ord-G2-pp-N-N.wav,Bn,ord,G2,pp,43,526.1,2038.9,,867.1,570.6,484.5,506.0
Bn-ord-G3-ff-N-N.wav,Bn,ord,G3,ff,55,687.8,2047.7,,986.5,699.8,538.3,484.5
Bn-ord-G3-mf-N-N.wav,Bn,ord,G3,mf,55,584.5,1826.4,,1080.7,635.2,538.3,549.1
Bn-ord-G3-pp-N-N.wav,Bn,ord,G3,pp,55,567.4,1775.7,,833.3,624.5,538.3,484.5
Bn-ord-G4-ff-N-N.wav,Bn,ord,G4,ff,67,1625.7,,,1241.1,732.1,581.4,689.1
Bn-ord-G4-mf-N-N.wav,Bn,ord,G4,mf,67,1464.5,3916.3,,1116.0,678.3,570.6,1173.6
Bn-ord-G4-pp-N-N.wav,Bn,ord,G4,pp,67,1276.7,,,1091.6,678.3,570.6,710.6
