filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Cbs-nonvib-A#1-f.wav,Cbs,nonvib,A#1,f,34,1208.2,,,1102.3,3854.4,1001.3,172.3
Cbs-nonvib-A#1-p.wav,Cbs,nonvib,A#1,p,34,1497.7,,,1094.0,,3305.3,183.0
Cbs-nonvib-A#2-f.wav,Cbs,nonvib,A#2,f,46,1546.5,,,1171.9,3725.2,323.0,183.0
Cbs-nonvib-A#2-p.wav,Cbs,nonvib,A#2,p,46,1579.4,,,1140.4,,355.3,172.3
Cbs-nonvib-A#3-f.wav,Cbs,nonvib,A#3,f,58,1179.8,1972.8,,1125.4,1313.5,312.2,193.8
Cbs-nonvib-A#3-p.wav,Cbs,nonvib,A#3,p,58,1330.6,,,1099.8,2540.9,323.0,183.0
Cbs-nonvib-A1-f.wav,Cbs,nonvib,A1,f,33,1188.2,,,1059.1,,193.8,172.3
Cbs-nonvib-A1-p.wav,Cbs,nonvib,A1,p,33,937.8,,,1026.2,,3316.1,172.3
Cbs-nonvib-A2-f.wav,Cbs,nonvib,A2,f,45,1592.0,,,1122.1,3628.3,312.2,183.0
Cbs-nonvib-A2-p.wav,Cbs,nonvib,A2,p,45,116.7,1696.0,,1119.6,,344.5,183.0
Cbs-nonvib-A3-f.wav,Cbs,nonvib,A3,f,57,814.1,2298.2,,1143.6,1345.8,333.8,183.0
Cbs-nonvib-A3-p.wav,Cbs,nonvib,A3,p,57,904.3,1251.6,,1072.1,1152.0,990.5,183.0
Cbs-nonvib-B0-f.wav,Cbs,nonvib,B0,f,23,1052.1,,,1040.4,,226.1,172.3
Cbs-nonvib-B0-p.wav,Cbs,nonvib,B0,p,23,443.6,,,930.9,,2734.7,172.3
Cbs-nonvib-B1-f.wav,Cbs,nonvib,B1,f,35,1232.4,,,1064.9,3843.7,1076.7,161.5
Cbs-nonvib-B1-p.wav,Cbs,nonvib,B1,p,35,1278.6,,,1077.7,,3326.9,161.5
Cbs-nonvib-B2-f.wav,Cbs,nonvib,B2,f,47,1200.9,3911.5,,1042.8,3832.9,344.5,215.3
Cbs-nonvib-B2-p.wav,Cbs,nonvib,B2,p,47,1551.5,,,1117.6,1281.2,312.2,183.0
Cbs-nonvib-B3-f.wav,Cbs,nonvib,B3,f,59,839.7,2396.5,,1097.6,1152.0,323.0,183.0
Cbs-nonvib-B3-p.wav,Cbs,nonvib,B3,p,59,1054.5,2939.0,,1110.9,,333.8,193.8
Cbs-nonvib-C#1-f.wav,Cbs,nonvib,C#1,f,25,762.8,,,1025.4,,1044.4,161.5
Cbs-nonvib-C#1-p.wav,Cbs,nonvib,C#1,p,25,551.3,,,1008.3,,3423.8,161.5
Cbs-nonvib-C#2-f.wav,Cbs,nonvib,C#2,f,37,1280.1,,,1074.0,3919.0,1065.9,172.3
Cbs-nonvib-C#2-p.wav,Cbs,nonvib,C#2,p,37,1122.5,,,1054.7,,958.2,172.3
Cbs-nonvib-C#3-f.wav,Cbs,nonvib,C#3,f,49,980.8,2065.9,,1126.8,936.7,312.2,183.0
Cbs-nonvib-C#3-p.wav,Cbs,nonvib,C#3,p,49,1530.9,,,1138.9,1173.6,344.5,193.8
Cbs-nonvib-C1-f.wav,Cbs,nonvib,C1,f,24,1050.3,,,1036.2,2325.6,1012.1,172.3
Cbs-nonvib-C1-p.wav,Cbs,nonvib,C1,p,24,413.4,,,970.4,,2670.1,172.3
Cbs-nonvib-C2-f.wav,Cbs,nonvib,C2,f,36,1211.7,,,1073.3,3940.6,312.2,172.3
Cbs-nonvib-C2-p.wav,Cbs,nonvib,C2,p,36,1249.6,,,1072.0,,3359.2,183.0
Cbs-nonvib-C3-f.wav,Cbs,nonvib,C3,f,48,1563.3,,,1165.8,1065.9,323.0,183.0
Cbs-nonvib-C3-p.wav,Cbs,nonvib,C3,p,48,1632.7,,,1102.0,,344.5,193.8
Cbs-nonvib-C4-f.wav,Cbs,nonvib,C4,f,60,1608.8,,,1144.9,1636.5,333.8,193.8
Cbs-nonvib-C4-p.wav,Cbs,nonvib,C4,p,60,1622.4,,,1120.2,1378.1,323.0,193.8
Cbs-nonvib-D#1-f.wav,Cbs,nonvib,D#1,f,27,1170.3,,,1044.8,3951.3,183.0,161.5
Cbs-nonvib-D#1-p.wav,Cbs,nonvib,D#1,p,27,82.8,1488.8,,988.7,,3359.2,161.5
Cbs-nonvib-D#2-f.wav,Cbs,nonvib,D#2,f,39,1460.2,,,1095.5,1141.3,1119.7,161.5
Cbs-nonvib-D#2-p.wav,Cbs,nonvib,D#2,p,39,1192.8,2734.8,,1046.8,,215.3,172.3
Cbs-nonvib-D#3-f.wav,Cbs,nonvib,D#3,f,51,886.9,2447.8,,1037.9,969.0,344.5,193.8
Cbs-nonvib-D#3-p.wav,Cbs,nonvib,D#3,p,51,460.1,1266.1,,985.1,387.6,333.8,183.0
Cbs-nonvib-D1-f.wav,Cbs,nonvib,D1,f,26,1246.4,,,1062.3,3951.3,1055.1,172.3
Cbs-nonvib-D1-p.wav,Cbs,nonvib,D1,p,26,861.4,,,1044.3,,258.4,172.3
Cbs-nonvib-D2-f.wav,Cbs,nonvib,D2,f,38,1186.1,,,1091.3,3800.6,301.5,193.8
Cbs-nonvib-D2-p.wav,Cbs,nonvib,D2,p,38,1104.6,,,1058.7,,1022.8,183.0
Cbs-nonvib-D3-f.wav,Cbs,nonvib,D3,f,50,1571.5,,,1181.9,1173.6,323.0,193.8
Cbs-nonvib-D3-p.wav,Cbs,nonvib,D3,p,50,1502.6,,,1154.3,1130.5,323.0,193.8
Cbs-nonvib-E1-f.wav,Cbs,nonvib,E1,f,28,1106.1,,,1024.4,,3251.5,172.3
Cbs-nonvib-E1-p.wav,Cbs,nonvib,E1,p,28,1296.1,,,1006.8,,3380.7,172.3
Cbs-nonvib-E2-f.wav,Cbs,nonvib,E2,f,40,1383.6,,,1076.3,3919.0,290.7,172.3
Cbs-nonvib-E2-p.wav,Cbs,nonvib,E2,p,40,1354.5,3536.4,,1056.7,,1076.7,172.3
Cbs-nonvib-E3-f.wav,Cbs,nonvib,E3,f,52,651.4,2658.3,,1017.7,1012.1,323.0,183.0
Cbs-nonvib-E3-p.wav,Cbs,nonvib,E3,p,52,1114.1,2475.0,,1108.3,,344.5,204.6
Cbs-nonvib-F#1-f.wav,Cbs,nonvib,F#1,f,30,1130.8,,,1068.8,,1044.4,161.5
Cbs-nonvib-F#1-p.wav,Cbs,nonvib,F#1,p,30,1195.0,,,1018.8,,3445.3,161.5
Cbs-nonvib-F#2-f.wav,Cbs,nonvib,F#2,f,42,1450.4,,,1095.2,3822.1,312.2,172.3
Cbs-nonvib-F#2-p.wav,Cbs,nonvib,F#2,p,42,1436.1,,,1132.6,,1098.2,161.5
Cbs-nonvib-F#3-f.wav,Cbs,nonvib,F#3,f,54,649.4,2473.1,,1105.5,1098.2,333.8,193.8
Cbs-nonvib-F#3-p.wav,Cbs,nonvib,F#3,p,54,1082.1,3214.3,3371.7,1087.1,689.1,355.3,193.8
Cbs-nonvib-F1-f.wav,Cbs,nonvib,F1,f,29,981.7,,,1049.1,,301.5,172.3
Cbs-nonvib-F1-p.wav,Cbs,nonvib,F1,p,29,930.4,,,955.2,,269.2,183.0
Cbs-nonvib-F2-f.wav,Cbs,nonvib,F2,f,41,1437.1,,,1105.2,1076.7,1184.3,161.5
Cbs-nonvib-F2-p.wav,Cbs,nonvib,F2,p,41,1512.3,,,1113.9,1324.3,990.5,172.3
Cbs-nonvib-F3-f.wav,Cbs,nonvib,F3,f,53,941.0,2427.3,,1105.9,1065.9,323.0,193.8
Cbs-nonvib-F3-p.wav,Cbs,nonvib,F3,p,53,1523.1,,,1096.2,,301.5,183.0
Cbs-nonvib-G#1-f.wav,Cbs,nonvib,G#1,f,32,1229.9,,,1063.9,1087.4,1065.9,172.3
Cbs-nonvib-G#1-p.wav,Cbs,nonvib,G#1,p,32,1380.9,,,1041.8,,3326.9,172.3
Cbs-nonvib-G#2-f.wav,Cbs,nonvib,G#2,f,44,897.7,2146.8,,1082.1,3596.0,333.8,183.0
Cbs-nonvib-G#2-p.wav,Cbs,nonvib,G#2,p,44,1462.2,,,1058.6,,344.5,172.3
Cbs-nonvib-G#3-f.wav,Cbs,nonvib,G#3,f,56,666.0,2648.9,,1041.2,,344.5,183.0
