filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
CbFl-ord-A#2-ff.wav,CbFl,ord,A#2,ff,46,793.6,,,970.9,990.5,1098.2,366.1
CbFl-ord-A#2-mf.wav,CbFl,ord,A#2,mf,46,671.5,,,911.4,,678.3,689.1
CbFl-ord-A#2-pp.wav,CbFl,ord,A#2,pp,46,126.1,,,912.8,2465.6,2885.4,990.5
CbFl-ord-A#3-ff.wav,CbFl,ord,A#3,ff,58,780.7,3349.0,,900.6,786.0,635.2,710.6
CbFl-ord-A#3-mf.wav,CbFl,ord,A#3,mf,58,754.6,3526.5,,930.4,764.4,613.7,710.6
CbFl-ord-A#3-pp.wav,CbFl,ord,A#3,pp,58,511.8,,,890.9,3488.4,807.5,667.5
CbFl-ord-A#4-ff.wav,CbFl,ord,A#4,ff,70,904.8,2933.9,,1100.0,979.8,1055.1,463.0
CbFl-ord-A#4-mf.wav,CbFl,ord,A#4,mf,70,657.0,3741.6,,1054.8,818.3,430.7,463.0
CbFl-ord-A#4-pp.wav,CbFl,ord,A#4,pp,70,729.2,,,1042.0,,1065.9,452.2
CbFl-ord-C#3-ff.wav,CbFl,ord,C#3,ff,49,677.9,3623.2,,994.5,1162.8,1130.5,742.9
CbFl-ord-C#3-mf.wav,CbFl,ord,C#3,mf,49,998.7,,,979.1,1141.3,1119.7,1033.6
CbFl-ord-C#3-pp.wav,CbFl,ord,C#3,pp,49,187.6,,,913.9,2476.3,678.3,732.1
CbFl-ord-C#4-ff.wav,CbFl,ord,C#4,ff,61,884.1,,,1018.4,742.9,925.9,807.5
CbFl-ord-C#4-mf.wav,CbFl,ord,C#4,mf,61,1003.2,3923.1,,1057.4,1044.4,1109.0,1173.6
CbFl-ord-C#4-pp.wav,CbFl,ord,C#4,pp,61,743.0,,,1027.8,1152.0,2691.7,850.6
CbFl-ord-C#5-ff.wav,CbFl,ord,C#5,ff,73,1471.3,,,1175.2,786.0,602.9,495.3
CbFl-ord-C#5-mf.wav,CbFl,ord,C#5,mf,73,1260.7,2757.1,,1145.1,904.4,646.0,1119.7
CbFl-ord-C#5-pp.wav,CbFl,ord,C#5,pp,73,1752.3,,,1090.4,2368.7,2401.0,775.2
CbFl-ord-E3-ff.wav,CbFl,ord,E3,ff,52,1073.5,,,1066.7,1152.0,1065.9,506.0
CbFl-ord-E3-mf.wav,CbFl,ord,E3,mf,52,961.4,,,992.0,1119.7,958.2,904.4
CbFl-ord-E3-pp.wav,CbFl,ord,E3,pp,52,114.5,,,1001.8,3606.8,904.4,140.0
CbFl-ord-E4-ff.wav,CbFl,ord,E4,ff,64,1122.4,,,1109.4,1130.5,1001.3,969.0
CbFl-ord-E4-mf.wav,CbFl,ord,E4,mf,64,1017.2,,,1048.0,1022.8,1012.1,958.2
CbFl-ord-E4-pp.wav,CbFl,ord,E4,pp,64,1016.7,,,1042.7,1152.0,979.8,990.5
CbFl-ord-E5-ff.wav,CbFl,ord,E5,ff,76,743.7,3086.6,,775.1,839.8,732.1,699.8
CbFl-ord-E5-pp.wav,CbFl,ord,E5,pp,76,721.2,3464.9,,816.1,3316.1,656.8,3456.1
CbFl-ord-G2-ff.wav,CbFl,ord,G2,ff,43,788.4,2676.9,,1033.1,1130.5,1087.4,172.3
CbFl-ord-G2-mf.wav,CbFl,ord,G2,mf,43,259.0,,,952.5,3369.9,3757.5,150.7
CbFl-ord-G2-pp.wav,CbFl,ord,G2,pp,43,,,,1101.1,2487.1,1873.4,1970.3
CbFl-ord-G3-ff.wav,CbFl,ord,G3,ff,55,907.4,,,840.5,925.9,1152.0,592.2
CbFl-ord-G3-mf.wav,CbFl,ord,G3,mf,55,981.3,,,957.9,1098.2,1098.2,193.8
CbFl-ord-G3-pp.wav,CbFl,ord,G3,pp,55,102.1,,,995.0,3660.6,3208.4,958.2
CbFl-ord-G4-ff.wav,CbFl,ord,G4,ff,67,924.7,3235.4,,1021.1,1022.8,1130.5,1173.6
CbFl-ord-G4-mf.wav,CbFl,ord,G4,mf,67,1003.9,3539.7,,1031.0,969.0,1141.3,1152.0
CbFl-ord-G4-pp.wav,CbFl,ord,G4,pp,67,966.6,,,982.9,1109.0,1109.0,1162.8
CbFl-ord-G5-ff.wav,CbFl,ord,G5,ff,79,848.6,3173.6,,893.8,818.3,796.7,829.0
CbFl-ord-G5-mf.wav,CbFl,ord,G5,mf,79,839.7,3182.4,,881.7,818.3,753.7,818.3
CbFl-ord-G5-pp.wav,CbFl,ord,G5,pp,79,982.2,,,971.5,3294.6,678.3,581.4
