filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
CbTb-ord-A#0-f.wav,CbTb,ord,A#0,f,22,691.2,,,832.0,409.1,366.1,204.6
CbTb-ord-A#0-ff.wav,CbTb,ord,A#0,ff,22,407.8,1591.2,,935.0,,355.3,269.2
CbTb-ord-A#0-mf.wav,CbTb,ord,A#0,mf,22,518.8,940.8,,841.6,452.2,376.8,215.3
CbTb-ord-A#0-p.wav,CbTb,ord,A#0,p,22,573.3,,,800.3,323.0,366.1,204.6
CbTb-ord-A#0-pp.wav,CbTb,ord,A#0,pp,22,191.8,,,912.6,3649.9,3746.8,1152.0
CbTb-ord-A#1-f.wav,CbTb,ord,A#1,f,34,563.6,1022.9,,899.9,506.0,344.5,398.4
CbTb-ord-A#1-ff.wav,CbTb,ord,A#1,ff,34,366.6,1490.6,,995.5,,344.5,290.7
CbTb-ord-A#1-mf.wav,CbTb,ord,A#1,mf,34,476.4,,,803.0,452.2,355.3,236.9
CbTb-ord-A#1-p.wav,CbTb,ord,A#1,p,34,392.9,562.9,,798.0,269.2,344.5,247.6
CbTb-ord-A#1-pp.wav,CbTb,ord,A#1,pp,34,73.0,,,927.1,3585.3,2282.5,2121.0
CbTb-ord-A#2-f.wav,CbTb,ord,A#2,f,46,509.1,2344.1,,862.3,527.6,376.8,204.6
CbTb-ord-A#2-ff.wav,CbTb,ord,A#2,ff,46,369.8,1524.4,,987.4,463.0,366.1,279.9
CbTb-ord-A#2-mf.wav,CbTb,ord,A#2,mf,46,314.3,745.8,,867.9,430.7,355.3,215.3
CbTb-ord-A#2-p.wav,CbTb,ord,A#2,p,46,315.1,578.0,,878.3,333.8,344.5,215.3
CbTb-ord-A#2-pp.wav,CbTb,ord,A#2,pp,46,161.6,,,886.1,3628.3,215.3,150.7
CbTb-ord-A#3-f.wav,CbTb,ord,A#3,f,58,516.9,1060.8,,818.1,678.3,419.9,484.5
CbTb-ord-A#3-ff.wav,CbTb,ord,A#3,ff,58,979.4,2157.2,,1014.7,689.1,387.6,409.1
CbTb-ord-A#3-mf.wav,CbTb,ord,A#3,mf,58,432.4,747.6,,824.9,646.0,398.4,236.9
CbTb-ord-A#3-p.wav,CbTb,ord,A#3,p,58,382.7,387.7,,803.3,613.7,387.6,226.1
CbTb-ord-A#3-pp.wav,CbTb,ord,A#3,pp,58,364.5,,,770.6,3811.4,323.0,215.3
CbTb-ord-A#4-ff.wav,CbTb,ord,A#4,ff,70,476.6,1877.1,,909.2,635.2,463.0,452.2
CbTb-ord-A#4-mf.wav,CbTb,ord,A#4,mf,70,464.1,1795.2,,1017.4,506.0,419.9,452.2
CbTb-ord-A#4-pp.wav,CbTb,ord,A#4,pp,70,476.2,3388.0,,940.1,452.2,484.5,463.0
CbTb-ord-A1-f.wav,CbTb,ord,A1,f,33,487.3,1304.0,,919.4,495.3,344.5,236.9
CbTb-ord-A1-mf.wav,CbTb,ord,A1,mf,33,455.8,826.5,,824.8,495.3,355.3,236.9
CbTb-ord-A1-p.wav,CbTb,ord,A1,p,33,362.8,1323.9,,882.1,,323.0,226.1
CbTb-ord-A2-f.wav,CbTb,ord,A2,f,45,516.7,936.9,,906.8,624.5,376.8,226.1
CbTb-ord-A2-mf.wav,CbTb,ord,A2,mf,45,382.1,702.8,,818.7,495.3,376.8,226.1
CbTb-ord-A2-p.wav,CbTb,ord,A2,p,45,367.4,679.3,,799.4,538.3,376.8,226.1
CbTb-ord-A3-f.wav,CbTb,ord,A3,f,57,434.7,1006.1,,852.7,656.8,409.1,226.1
CbTb-ord-A3-mf.wav,CbTb,ord,A3,mf,57,352.2,898.5,,816.7,646.0,398.4,226.1
CbTb-ord-A3-p.wav,CbTb,ord,A3,p,57,302.8,669.2,,809.6,602.9,387.6,215.3
CbTb-ord-B0-f.wav,CbTb,ord,B0,f,23,487.2,1469.0,,891.3,484.5,366.1,204.6
