filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Cb-ord-A#1-ff-3c-N.wav,Cb,ord,A#1,ff,34,1454.6,,,1129.9,2670.1,1335.1,161.5
Cb-ord-A#1-ff-4c-N.wav,Cb,ord,A#1,ff,34,1572.6,,,1118.2,1184.3,3230.0,161.5
Cb-ord-A#1-mf-3c-N.wav,Cb,ord,A#1,mf,34,1388.8,,,1094.4,2680.9,3649.9,161.5
Cb-ord-A#1-mf-4c-N.wav,Cb,ord,A#1,mf,34,1423.8,,,1157.2,1184.3,3466.8,161.5
Cb-ord-A#1-pp-3c-N.wav,Cb,ord,A#1,pp,34,1278.5,,,1066.3,2616.3,3025.4,3014.6
Cb-ord-A#1-pp-4c-N.wav,Cb,ord,A#1,pp,34,1211.4,,,1078.9,2637.8,1195.1,150.7
Cb-ord-A#2-ff-1c-N.wav,Cb,ord,A#2,ff,46,1548.1,,,1118.4,2788.5,3025.4,172.3
Cb-ord-A#2-ff-2c-T14u.wav,Cb,ord,A#2,ff,46,2048.3,,,1072.6,2691.7,958.2,183.0
Cb-ord-A#2-ff-3c-T13u.wav,Cb,ord,A#2,ff,46,2700.6,,,1074.4,2637.8,2788.5,172.3
Cb-ord-A#2-ff-4c-T21u.wav,Cb,ord,A#2,ff,46,1680.1,3838.2,,1163.8,1238.2,958.2,183.0
Cb-ord-A#2-mf-1c-N.wav,Cb,ord,A#2,mf,46,1475.8,,,1144.2,1238.2,1238.2,183.0
Cb-ord-A#2-mf-2c-T13u.wav,Cb,ord,A#2,mf,46,1601.4,,,1130.8,2745.5,2734.7,183.0
Cb-ord-A#2-mf-3c-N.wav,Cb,ord,A#2,mf,46,1579.8,3855.0,,1127.6,2627.1,2519.4,183.0
Cb-ord-A#2-mf-4c-N.wav,Cb,ord,A#2,mf,46,1203.1,3888.3,,1116.9,1238.2,915.2,172.3
