filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Cbn-nonvib-A#0-ff.wav,Cbn,nonvib,A#0,ff,22,477.0,2533.6,,900.0,1808.8,1808.8,1776.5
Cbn-nonvib-A#0-mf.wav,Cbn,nonvib,A#0,mf,22,406.0,1469.7,,850.9,,1776.5,183.0
Cbn-nonvib-A#0-p.wav,Cbn,nonvib,A#0,p,22,321.0,2045.9,,966.5,1701.1,2885.4,1647.3
Cbn-nonvib-A#1-ff.wav,Cbn,nonvib,A#1,ff,34,606.7,1737.0,,876.4,312.2,2788.5,646.0
Cbn-nonvib-A#1-mf.wav,Cbn,nonvib,A#1,mf,34,492.4,1885.4,,897.4,236.9,323.0,290.7
Cbn-nonvib-A#1-p.wav,Cbn,nonvib,A#1,p,34,368.8,2438.0,,906.1,1604.2,2810.1,279.9
Cbn-nonvib-A#2-ff.wav,Cbn,nonvib,A#2,ff,46,470.2,1827.5,,924.4,549.1,398.4,258.4
Cbn-nonvib-A#2-p.wav,Cbn,nonvib,A#2,p,46,447.4,2719.5,,900.0,441.4,387.6,215.3
Cbn-nonvib-A#3-ff.wav,Cbn,nonvib,A#3,ff,58,491.2,2108.5,,1069.3,635.2,387.6,215.3
Cbn-nonvib-A#3-mf.wav,Cbn,nonvib,A#3,mf,58,589.0,2004.4,,800.7,592.2,398.4,204.6
Cbn-nonvib-A#3-p.wav,Cbn,nonvib,A#3,p,58,388.4,2341.4,,918.6,613.7,376.8,204.6
Cbn-nonvib-A1-ff.wav,Cbn,nonvib,A1,ff,33,545.9,1872.1,,867.0,269.2,279.9,215.3
Cbn-nonvib-A1-mf.wav,Cbn,nonvib,A1,mf,33,342.2,1612.4,,893.5,,279.9,226.1
Cbn-nonvib-A1-p.wav,Cbn,nonvib,A1,p,33,276.0,1781.3,,953.2,,1065.9,204.6
Cbn-nonvib-A2-ff.wav,Cbn,nonvib,A2,ff,45,498.5,1813.8,,866.1,538.3,387.6,226.1
Cbn-nonvib-A2-mf.wav,Cbn,nonvib,A2,mf,45,422.8,2370.0,,870.5,419.9,366.1,215.3
Cbn-nonvib-A2-p.wav,Cbn,nonvib,A2,p,45,382.7,2671.7,,1034.4,2637.8,366.1,215.3
Cbn-nonvib-A3-ff.wav,Cbn,nonvib,A3,ff,57,462.2,2696.4,3948.1,912.1,635.2,387.6,215.3
Cbn-nonvib-A3-mf.wav,Cbn,nonvib,A3,mf,57,533.6,2498.4,,799.6,581.4,387.6,215.3
Cbn-nonvib-A3-p.wav,Cbn,nonvib,A3,p,57,556.1,2728.1,,770.0,602.9,398.4,215.3
Cbn-nonvib-B0-ff.wav,Cbn,nonvib,B0,ff,23,411.4,2599.0,,983.8,1582.7,376.8,333.8
Cbn-nonvib-B0-mf.wav,Cbn,nonvib,B0,mf,23,363.6,1831.1,,1023.8,,355.3,333.8
Cbn-nonvib-B0-p.wav,Cbn,nonvib,B0,p,23,367.4,1157.5,,783.2,1701.1,398.4,323.0
Cbn-nonvib-B1-ff.wav,Cbn,nonvib,B1,ff,35,733.6,3870.9,,889.9,301.5,333.8,236.9
Cbn-nonvib-B1-mf.wav,Cbn,nonvib,B1,mf,35,533.0,1551.7,,843.4,2282.5,2099.5,269.2
Cbn-nonvib-B1-p.wav,Cbn,nonvib,B1,p,35,331.6,2198.5,,890.2,2530.2,312.2,290.7
Cbn-nonvib-B2-ff.wav,Cbn,nonvib,B2,ff,47,726.3,,,872.6,581.4,387.6,226.1
Cbn-nonvib-B2-mf.wav,Cbn,nonvib,B2,mf,47,436.7,2173.6,,849.1,506.0,355.3,226.1
Cbn-nonvib-B2-p.wav,Cbn,nonvib,B2,p,47,312.1,2304.9,,915.6,398.4,366.1,215.3
Cbn-nonvib-C#1-ff.wav,Cbn,nonvib,C#1,ff,25,427.4,1979.5,,875.4,,323.0,269.2
Cbn-nonvib-C#1-mf.wav,Cbn,nonvib,C#1,mf,25,343.7,1741.3,,899.9,2616.3,323.0,279.9
Cbn-nonvib-C#1-p.wav,Cbn,nonvib,C#1,p,25,326.5,2330.9,,969.8,,312.2,258.4
Cbn-nonvib-C#2-ff.wav,Cbn,nonvib,C#2,ff,37,557.3,740.0,,830.8,495.3,398.4,258.4
Cbn-nonvib-C#2-mf.wav,Cbn,nonvib,C#2,mf,37,429.3,2986.7,,799.9,1938.0,366.1,344.5
Cbn-nonvib-C#2-p.wav,Cbn,nonvib,C#2,p,37,386.1,1267.1,,826.8,172.3,344.5,247.6
Cbn-nonvib-C#3-ff.wav,Cbn,nonvib,C#3,ff,49,674.8,2121.2,,810.5,581.4,430.7,204.6
Cbn-nonvib-C#3-mf.wav,Cbn,nonvib,C#3,mf,49,531.6,1624.3,,817.7,527.6,387.6,226.1
Cbn-nonvib-C#3-p.wav,Cbn,nonvib,C#3,p,49,510.8,2248.7,3822.8,839.1,516.8,409.1,204.6
Cbn-nonvib-C1-ff.wav,Cbn,nonvib,C1,ff,24,372.2,2035.4,,933.6,,355.3,258.4
Cbn-nonvib-C1-mf.wav,Cbn,nonvib,C1,mf,24,345.5,1613.2,,873.3,,344.5,247.6
Cbn-nonvib-C1-p.wav,Cbn,nonvib,C1,p,24,334.4,2130.9,,969.5,1733.4,323.0,236.9
Cbn-nonvib-C2-ff.wav,Cbn,nonvib,C2,ff,36,612.3,1641.5,,952.0,549.1,366.1,236.9
Cbn-nonvib-C2-mf.wav,Cbn,nonvib,C2,mf,36,444.0,1853.2,,865.5,290.7,355.3,236.9
Cbn-nonvib-C2-p.wav,Cbn,nonvib,C2,p,36,347.4,1843.3,,909.8,290.7,344.5,226.1
Cbn-nonvib-C3-ff.wav,Cbn,nonvib,C3,ff,48,695.2,2144.6,,815.6,624.5,419.9,215.3
Cbn-nonvib-C3-mf.wav,Cbn,nonvib,C3,mf,48,562.1,2235.3,,888.4,581.4,398.4,204.6
Cbn-nonvib-C3-p.wav,Cbn,nonvib,C3,p,48,469.1,3177.7,,873.7,538.3,387.6,204.6
Cbn-nonvib-D#1-ff.wav,Cbn,nonvib,D#1,ff,27,414.0,1948.9,,916.0,1787.3,344.5,290.7
Cbn-nonvib-D#1-mf.wav,Cbn,nonvib,D#1,mf,27,367.9,1597.5,,980.4,,323.0,312.2
Cbn-nonvib-D#1-p.wav,Cbn,nonvib,D#1,p,27,344.3,2662.4,,904.1,1722.7,376.8,269.2
Cbn-nonvib-D#2-ff.wav,Cbn,nonvib,D#2,ff,39,503.2,1901.1,,836.8,484.5,333.8,236.9
Cbn-nonvib-D#2-mf.wav,Cbn,nonvib,D#2,mf,39,391.5,1452.5,,847.4,,301.5,236.9
Cbn-nonvib-D#2-p.wav,Cbn,nonvib,D#2,p,39,354.1,1470.7,,907.1,,301.5,226.1
Cbn-nonvib-D#3-ff.wav,Cbn,nonvib,D#3,ff,51,453.1,2225.5,,822.8,506.0,355.3,215.3
Cbn-nonvib-D#3-mf.wav,Cbn,nonvib,D#3,mf,51,348.1,1929.1,,889.9,,344.5,215.3
Cbn-nonvib-D#3-p.wav,Cbn,nonvib,D#3,p,51,312.7,2541.4,,994.9,247.6,333.8,215.3
Cbn-nonvib-D1-ff.wav,Cbn,nonvib,D1,ff,26,506.0,2130.2,,851.8,1905.7,1733.4,236.9
Cbn-nonvib-D1-mf.wav,Cbn,nonvib,D1,mf,26,443.5,,,861.9,2401.0,333.8,226.1
