filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Fl-ord-A#4-ff-N-N.wav,Fl,ord,A#4,ff,70,946.7,2255.9,,1049.3,1335.1,1528.9,936.7
Fl-ord-A#4-mf-N-N.wav,Fl,ord,A#4,mf,70,809.4,1946.1,,1116.6,1658.1,1539.6,463.0
Fl-ord-A#4-pp-N-T11u.wav,Fl,ord,A#4,pp,70,489.1,2414.2,,1145.3,1571.9,344.5,463.0
Fl-ord-A#5-ff-N-T21d.wav,Fl,ord,A#5,ff,82,951.6,2797.5,,953.2,1324.3,947.5,925.9
Fl-ord-A#5-mf-N-T18d.wav,Fl,ord,A#5,mf,82,1007.0,2515.2,,948.4,1539.6,936.7,925.9
Fl-ord-A#5-pp-N-N.wav,Fl,ord,A#5,pp,82,937.4,2629.3,,937.6,1410.4,947.5,925.9
Fl-ord-A#6-ff-N-T15d.wav,Fl,ord,A#6,ff,94,1869.5,3751.2,,1346.9,1701.1,1873.4,1873.4
Fl-ord-A#6-mf-N-T11d.wav,Fl,ord,A#6,mf,94,1869.8,3774.6,,1337.4,1733.4,1819.6,1873.4
Fl-ord-A#6-pp-N-N.wav,Fl,ord,A#6,pp,94,1872.3,,,1314.0,1432.0,1281.2,1496.6
Fl-ord-A4-ff-N-N.wav,Fl,ord,A4,ff,69,1053.7,2047.1,3920.6,1210.1,1884.2,2078.0,441.4
Fl-ord-A4-mf-N-N.wav,Fl,ord,A4,mf,69,916.9,2174.3,,1256.3,1981.1,2131.8,441.4
Fl-ord-A4-pp-N-T18u.wav,Fl,ord,A4,pp,69,483.7,1905.8,,1235.7,1851.9,344.5,452.2
Fl-ord-A5-ff-N-T22d.wav,Fl,ord,A5,ff,81,885.3,2654.5,,942.6,1938.0,904.4,872.1
Fl-ord-A5-mf-N-T11d.wav,Fl,ord,A5,mf,81,908.3,2479.9,,999.4,1905.7,915.2,872.1
Fl-ord-A5-pp-N-N.wav,Fl,ord,A5,pp,81,901.1,2424.4,,983.4,1830.3,893.6,872.1
Fl-ord-A6-ff-N-T13d.wav,Fl,ord,A6,ff,93,1763.9,3553.8,,1754.8,1948.8,1744.2,1776.5
Fl-ord-A6-mf-N-N.wav,Fl,ord,A6,mf,93,1771.0,3578.8,,1764.7,1841.1,1744.2,1776.5
Fl-ord-A6-pp-N-N.wav,Fl,ord,A6,pp,93,1756.7,,,1736.4,1496.6,1679.6,1744.2
Fl-ord-B3-ff-N-N.wav,Fl,ord,B3,ff,59,794.8,2374.6,,962.8,753.7,506.0,506.0
Fl-ord-B3-mf-N-N.wav,Fl,ord,B3,mf,59,605.2,2040.5,,1100.2,786.0,430.7,484.5
