filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
TpC+SH-ord-A#3-mf-N-N.wav,TpC+SH,ord,A#3,mf,58,3163.8,,,1078.5,3143.8,3305.3,3294.6
TpC+SH-ord-A#4-mf-N-N.wav,TpC+SH,ord,A#4,mf,70,3174.2,,,1206.8,3154.6,3316.1,3273.0
TpC+SH-ord-A#5-mf-N-N.wav,TpC+SH,ord,A#5,mf,82,2794.6,,,948.2,3208.4,904.4,936.7
TpC+SH-ord-A3-mf-N-T16u.wav,TpC+SH,ord,A3,mf,57,3256.4,,,1017.6,3230.0,3326.9,3294.6
TpC+SH-ord-A4-mf-N-N.wav,TpC+SH,ord,A4,mf,69,3153.1,,,1280.9,3165.4,3337.6,3531.4
TpC+SH-ord-A5-mf-N-N.wav,TpC+SH,ord,A5,mf,81,2940.2,,,1232.2,3154.6,3423.8,3520.7
TpC+SH-ord-B3-mf-N-N.wav,TpC+SH,ord,B3,mf,59,3243.6,,,1198.5,3154.6,3305.3,3283.8
TpC+SH-ord-B4-mf-N-N.wav,TpC+SH,ord,B4,mf,71,3173.7,,,1310.3,3143.8,3326.9,3466.8
TpC+SH-ord-B5-mf-N-N.wav,TpC+SH,ord,B5,mf,83,2998.0,,,1006.1,3176.1,3133.1,2982.3
TpC+SH-ord-C#4-mf-N-T10u.wav,TpC+SH,ord,C#4,mf,61,3159.6,,,1171.5,3176.1,3326.9,3326.9
TpC+SH-ord-C#5-mf-N-N.wav,TpC+SH,ord,C#5,mf,73,3163.8,,,1568.0,3143.8,3337.6,3316.1
TpC+SH-ord-C#6-mf-N-N.wav,TpC+SH,ord,C#6,mf,85,3302.6,,,1121.5,3273.0,3348.4,3337.6
TpC+SH-ord-C4-mf-N-T18d.wav,TpC+SH,ord,C4,mf,60,2903.0,,,1108.9,3057.7,3262.3,3186.9
TpC+SH-ord-C5-mf-N-T12u.wav,TpC+SH,ord,C5,mf,72,2903.4,,,1398.8,3219.2,3359.2,2131.8
TpC+SH-ord-C6-mf-N-N.wav,TpC+SH,ord,C6,mf,84,3067.3,,,1055.6,3165.4,3240.7,3143.8
TpC+SH-ord-D#4-mf-N-N.wav,TpC+SH,ord,D#4,mf,63,3166.1,,,919.2,3165.4,3326.9,3423.8
TpC+SH-ord-D#5-mf-N-T20u.wav,TpC+SH,ord,D#5,mf,75,3070.9,,,888.8,3240.7,3186.9,3133.1
TpC+SH-ord-D#6-mf-N-N.wav,TpC+SH,ord,D#6,mf,87,2467.5,,,1251.6,1281.2,1281.2,1259.7
TpC+SH-ord-D4-mf-N-N.wav,TpC+SH,ord,D4,mf,62,2885.7,,,1177.7,3111.5,3326.9,3240.7
TpC+SH-ord-D5-mf-N-R100u.wav,TpC+SH,ord,D5,mf,74,3323.5,,,1571.4,3369.9,3520.7,3520.7
TpC+SH-ord-D6-mf-N-T11d.wav,TpC+SH,ord,D6,mf,86,3475.3,,,1177.7,3413.0,3456.1,3509.9
TpC+SH-ord-E4-mf-N-N.wav,TpC+SH,ord,E4,mf,64,3252.4,,,963.5,3122.3,3305.3,3326.9
TpC+SH-ord-E5-mf-N-T19u.wav,TpC+SH,ord,E5,mf,76,3076.8,,,937.2,3219.2,3326.9,3316.1
TpC+SH-ord-F#3-mf-N-N.wav,TpC+SH,ord,F#3,mf,54,3246.8,,,1194.3,3176.1,3326.9,3305.3
TpC+SH-ord-F#4-mf-N-N.wav,TpC+SH,ord,F#4,mf,66,3276.4,,,1098.9,3165.4,3326.9,3316.1
TpC+SH-ord-F#5-mf-N-N.wav,TpC+SH,ord,F#5,mf,78,2716.7,,,1007.3,3154.6,2971.6,742.9
TpC+SH-ord-F4-mf-N-N.wav,TpC+SH,ord,F4,mf,65,3011.2,,,1097.9,3165.4,3337.6,3499.1
TpC+SH-ord-F5-mf-N-N.wav,TpC+SH,ord,F5,mf,77,2366.3,3454.1,,937.5,3143.8,3391.5,3499.1
TpC+SH-ord-G#3-mf-N-N.wav,TpC+SH,ord,G#3,mf,56,3294.5,,,947.9,3176.1,3337.6,3316.1
TpC+SH-ord-G#4-mf-N-N.wav,TpC+SH,ord,G#4,mf,68,3248.5,,,1185.9,3186.9,3326.9,2110.3
TpC+SH-ord-G#5-mf-N-N.wav,TpC+SH,ord,G#5,mf,80,3208.5,,,1332.8,3176.1,3348.4,3348.4
TpC+SH-ord-G3-mf-N-N.wav,TpC+SH,ord,G3,mf,55,3185.5,,,1165.6,3165.4,3326.9,3294.6
TpC+SH-ord-G4-mf-N-N.wav,TpC+SH,ord,G4,mf,67,3312.1,,,1215.9,3219.2,3348.4,3531.4
TpC+SH-ord-G5-mf-N-N.wav,TpC+SH,ord,G5,mf,79,2978.1,,,1187.5,3122.3,3208.4,3143.8
