filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Vns+S-ord-A#3-f.wav,Vns+S,ord,A#3,f,58,1039.9,3604.0,3894.4,1067.1,721.4,398.4,366.1
Vns+S-ord-A#3-p.wav,Vns+S,ord,A#3,p,58,700.0,3097.1,,989.3,775.2,398.4,387.6
Vns+S-ord-A#4-f.wav,Vns+S,ord,A#4,f,70,669.6,3571.0,,1054.0,732.1,387.6,398.4
Vns+S-ord-A#4-p.wav,Vns+S,ord,A#4,p,70,481.6,2888.2,3925.6,1139.1,742.9,398.4,398.4
Vns+S-ord-A#5-f.wav,Vns+S,ord,A#5,f,82,1185.5,3563.8,,933.7,721.4,904.4,3725.2
Vns+S-ord-A#5-p.wav,Vns+S,ord,A#5,p,82,1463.4,3781.7,,940.3,732.1,409.1,915.2
Vns+S-ord-A#6-f.wav,Vns+S,ord,A#6,f,94,2039.7,,,1067.2,742.9,1873.4,1862.6
Vns+S-ord-A#6-p.wav,Vns+S,ord,A#6,p,94,1870.4,3770.5,,1115.6,764.4,441.4,1862.6
Vns+S-ord-C4-f.wav,Vns+S,ord,C4,f,60,540.9,3545.7,,982.4,699.8,398.4,290.7
Vns+S-ord-C4-p.wav,Vns+S,ord,C4,p,60,206.0,3427.8,,1057.6,742.9,376.8,301.5
Vns+S-ord-C5-f.wav,Vns+S,ord,C5,f,72,2096.3,3806.0,,1201.7,710.6,398.4,430.7
Vns+S-ord-C5-p.wav,Vns+S,ord,C5,p,72,874.4,3889.2,,1185.3,753.7,387.6,419.9
Vns+S-ord-C6-f.wav,Vns+S,ord,C6,f,84,1417.6,3729.7,,1037.2,699.8,387.6,3133.1
Vns+S-ord-C6-p.wav,Vns+S,ord,C6,p,84,1291.1,3842.7,,1020.8,721.4,409.1,355.3
Vns+S-ord-C7-f.wav,Vns+S,ord,C7,f,96,2097.0,,,1043.5,742.9,2078.0,2088.7
Vns+S-ord-C7-p.wav,Vns+S,ord,C7,p,96,2086.6,,,1056.2,742.9,2078.0,2088.7
Vns+S-ord-D4-f.wav,Vns+S,ord,D4,f,62,1975.6,,,1217.9,732.1,398.4,301.5
Vns+S-ord-D4-p.wav,Vns+S,ord,D4,p,62,299.3,2815.8,,1109.1,753.7,409.1,312.2
Vns+S-ord-D5-f.wav,Vns+S,ord,D5,f,74,3452.6,,,1201.0,732.1,484.5,581.4
Vns+S-ord-D5-p.wav,Vns+S,ord,D5,p,74,945.4,3453.5,,1231.6,742.9,452.2,323.0
Vns+S-ord-D6-f.wav,Vns+S,ord,D6,f,86,1550.0,3499.1,,1153.4,893.6,3520.7,3520.7
Vns+S-ord-D6-p.wav,Vns+S,ord,D6,p,86,1450.3,3535.3,,1125.4,861.3,452.2,1173.6
Vns+S-ord-E4-f.wav,Vns+S,ord,E4,f,64,207.8,3497.0,,1016.9,721.4,398.4,323.0
Vns+S-ord-E4-p.wav,Vns+S,ord,E4,p,64,709.7,3071.1,,1022.4,796.7,409.1,333.8
Vns+S-ord-E5-f.wav,Vns+S,ord,E5,f,76,1405.3,3880.3,,870.5,732.1,473.7,656.8
Vns+S-ord-E5-p.wav,Vns+S,ord,E5,p,76,923.3,3594.2,,819.8,753.7,452.2,344.5
Vns+S-ord-E6-f.wav,Vns+S,ord,E6,f,88,1599.6,3809.4,,1284.8,829.0,2627.1,1324.3
Vns+S-ord-E6-p.wav,Vns+S,ord,E6,p,88,1710.0,3865.8,,1250.8,872.1,441.4,355.3
Vns+S-ord-F#4-f.wav,Vns+S,ord,F#4,f,66,347.4,3608.8,,959.2,710.6,409.1,355.3
Vns+S-ord-F#4-p.wav,Vns+S,ord,F#4,p,66,663.4,3643.0,,1029.2,775.2,409.1,355.3
Vns+S-ord-F#5-f.wav,Vns+S,ord,F#5,f,78,881.9,3662.6,,856.5,732.1,452.2,732.1
Vns+S-ord-F#5-p.wav,Vns+S,ord,F#5,p,78,838.7,3565.7,,858.2,742.9,452.2,732.1
Vns+S-ord-F#6-f.wav,Vns+S,ord,F#6,f,90,1689.8,,,1419.4,796.7,1485.8,1485.8
Vns+S-ord-F#6-p.wav,Vns+S,ord,F#6,p,90,1868.0,,,1360.4,839.8,1475.0,2960.8
Vns+S-ord-G#3-f.wav,Vns+S,ord,G#3,f,56,890.9,3595.4,,1012.6,732.1,398.4,323.0
Vns+S-ord-G#3-p.wav,Vns+S,ord,G#3,p,56,944.8,3748.6,,1002.7,775.2,409.1,344.5
Vns+S-ord-G#4-f.wav,Vns+S,ord,G#4,f,68,762.4,3503.3,,963.4,710.6,409.1,387.6
Vns+S-ord-G#4-p.wav,Vns+S,ord,G#4,p,68,775.3,3117.1,,1032.1,742.9,398.4,366.1
Vns+S-ord-G#5-f.wav,Vns+S,ord,G#5,f,80,1029.3,3548.6,,1022.0,721.4,409.1,807.5
Vns+S-ord-G#5-p.wav,Vns+S,ord,G#5,p,80,925.5,3666.1,,935.7,732.1,430.7,818.3
Vns+S-ord-G#6-f.wav,Vns+S,ord,G#6,f,92,1818.0,3915.3,,1565.3,753.7,3316.1,3326.9
Vns+S-ord-G#6-p.wav,Vns+S,ord,G#6,p,92,1745.2,3973.8,,1489.7,786.0,430.7,1658.1
