filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
ClBb-ord-A#3-ff-N-T13u.wav,ClBb,ord,A#3,ff,58,1403.2,2220.7,,1128.5,1647.3,1464.3,236.9
ClBb-ord-A#3-mf-N-N.wav,ClBb,ord,A#3,mf,58,733.5,2155.5,2930.5,927.7,2713.2,2659.4,226.1
ClBb-ord-A#3-pp-N-N.wav,ClBb,ord,A#3,pp,58,267.0,3738.4,,873.5,2594.8,2271.8,215.3
ClBb-ord-A#4-ff-N-N.wav,ClBb,ord,A#4,ff,70,1406.6,3218.8,,1353.9,1313.5,1292.0,463.0
ClBb-ord-A#4-mf-N-N.wav,ClBb,ord,A#4,mf,70,517.9,1543.6,3190.6,1351.1,1722.7,452.2,463.0
ClBb-ord-A#4-pp-N-T15d.wav,ClBb,ord,A#4,pp,70,472.6,1958.5,,1306.7,1625.8,419.9,463.0
ClBb-ord-A#5-ff-N-N.wav,ClBb,ord,A#5,ff,82,1605.4,3162.2,,946.3,1744.2,936.7,936.7
ClBb-ord-A#5-mf-N-N.wav,ClBb,ord,A#5,mf,82,984.8,1984.3,,943.6,1776.5,936.7,936.7
ClBb-ord-A#5-pp-N-N.wav,ClBb,ord,A#5,pp,82,940.2,2711.1,,944.7,1292.0,936.7,947.5
ClBb-ord-A3-ff-N-T22u.wav,ClBb,ord,A3,ff,57,1530.6,,,1010.1,1539.6,1442.7,226.1
ClBb-ord-A3-mf-N-N.wav,ClBb,ord,A3,mf,57,1062.0,3086.0,,934.0,2594.8,1055.1,215.3
ClBb-ord-A3-pp-N-N.wav,ClBb,ord,A3,pp,57,444.8,,,954.2,1335.1,1109.0,204.6
ClBb-ord-A4-ff-N-N.wav,ClBb,ord,A4,ff,69,1230.1,3657.1,,1242.5,1055.1,419.9,441.4
ClBb-ord-A4-mf-N-N.wav,ClBb,ord,A4,mf,69,477.9,1361.6,,1055.6,2853.1,387.6,452.2
ClBb-ord-A4-pp-N-T13d.wav,ClBb,ord,A4,pp,69,440.9,3759.6,,1078.0,3014.6,269.2,441.4
ClBb-ord-A5-ff-N-N.wav,ClBb,ord,A5,ff,81,1746.7,3505.2,,1373.3,1593.5,1679.6,1755.0
ClBb-ord-A5-mf-N-N.wav,ClBb,ord,A5,mf,81,1724.0,3454.9,,1336.7,1604.2,1668.8,1755.0
ClBb-ord-A5-pp-N-N.wav,ClBb,ord,A5,pp,81,916.7,2001.0,3624.9,1039.7,1076.7,893.6,882.9
ClBb-ord-B3-ff-N-T16u.wav,ClBb,ord,B3,ff,59,1357.7,2821.3,3173.1,1221.4,1690.4,1485.8,742.9
ClBb-ord-B3-mf-N-N.wav,ClBb,ord,B3,mf,59,1103.8,2938.6,,1040.4,1421.2,1442.7,721.4
ClBb-ord-B3-pp-N-T12d.wav,ClBb,ord,B3,pp,59,266.4,3251.5,,954.9,1302.8,2336.4,1195.1
ClBb-ord-B4-ff-N-T21u.wav,ClBb,ord,B4,ff,71,1517.2,3093.6,,1414.5,1528.9,1356.6,495.3
ClBb-ord-B4-mf-N-T12u.wav,ClBb,ord,B4,mf,71,1491.4,2991.5,,1390.9,1292.0,1292.0,1475.0
ClBb-ord-B4-pp-N-N.wav,ClBb,ord,B4,pp,71,509.5,2727.5,,1261.5,3736.0,1248.9,495.3
ClBb-ord-B5-ff-N-N.wav,ClBb,ord,B5,ff,83,1485.4,,,992.2,1238.2,958.2,990.5
ClBb-ord-B5-mf-N-N.wav,ClBb,ord,B5,mf,83,1097.9,1976.5,,993.3,1862.6,1991.8,1981.1
ClBb-ord-B5-pp-N-N.wav,ClBb,ord,B5,pp,83,1065.7,2099.4,,1002.4,3509.9,1991.8,1001.3
ClBb-ord-C#4-ff-N-T15u.wav,ClBb,ord,C#4,ff,61,1392.9,3764.0,,1186.7,1647.3,1475.0,1388.9
ClBb-ord-C#4-mf-N-N.wav,ClBb,ord,C#4,mf,61,659.0,1704.5,,1100.8,1636.5,1711.9,1690.4
