filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Fl-ord-A#4-ff-N-N.wav,Fl,ord,A#4,ff,70,943.7,2249.0,,1049.9,1571.9,1528.9,936.7
Fl-ord-A#4-mf-N-N.wav,Fl,ord,A#4,mf,70,835.2,1949.8,,1109.2,1647.3,1528.9,463.0
Fl-ord-A#4-pp-N-T11u.wav,Fl,ord,A#4,pp,70,490.3,2269.9,,1148.4,1550.4,344.5,463.0
Fl-ord-A#5-ff-N-T21d.wav,Fl,ord,A#5,ff,82,950.9,2794.7,,952.9,1345.8,936.7,925.9
Fl-ord-A#5-mf-N-T18d.wav,Fl,ord,A#5,mf,82,1017.4,2493.4,,948.4,1539.6,936.7,936.7
Fl-ord-A#5-pp-N-N.wav,Fl,ord,A#5,pp,82,937.5,2633.5,,937.1,1410.4,936.7,925.9
Fl-ord-A#6-ff-N-T15d.wav,Fl,ord,A#6,ff,94,1870.3,3752.2,,1347.9,1711.9,1873.4,1873.4
Fl-ord-A#6-mf-N-T11d.wav,Fl,ord,A#6,mf,94,1869.8,3772.4,,1331.5,1744.2,1819.6,1862.6
Fl-ord-A#6-pp-N-N.wav,Fl,ord,A#6,pp,94,1871.5,,,1312.8,1410.4,1281.2,1496.6
Fl-ord-A4-ff-N-N.wav,Fl,ord,A4,ff,69,1048.2,2052.9,3952.1,1208.7,1884.2,2078.0,441.4
Fl-ord-A4-mf-N-N.wav,Fl,ord,A4,mf,69,913.2,2175.7,,1260.5,1948.8,2131.8,441.4
Fl-ord-A4-pp-N-T18u.wav,Fl,ord,A4,pp,69,482.3,1898.5,,1235.0,1841.1,344.5,441.4
Fl-ord-A5-ff-N-T22d.wav,Fl,ord,A5,ff,81,884.2,2663.4,,936.6,1948.8,904.4,872.1
Fl-ord-A5-mf-N-T11d.wav,Fl,ord,A5,mf,81,909.2,2472.0,,1000.1,1905.7,925.9,872.1
Fl-ord-A5-pp-N-N.wav,Fl,ord,A5,pp,81,900.5,2429.2,,981.7,1808.8,904.4,872.1
