filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Hn-ord-A#1-mf-N-T17d.wav,Hn,ord,A#1,mf,34,447.0,1014.1,,813.5,430.7,398.4,398.4
Hn-ord-A#1-pp-N-N.wav,Hn,ord,A#1,pp,34,502.6,,,799.9,3133.1,376.8,366.1
Hn-ord-A#2-ff-N-N.wav,Hn,ord,A#2,ff,46,577.0,2082.4,3711.3,1011.3,667.5,452.2,463.0
Hn-ord-A#2-mf-N-N.wav,Hn,ord,A#2,mf,46,408.1,2451.7,,976.0,527.6,398.4,398.4
Hn-ord-A#2-pp-N-R100d.wav,Hn,ord,A#2,pp,46,335.6,,,828.2,1841.1,355.3,279.9
Hn-ord-A#3-ff-N-N.wav,Hn,ord,A#3,ff,58,554.5,2170.9,,978.0,635.2,441.4,495.3
Hn-ord-A#3-mf-N-N.wav,Hn,ord,A#3,mf,58,443.5,1946.5,3837.5,845.8,613.7,419.9,473.7
Hn-ord-A#3-pp-N-N.wav,Hn,ord,A#3,pp,58,506.9,,,798.8,559.9,409.1,236.9
Hn-ord-A#4-ff-N-N.wav,Hn,ord,A#4,ff,70,700.1,2460.4,,990.5,775.2,549.1,473.7
Hn-ord-A#4-mf-N-N.wav,Hn,ord,A#4,mf,70,519.6,1100.0,,969.2,721.4,549.1,473.7
Hn-ord-A#4-pp-N-N.wav,Hn,ord,A#4,pp,70,515.0,874.3,,955.8,699.8,602.9,473.7
Hn-ord-A1-mf-N-N.wav,Hn,ord,A1,mf,33,536.9,,,772.9,506.0,387.6,398.4
Hn-ord-A2-ff-N-N.wav,Hn,ord,A2,ff,45,501.6,2097.9,,1054.9,602.9,409.1,430.7
Hn-ord-A2-mf-N-N.wav,Hn,ord,A2,mf,45,476.4,3858.4,,773.3,484.5,430.7,441.4
Hn-ord-A2-pp-N-R100u.wav,Hn,ord,A2,pp,45,527.5,,,770.7,495.3,419.9,441.4
Hn-ord-A3-ff-N-N.wav,Hn,ord,A3,ff,57,529.0,2059.3,,927.6,646.0,452.2,473.7
Hn-ord-A3-mf-N-N.wav,Hn,ord,A3,mf,57,447.0,2121.2,,876.6,581.4,409.1,463.0
Hn-ord-A3-pp-N-N.wav,Hn,ord,A3,pp,57,424.5,,,785.2,409.1,355.3,204.6
Hn-ord-A4-ff-N-N.wav,Hn,ord,A4,ff,69,557.4,2101.3,3499.5,1101.3,710.6,484.5,452.2
Hn-ord-A4-mf-N-N.wav,Hn,ord,A4,mf,69,489.3,1165.2,,998.7,689.1,506.0,452.2
Hn-ord-A4-pp-N-N.wav,Hn,ord,A4,pp,69,467.1,,,957.4,699.8,549.1,452.2
Hn-ord-B1-ff-N-N.wav,Hn,ord,B1,ff,35,457.3,3922.8,,780.3,376.8,387.6,236.9
Hn-ord-B1-mf-N-N.wav,Hn,ord,B1,mf,35,467.5,,,790.3,398.4,376.8,387.6
Hn-ord-B1-pp-N-T15d.wav,Hn,ord,B1,pp,35,348.9,3951.9,,759.2,2982.3,333.8,215.3
Hn-ord-B2-ff-N-N.wav,Hn,ord,B2,ff,47,583.3,2081.0,,962.7,624.5,430.7,441.4
Hn-ord-B2-mf-N-N.wav,Hn,ord,B2,mf,47,429.8,1882.1,,954.8,527.6,376.8,419.9
Hn-ord-B2-pp-N-N.wav,Hn,ord,B2,pp,47,375.5,,,744.4,1916.5,355.3,419.9
Hn-ord-B3-ff-N-N.wav,Hn,ord,B3,ff,59,664.9,2559.0,,1013.9,678.3,473.7,592.2
Hn-ord-B3-mf-N-N.wav,Hn,ord,B3,mf,59,449.4,1590.5,,872.4,678.3,452.2,559.9
Hn-ord-B3-pp-N-N.wav,Hn,ord,B3,pp,59,402.5,3691.9,,861.7,613.7,398.4,269.2
Hn-ord-B4-ff-N-N.wav,Hn,ord,B4,ff,71,700.7,2359.3,,1054.2,764.4,538.3,495.3
Hn-ord-B4-mf-N-N.wav,Hn,ord,B4,mf,71,558.4,1328.6,,1018.1,732.1,592.2,506.0
Hn-ord-B4-pp-N-N.wav,Hn,ord,B4,pp,71,521.6,,,994.2,699.8,592.2,506.0
Hn-ord-C#2-ff-N-N.wav,Hn,ord,C#2,ff,37,471.9,1728.7,,778.1,463.0,398.4,398.4
Hn-ord-C#2-mf-N-N.wav,Hn,ord,C#2,mf,37,470.3,,,752.9,1873.4,387.6,376.8
Hn-ord-C#2-pp-N-N.wav,Hn,ord,C#2,pp,37,578.4,,,761.5,419.9,376.8,258.4
Hn-ord-C#3-ff-N-N.wav,Hn,ord,C#3,ff,49,560.3,2091.8,,968.8,635.2,441.4,441.4
Hn-ord-C#3-mf-N-N.wav,Hn,ord,C#3,mf,49,442.5,1770.4,,917.8,570.6,419.9,419.9
Hn-ord-C#3-pp-N-N.wav,Hn,ord,C#3,pp,49,395.0,3819.0,,811.2,419.9,409.1,419.9
Hn-ord-C#4-ff-N-N.wav,Hn,ord,C#4,ff,61,606.0,2418.6,3857.1,1166.1,732.1,484.5,559.9
Hn-ord-C#4-mf-N-T12u.wav,Hn,ord,C#4,mf,61,550.3,,,934.2,678.3,463.0,570.6
Hn-ord-C#4-pp-N-N.wav,Hn,ord,C#4,pp,61,442.7,3863.1,,939.3,602.9,430.7,290.7
Hn-ord-C#5-ff-N-N.wav,Hn,ord,C#5,ff,73,586.3,2273.2,,1350.6,710.6,581.4,559.9
Hn-ord-C#5-mf-N-N.wav,Hn,ord,C#5,mf,73,561.4,2351.9,,1143.6,689.1,581.4,559.9
Hn-ord-C#5-pp-N-N.wav,Hn,ord,C#5,pp,73,560.3,3632.9,,1126.3,656.8,570.6,570.6
Hn-ord-C2-ff-N-N.wav,Hn,ord,C2,ff,36,508.7,,,813.0,527.6,409.1,398.4
Hn-ord-C2-mf-N-N.wav,Hn,ord,C2,mf,36,493.8,,,770.0,463.0,387.6,355.3
Hn-ord-C2-pp-N-N.wav,Hn,ord,C2,pp,36,567.6,,,772.0,452.2,387.6,355.3
Hn-ord-C3-ff-N-N.wav,Hn,ord,C3,ff,48,613.6,2250.7,3910.2,957.4,646.0,419.9,441.4
Hn-ord-C3-mf-N-N.wav,Hn,ord,C3,mf,48,713.5,,,929.3,3886.7,355.3,344.5
Hn-ord-C3-pp-N-N.wav,Hn,ord,C3,pp,48,471.4,3965.8,,762.3,452.2,376.8,409.1
Hn-ord-C4-ff-N-N.wav,Hn,ord,C4,ff,60,858.7,2923.8,,1033.9,710.6,430.7,570.6
Hn-ord-C4-mf-N-N.wav,Hn,ord,C4,mf,60,581.3,,,908.9,656.8,430.7,570.6
Hn-ord-C4-pp-N-N.wav,Hn,ord,C4,pp,60,465.4,3620.3,,908.9,581.4,409.1,290.7
Hn-ord-C5-ff-N-N.wav,Hn,ord,C5,ff,72,610.1,2263.8,,1137.1,742.9,581.4,527.6
Hn-ord-C5-mf-N-N.wav,Hn,ord,C5,mf,72,561.9,1275.0,,1074.7,732.1,602.9,538.3
Hn-ord-C5-pp-N-N.wav,Hn,ord,C5,pp,72,540.7,1356.0,,1078.1,667.5,592.2,527.6
Hn-ord-D#2-ff-N-T11u.wav,Hn,ord,D#2,ff,39,758.9,2401.1,,965.7,678.3,473.7,506.0
Hn-ord-D#2-mf-N-N.wav,Hn,ord,D#2,mf,39,558.7,3490.9,,742.7,452.2,398.4,247.6
Hn-ord-D#2-pp-N-R100u.wav,Hn,ord,D#2,pp,39,506.7,,,774.1,344.5,366.1,204.6
Hn-ord-D#3-ff-N-N.wav,Hn,ord,D#3,ff,51,546.4,1990.4,,880.9,635.2,452.2,473.7
Hn-ord-D#3-mf-N-N.wav,Hn,ord,D#3,mf,51,415.1,3783.0,,808.3,484.5,409.1,441.4
Hn-ord-D#3-pp-N-N.wav,Hn,ord,D#3,pp,51,350.3,3500.2,,736.6,1948.8,387.6,215.3
Hn-ord-D#4-ff-N-N.wav,Hn,ord,D#4,ff,63,721.7,2359.5,,893.6,721.4,473.7,635.2
Hn-ord-D#4-mf-N-N.wav,Hn,ord,D#4,mf,63,537.2,1188.7,3946.8,736.9,656.8,463.0,624.5
Hn-ord-D#4-pp-N-N.wav,Hn,ord,D#4,pp,63,541.1,3666.7,,688.7,624.5,430.7,312.2
Hn-ord-D#5-ff-N-T10u.wav,Hn,ord,D#5,ff,75,719.2,2490.4,,697.9,721.4,624.5,624.5
Hn-ord-D#5-mf-N-N.wav,Hn,ord,D#5,mf,75,646.4,2020.8,,692.9,721.4,624.5,624.5
Hn-ord-D#5-pp-N-N.wav,Hn,ord,D#5,pp,75,625.8,2273.6,,646.4,635.2,613.7,624.5
Hn-ord-D2-ff-N-N.wav,Hn,ord,D2,ff,38,525.5,2090.1,,893.9,559.9,441.4,463.0
Hn-ord-D2-mf-N-N.wav,Hn,ord,D2,mf,38,509.8,3946.7,,768.6,1927.2,387.6,215.3
Hn-ord-D2-pp-N-N.wav,Hn,ord,D2,pp,38,516.2,,,781.2,1841.1,333.8,215.3
Hn-ord-D3-ff-N-N.wav,Hn,ord,D3,ff,50,602.5,2053.4,3742.8,1006.4,667.5,463.0,463.0
Hn-ord-D3-mf-N-N.wav,Hn,ord,D3,mf,50,420.3,3957.0,,898.1,441.4,366.1,398.4
Hn-ord-D3-pp-N-N.wav,Hn,ord,D3,pp,50,476.3,,,791.9,430.7,387.6,226.1
Hn-ord-D4-ff-N-N.wav,Hn,ord,D4,ff,62,312.8,2663.8,,1095.2,689.1,452.2,592.2
Hn-ord-D4-mf-N-N.wav,Hn,ord,D4,mf,62,540.1,3812.3,,840.4,646.0,441.4,301.5
Hn-ord-D4-pp-N-N.wav,Hn,ord,D4,pp,62,472.1,3744.2,,856.8,602.9,409.1,301.5
Hn-ord-D5-ff-N-N.wav,Hn,ord,D5,ff,74,641.1,2327.8,,1264.1,721.4,592.2,592.2
Hn-ord-D5-mf-N-N.wav,Hn,ord,D5,mf,74,603.9,1908.9,,860.6,742.9,602.9,592.2
Hn-ord-D5-pp-N-T10u.wav,Hn,ord,D5,pp,74,592.6,3407.9,,776.5,624.5,592.2,592.2
Hn-ord-E2-ff-N-T18u.wav,Hn,ord,E2,ff,40,794.2,2449.3,,991.7,699.8,495.3,484.5
Hn-ord-E2-mf-N-N.wav,Hn,ord,E2,mf,40,471.2,2260.2,,834.4,1894.9,409.1,398.4
Hn-ord-E2-pp-N-N.wav,Hn,ord,E2,pp,40,543.0,,,759.2,1916.5,376.8,387.6
Hn-ord-E3-ff-N-N.wav,Hn,ord,E3,ff,52,618.8,2298.3,3916.8,986.4,667.5,441.4,452.2
Hn-ord-E3-mf-N-N.wav,Hn,ord,E3,mf,52,440.0,1836.4,,1019.3,559.9,376.8,430.7
Hn-ord-E3-pp-N-N.wav,Hn,ord,E3,pp,52,399.8,3928.2,,742.8,1970.3,376.8,236.9
Hn-ord-E4-ff-N-N.wav,Hn,ord,E4,ff,64,584.9,2124.9,3963.5,891.7,699.8,430.7,333.8
Hn-ord-E4-mf-N-N.wav,Hn,ord,E4,mf,64,641.5,,,775.7,667.5,430.7,333.8
Hn-ord-E4-pp-N-N.wav,Hn,ord,E4,pp,64,481.1,3850.7,,740.4,635.2,419.9,333.8
Hn-ord-E5-ff-N-N.wav,Hn,ord,E5,ff,76,694.4,2251.1,,728.2,732.1,656.8,656.8
Hn-ord-E5-mf-N-T13u.wav,Hn,ord,E5,mf,76,698.4,1970.8,,764.4,721.4,656.8,656.8
Hn-ord-E5-pp-N-N.wav,Hn,ord,E5,pp,76,670.6,1915.4,,712.9,678.3,656.8,656.8
Hn-ord-F#2-ff-N-N.wav,Hn,ord,F#2,ff,42,983.3,2681.7,2836.0,1037.3,699.8,473.7,452.2
Hn-ord-F#2-mf-N-N.wav,Hn,ord,F#2,mf,42,433.4,3872.7,,800.3,1916.5,366.1,226.1
Hn-ord-F#2-pp-N-N.wav,Hn,ord,F#2,pp,42,371.5,,,791.9,2659.4,2605.5,3671.4
Hn-ord-F#3-ff-N-N.wav,Hn,ord,F#3,ff,54,533.9,2189.7,3878.7,1092.7,635.2,441.4,452.2
Hn-ord-F#3-mf-N-N.wav,Hn,ord,F#3,mf,54,507.9,1717.2,,1015.2,613.7,419.9,452.2
Hn-ord-F#3-pp-N-N.wav,Hn,ord,F#3,pp,54,399.6,3533.6,,832.9,506.0,376.8,419.9
Hn-ord-F#4-ff-N-N.wav,Hn,ord,F#4,ff,66,569.5,2239.9,,845.0,689.1,430.7,387.6
Hn-ord-F#4-mf-N-N.wav,Hn,ord,F#4,mf,66,612.4,,,793.4,667.5,430.7,376.8
