filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Ob-ord-A#3-ff-N-T10d.wav,Ob,ord,A#3,ff,58,1479.9,3323.1,,1200.0,1324.3,1496.6,1636.5
Ob-ord-A#3-mf-N-N.wav,Ob,ord,A#3,mf,58,1551.0,3316.4,,1256.3,1496.6,1528.9,1647.3
Ob-ord-A#3-pp-N-T12d.wav,Ob,ord,A#3,pp,58,1413.6,2975.4,,1135.0,1324.3,1184.3,1324.3
Ob-ord-A#4-ff-N-N.wav,Ob,ord,A#4,ff,70,1471.5,,,1265.1,1475.0,1324.3,1399.7
Ob-ord-A#4-mf-N-R100u.wav,Ob,ord,A#4,mf,70,1718.3,2043.9,,1211.4,1604.2,1841.1,1841.1
Ob-ord-A#4-pp-N-N.wav,Ob,ord,A#4,pp,70,1313.1,1713.0,,1193.0,1421.2,1248.9,473.7
Ob-ord-A#5-ff-N-N.wav,Ob,ord,A#5,ff,82,1161.4,1713.9,,944.2,1345.8,1884.2,936.7
Ob-ord-A#5-mf-N-N.wav,Ob,ord,A#5,mf,82,1310.0,1745.1,2569.2,943.5,1367.4,1851.9,925.9
Ob-ord-A#5-pp-N-T14u.wav,Ob,ord,A#5,pp,82,1067.7,2024.0,,943.3,1356.6,1873.4,936.7
Ob-ord-A4-ff-N-N.wav,Ob,ord,A4,ff,69,1583.5,3731.0,,1402.4,1528.9,1668.8,1744.2
Ob-ord-A4-mf-N-N.wav,Ob,ord,A4,mf,69,1625.2,1996.7,,1395.8,1507.3,1711.9,1733.4
Ob-ord-A4-pp-N-N.wav,Ob,ord,A4,pp,69,1240.5,1768.8,,1391.7,1528.9,1701.1,1755.0
Ob-ord-A5-ff-N-T19u.wav,Ob,ord,A5,ff,81,1318.8,1799.9,,1346.4,1755.0,1798.0,872.1
Ob-ord-A5-mf-N-T11u.wav,Ob,ord,A5,mf,81,1148.9,1774.2,3942.6,1330.2,1615.0,1787.3,1765.7
Ob-ord-A5-pp-N-N.wav,Ob,ord,A5,pp,81,1533.3,2292.4,,1282.8,1421.2,872.1,1744.2
Ob-ord-A6-ff-N-T18u.wav,Ob,ord,A6,ff,93,1759.0,3518.1,,1734.0,1421.2,1722.7,1755.0
Ob-ord-A6-pp-N-N.wav,Ob,ord,A6,pp,93,1748.5,3498.0,,1696.4,1356.6,1711.9,1744.2
Ob-ord-B3-ff-N-N.wav,Ob,ord,B3,ff,59,1468.4,3954.6,,1295.6,1367.4,1399.7,1453.5
Ob-ord-B3-mf-N-N.wav,Ob,ord,B3,mf,59,1438.6,2689.7,,1276.0,1335.1,1313.5,1442.7
Ob-ord-B3-pp-N-N.wav,Ob,ord,B3,pp,59,1122.0,1505.4,,1243.0,1270.5,1410.4,1442.7
Ob-ord-B4-ff-N-T13d.wav,Ob,ord,B4,ff,71,1404.1,2645.4,,1282.3,1507.3,1518.1,1475.0
Ob-ord-B4-mf-N-N.wav,Ob,ord,B4,mf,71,1451.7,3688.8,,1301.2,1561.2,1604.2,1485.8
Ob-ord-B4-pp-N-N.wav,Ob,ord,B4,pp,71,1398.0,3748.2,,1259.8,1475.0,1561.2,1464.3
Ob-ord-B5-ff-N-T11u.wav,Ob,ord,B5,ff,83,1920.2,,,1011.4,1550.4,2024.1,1981.1
Ob-ord-B5-mf-N-T12u.wav,Ob,ord,B5,mf,83,1112.3,1967.1,,1013.0,1776.5,2024.1,990.5
Ob-ord-B5-pp-N-T20u.wav,Ob,ord,B5,pp,83,1012.4,2021.9,,1009.5,1711.9,2013.4,990.5
Ob-ord-C#4-ff-N-N.wav,Ob,ord,C#4,ff,61,1588.2,1741.2,,1283.1,1776.5,1916.5,1970.3
Ob-ord-C#4-mf-N-N.wav,Ob,ord,C#4,mf,61,1604.1,1723.8,,1351.3,1711.9,1528.9,1679.6
Ob-ord-C#4-pp-N-R100u.wav,Ob,ord,C#4,pp,61,1379.8,2013.0,,1314.1,1388.9,1410.4,1399.7
Ob-ord-C#5-ff-N-N.wav,Ob,ord,C#5,ff,73,1589.2,3403.9,,1444.1,1798.0,1722.7,1668.8
Ob-ord-C#5-mf-N-N.wav,Ob,ord,C#5,mf,73,1280.5,2025.1,,1349.6,1916.5,1722.7,1119.7
Ob-ord-C#5-pp-N-N.wav,Ob,ord,C#5,pp,73,1141.1,1729.3,,1411.6,1711.9,1722.7,549.1
Ob-ord-C#6-ff-N-N.wav,Ob,ord,C#6,ff,85,1169.0,2210.6,,1104.0,2164.1,2271.8,2207.2
Ob-ord-C#6-mf-N-N.wav,Ob,ord,C#6,mf,85,1149.9,2217.3,,1109.3,2228.7,2271.8,2228.7
Ob-ord-C#6-pp-N-T10u.wav,Ob,ord,C#6,pp,85,1114.7,2221.6,,1111.5,1162.8,2261.0,2228.7
Ob-ord-C4-ff-N-N.wav,Ob,ord,C4,ff,60,1447.3,2505.8,,1223.7,1388.9,1292.0,1335.1
Ob-ord-C4-mf-N-N.wav,Ob,ord,C4,mf,60,1452.1,2393.2,,1290.7,1528.9,1432.0,1528.9
Ob-ord-C4-pp-N-N.wav,Ob,ord,C4,pp,60,1442.1,2017.3,,1242.8,1378.1,1345.8,1292.0
Ob-ord-C5-ff-N-N.wav,Ob,ord,C5,ff,72,1443.4,3196.4,,1264.8,2519.4,2304.1,1044.4
Ob-ord-C5-mf-N-N.wav,Ob,ord,C5,mf,72,1252.4,2638.5,3724.8,1231.6,1335.1,1259.7,1044.4
Ob-ord-C5-pp-N-N.wav,Ob,ord,C5,pp,72,1155.5,2788.7,,1163.5,1259.7,1205.9,1055.1
Ob-ord-C6-ff-N-N.wav,Ob,ord,C6,ff,84,1302.4,2236.6,,1048.2,1259.7,1141.3,1044.4
Ob-ord-C6-mf-N-N.wav,Ob,ord,C6,mf,84,1355.0,2089.4,,1051.6,1227.4,1119.7,1044.4
Ob-ord-C6-pp-N-T13u.wav,Ob,ord,C6,pp,84,1201.4,2916.3,,1053.7,1195.1,1033.6,1044.4
Ob-ord-D#4-ff-N-N.wav,Ob,ord,D#4,ff,63,1606.8,3972.4,,1270.1,1636.5,1582.7,1550.4
Ob-ord-D#4-mf-N-N.wav,Ob,ord,D#4,mf,63,1557.4,3236.9,,1260.8,1604.2,1550.4,1561.2
Ob-ord-D#4-pp-N-N.wav,Ob,ord,D#4,pp,63,1273.7,1655.9,3787.4,1225.3,1615.0,1582.7,1561.2
Ob-ord-D#5-ff-N-N.wav,Ob,ord,D#5,ff,75,1242.9,2920.2,,1036.6,1421.2,1270.5,1248.9
Ob-ord-D#5-mf-N-N.wav,Ob,ord,D#5,mf,75,1188.1,2636.2,,967.9,1324.3,1259.7,1248.9
Ob-ord-D#5-pp-N-N.wav,Ob,ord,D#5,pp,75,1244.5,2123.7,,993.7,1292.0,1238.2,1248.9
Ob-ord-D#6-ff-N-N.wav,Ob,ord,D#6,ff,87,1259.6,3068.7,,1244.1,1248.9,1248.9,1248.9
Ob-ord-D#6-mf-N-N.wav,Ob,ord,D#6,mf,87,1259.2,3106.9,,1244.0,1248.9,1248.9,1248.9
Ob-ord-D#6-pp-N-N.wav,Ob,ord,D#6,pp,87,1251.5,2937.9,,1246.0,1238.2,1227.4,1238.2
Ob-ord-D4-ff-N-N.wav,Ob,ord,D4,ff,62,1435.6,1928.9,3825.3,1298.3,1399.7,1507.3,1464.3
Ob-ord-D4-mf-N-N.wav,Ob,ord,D4,mf,62,1450.3,3366.6,,1307.7,1615.0,1550.4,1464.3
Ob-ord-D4-pp-N-N.wav,Ob,ord,D4,pp,62,1418.5,3207.1,,1244.4,1378.1,1528.9,1475.0
Ob-ord-D5-ff-N-N.wav,Ob,ord,D5,ff,74,1784.8,3569.9,,1423.6,1658.1,1744.2,1776.5
Ob-ord-D5-mf-N-N.wav,Ob,ord,D5,mf,74,1233.1,1841.5,,1428.5,1733.4,1744.2,592.2
Ob-ord-D5-pp-N-N.wav,Ob,ord,D5,pp,74,1605.9,2034.3,,1351.6,1378.1,1205.9,581.4
Ob-ord-D6-ff-N-R100u.wav,Ob,ord,D6,ff,86,1226.0,2342.9,,1166.1,2314.8,2379.4,2347.1
Ob-ord-D6-mf-N-N.wav,Ob,ord,D6,mf,86,1318.6,2651.4,,1177.0,1195.1,1216.6,1195.1
Ob-ord-D6-pp-N-N.wav,Ob,ord,D6,pp,86,1241.4,2407.2,,1176.4,1216.6,2293.3,2347.1
Ob-ord-E4-ff-N-N.wav,Ob,ord,E4,ff,64,1541.3,,,1233.9,1690.4,1485.8,1324.3
Ob-ord-E4-mf-N-N.wav,Ob,ord,E4,mf,64,1537.0,3551.4,,1236.8,1668.8,1485.8,1324.3
Ob-ord-E4-pp-N-R100u.wav,Ob,ord,E4,pp,64,1341.0,1780.1,3998.3,1295.5,1690.4,1668.8,1658.1
Ob-ord-E5-ff-N-N.wav,Ob,ord,E5,ff,76,1314.7,3111.4,,1132.5,1399.7,1324.3,1313.5
Ob-ord-E5-mf-N-T10u.wav,Ob,ord,E5,mf,76,1428.7,2315.6,,1113.7,1615.0,1335.1,1335.1
Ob-ord-E5-pp-N-N.wav,Ob,ord,E5,pp,76,1301.7,1608.3,,1114.3,1324.3,1324.3,1313.5
