filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Cb+S-ord-A#1-ff-3c-N.wav,Cb+S,ord,A#1,ff,34,2844.0,3226.5,,1061.7,2702.4,2680.9,150.7
Cb+S-ord-A#1-ff-4c-N.wav,Cb+S,ord,A#1,ff,34,1832.5,3989.6,,1092.0,1582.7,1701.1,150.7
Cb+S-ord-A#1-mf-3c-N.wav,Cb+S,ord,A#1,mf,34,1758.7,,,1103.4,1475.0,3682.2,150.7
Cb+S-ord-A#1-mf-4c-N.wav,Cb+S,ord,A#1,mf,34,1654.2,,,1059.3,2820.8,3316.1,150.7
Cb+S-ord-A#1-pp-3c-N.wav,Cb+S,ord,A#1,pp,34,2509.9,,,1020.9,2497.9,2390.2,150.7
Cb+S-ord-A#1-pp-4c-N.wav,Cb+S,ord,A#1,pp,34,1467.5,,,1011.3,,1798.0,1862.6
Cb+S-ord-A#2-ff-1c-N.wav,Cb+S,ord,A#2,ff,46,2174.4,,,1098.3,1227.4,3606.8,193.8
Cb+S-ord-A#2-ff-2c-N.wav,Cb+S,ord,A#2,ff,46,2055.7,,,1117.3,2810.1,3057.7,183.0
Cb+S-ord-A#2-mf-1c-N.wav,Cb+S,ord,A#2,mf,46,1830.8,,,1188.2,1485.8,2584.0,193.8
Cb+S-ord-A#2-mf-2c-N.wav,Cb+S,ord,A#2,mf,46,1677.9,,,1130.9,1421.2,904.4,183.0
Cb+S-ord-A#2-pp-1c-N.wav,Cb+S,ord,A#2,pp,46,2137.5,,,1117.6,2648.6,936.7,183.0
Cb+S-ord-A#2-pp-2c-N.wav,Cb+S,ord,A#2,pp,46,1541.1,,,1057.7,1270.5,2551.7,161.5
Cb+S-ord-A#3-ff-1c-N.wav,Cb+S,ord,A#3,ff,58,1878.8,,,1108.9,1292.0,3036.2,204.6
Cb+S-ord-A#3-mf-1c-N.wav,Cb+S,ord,A#3,mf,58,1821.1,,,1090.5,2540.9,3660.6,204.6
Cb+S-ord-A#3-pp-1c-N.wav,Cb+S,ord,A#3,pp,58,1949.7,,,1048.3,1259.7,936.7,1022.8
Cb+S-ord-A1-ff-3c-N.wav,Cb+S,ord,A1,ff,33,2274.2,3030.7,,961.6,2820.8,2799.3,161.5
Cb+S-ord-A1-ff-4c-T18d.wav,Cb+S,ord,A1,ff,33,2060.6,,,1119.3,1561.2,1733.4,161.5
Cb+S-ord-A1-mf-3c-N.wav,Cb+S,ord,A1,mf,33,1719.6,3797.1,,1081.3,2799.3,2777.8,172.3
Cb+S-ord-A1-mf-4c-N.wav,Cb+S,ord,A1,mf,33,1631.9,3837.1,,1018.0,1625.8,1690.4,161.5
Cb+S-ord-A1-pp-3c-N.wav,Cb+S,ord,A1,pp,33,1113.9,,,1023.5,2540.9,2863.9,161.5
Cb+S-ord-A1-pp-4c-N.wav,Cb+S,ord,A1,pp,33,2159.3,,,1007.0,2584.0,1819.6,161.5
Cb+S-ord-A2-ff-1c-N.wav,Cb+S,ord,A2,ff,45,842.2,3289.5,,1098.4,2788.5,3014.6,172.3
Cb+S-ord-A2-ff-2c-N.wav,Cb+S,ord,A2,ff,45,3717.7,,,1089.0,2842.4,2713.2,172.3
Cb+S-ord-A2-mf-1c-N.wav,Cb+S,ord,A2,mf,45,1758.6,,,1120.4,2863.9,1098.2,172.3
Cb+S-ord-A2-mf-2c-N.wav,Cb+S,ord,A2,mf,45,1287.9,,,1097.3,2745.5,2648.6,172.3
Cb+S-ord-A2-pp-1c-N.wav,Cb+S,ord,A2,pp,45,1545.3,,,1136.2,1345.8,990.5,161.5
Cb+S-ord-A2-pp-2c-N.wav,Cb+S,ord,A2,pp,45,1021.4,3978.6,,1132.1,1345.8,2540.9,172.3
Cb+S-ord-A3-ff-1c-N.wav,Cb+S,ord,A3,ff,57,1558.2,,,1187.1,2874.7,947.5,183.0
Cb+S-ord-A3-mf-1c-N.wav,Cb+S,ord,A3,mf,57,1710.3,,,1139.8,2756.2,1012.1,172.3
Cb+S-ord-A3-pp-1c-N.wav,Cb+S,ord,A3,pp,57,2676.8,,,1043.5,2433.3,3079.2,183.0
Cb+S-ord-B1-ff-3c-N.wav,Cb+S,ord,B1,ff,35,2043.6,,,1093.6,2680.9,2950.0,2917.7
Cb+S-ord-B1-ff-4c-T11u.wav,Cb+S,ord,B1,ff,35,2966.4,,,1053.7,2853.1,3003.9,161.5
Cb+S-ord-B1-mf-3c-N.wav,Cb+S,ord,B1,mf,35,1727.7,,,1110.8,1324.3,3133.1,3240.7
Cb+S-ord-B1-mf-4c-N.wav,Cb+S,ord,B1,mf,35,2783.2,,,1044.3,2810.1,1658.1,150.7
Cb+S-ord-B1-pp-3c-N.wav,Cb+S,ord,B1,pp,35,2360.7,,,1030.9,2508.6,2519.4,2411.7
Cb+S-ord-B1-pp-4c-N.wav,Cb+S,ord,B1,pp,35,1830.4,,,1079.6,,1862.6,150.7
Cb+S-ord-B2-ff-1c-N.wav,Cb+S,ord,B2,ff,47,1344.3,,,1161.1,1410.4,1378.1,172.3
Cb+S-ord-B2-mf-1c-N.wav,Cb+S,ord,B2,mf,47,1926.1,,,1114.9,1335.1,3090.0,183.0
Cb+S-ord-B2-pp-1c-N.wav,Cb+S,ord,B2,pp,47,1741.1,,,1221.5,1388.9,1432.0,161.5
Cb+S-ord-B3-ff-1c-T17u.wav,Cb+S,ord,B3,ff,59,1466.4,,,1300.3,1399.7,1518.1,183.0
Cb+S-ord-B3-mf-1c-N.wav,Cb+S,ord,B3,mf,59,1531.2,,,1281.1,1410.4,1399.7,183.0
Cb+S-ord-B3-pp-1c-N.wav,Cb+S,ord,B3,pp,59,1702.8,,,1233.0,2950.0,1109.0,1076.7
Cb+S-ord-C#2-ff-3c-N.wav,Cb+S,ord,C#2,ff,37,2247.3,3989.4,,1046.1,2724.0,2605.5,2874.7
Cb+S-ord-C#2-mf-3c-N.wav,Cb+S,ord,C#2,mf,37,1699.9,,,1089.8,1367.4,1647.3,2767.0
Cb+S-ord-C#2-pp-3c-N.wav,Cb+S,ord,C#2,pp,37,1293.8,,,1020.4,2637.8,1701.1,1076.7
Cb+S-ord-C#3-ff-1c-N.wav,Cb+S,ord,C#3,ff,49,1297.4,,,1158.1,2713.2,1205.9,183.0
Cb+S-ord-C#3-mf-1c-N.wav,Cb+S,ord,C#3,mf,49,1410.2,,,1152.5,2799.3,2530.2,172.3
Cb+S-ord-C#3-pp-1c-N.wav,Cb+S,ord,C#3,pp,49,1601.4,,,1195.9,1345.8,1109.0,172.3
Cb+S-ord-C#4-ff-1c-T12u_R100u.wav,Cb+S,ord,C#4,ff,61,1633.6,,,1312.6,1453.5,1571.9,1647.3
Cb+S-ord-C#4-mf-1c-N.wav,Cb+S,ord,C#4,mf,61,1648.3,,,1121.3,1539.6,1528.9,236.9
Cb+S-ord-C#4-pp-1c-N.wav,Cb+S,ord,C#4,pp,61,102.4,,,1122.9,2874.7,3068.5,559.9
Cb+S-ord-C2-ff-3c-N.wav,Cb+S,ord,C2,ff,36,2612.9,,,1081.3,2788.5,2691.7,150.7
Cb+S-ord-C2-ff-4c-N.wav,Cb+S,ord,C2,ff,36,1965.6,,,1074.7,1528.9,1550.4,150.7
Cb+S-ord-C2-mf-3c-N.wav,Cb+S,ord,C2,mf,36,1678.2,,,1097.4,2745.5,2584.0,150.7
Cb+S-ord-C2-mf-4c-N.wav,Cb+S,ord,C2,mf,36,1471.2,,,1074.2,2724.0,1636.5,161.5
Cb+S-ord-C2-pp-3c-N.wav,Cb+S,ord,C2,pp,36,1777.2,,,1056.6,2820.8,2907.0,2885.4
Cb+S-ord-C2-pp-4c-N.wav,Cb+S,ord,C2,pp,36,1683.7,,,1022.2,,2422.5,2444.0
Cb+S-ord-C3-ff-1c-N.wav,Cb+S,ord,C3,ff,48,1726.1,,,1114.3,1518.1,925.9,193.8
Cb+S-ord-C3-mf-1c-N.wav,Cb+S,ord,C3,mf,48,1868.3,,,1121.4,1442.7,2519.4,172.3
Cb+S-ord-C3-pp-1c-N.wav,Cb+S,ord,C3,pp,48,1776.3,,,1123.2,1453.5,1012.1,172.3
