filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Tbn+SC-ord-A#2-mf-N-N.wav,Tbn+SC,ord,A#2,mf,46,943.7,3777.3,,937.2,764.4,915.2,990.5
Tbn+SC-ord-A#3-mf-N-N.wav,Tbn+SC,ord,A#3,mf,58,924.5,,,908.3,753.7,839.8,990.5
Tbn+SC-ord-A#4-mf-N-N.wav,Tbn+SC,ord,A#4,mf,70,995.8,2052.5,,1027.6,904.4,1119.7,958.2
Tbn+SC-ord-A2-mf-N-N.wav,Tbn+SC,ord,A2,mf,45,1006.5,,,968.7,872.1,969.0,1022.8
Tbn+SC-ord-A3-mf-N-N.wav,Tbn+SC,ord,A3,mf,57,970.6,,,908.1,818.3,829.0,1001.3
Tbn+SC-ord-A4-mf-N-N.wav,Tbn+SC,ord,A4,mf,69,936.2,2102.8,,1052.8,915.2,1001.3,872.1
Tbn+SC-ord-B2-mf-N-N.wav,Tbn+SC,ord,B2,mf,47,973.0,1582.3,,967.2,775.2,893.6,990.5
Tbn+SC-ord-B3-mf-N-T12u.wav,Tbn+SC,ord,B3,mf,59,989.8,1230.5,,973.6,969.0,1001.3,979.8
Tbn+SC-ord-C#3-mf-N-N.wav,Tbn+SC,ord,C#3,mf,49,1004.6,,,964.3,764.4,893.6,990.5
Tbn+SC-ord-C#4-mf-N-N.wav,Tbn+SC,ord,C#4,mf,61,964.7,,,974.2,915.2,947.5,850.6
Tbn+SC-ord-C3-mf-N-N.wav,Tbn+SC,ord,C3,mf,48,1020.4,2001.8,,1005.1,829.0,925.9,1001.3
Tbn+SC-ord-C4-mf-N-N.wav,Tbn+SC,ord,C4,mf,60,812.4,998.2,,972.4,882.9,1001.3,861.3
Tbn+SC-ord-D#3-mf-N-N.wav,Tbn+SC,ord,D#3,mf,51,974.0,1771.5,,993.6,839.8,936.7,1001.3
Tbn+SC-ord-D#4-mf-N-N.wav,Tbn+SC,ord,D#4,mf,63,960.3,1594.6,,947.6,872.1,979.8,936.7
Tbn+SC-ord-D3-mf-N-N.wav,Tbn+SC,ord,D3,mf,50,916.3,1488.4,,963.1,807.5,904.4,979.8
Tbn+SC-ord-D4-mf-N-N.wav,Tbn+SC,ord,D4,mf,62,909.2,1260.6,,957.8,872.1,915.2,882.9
Tbn+SC-ord-E2-mf-N-T13d.wav,Tbn+SC,ord,E2,mf,40,952.6,,,947.4,872.1,893.6,936.7
Tbn+SC-ord-E3-mf-N-N.wav,Tbn+SC,ord,E3,mf,52,990.4,2831.6,,957.0,872.1,893.6,990.5
Tbn+SC-ord-E4-mf-N-N.wav,Tbn+SC,ord,E4,mf,64,983.9,,,918.9,861.3,882.9,990.5
Tbn+SC-ord-F#2-mf-N-N.wav,Tbn+SC,ord,F#2,mf,42,944.4,1848.6,,974.7,818.3,947.5,990.5
Tbn+SC-ord-F#3-mf-N-N.wav,Tbn+SC,ord,F#3,mf,54,1008.6,1622.3,,1004.2,839.8,1012.1,1001.3
Tbn+SC-ord-F#4-mf-N-N.wav,Tbn+SC,ord,F#4,mf,66,1004.6,,,909.6,936.7,1065.9,742.9
Tbn+SC-ord-F2-mf-N-N.wav,Tbn+SC,ord,F2,mf,41,972.0,2036.3,,1009.5,839.8,958.2,990.5
Tbn+SC-ord-F3-mf-N-N.wav,Tbn+SC,ord,F3,mf,53,978.7,1425.4,,984.0,839.8,925.9,979.8
Tbn+SC-ord-F4-mf-N-N.wav,Tbn+SC,ord,F4,mf,65,971.2,,,904.5,947.5,850.6,1044.4
Tbn+SC-ord-G#2-mf-N-N.wav,Tbn+SC,ord,G#2,mf,44,932.9,,,936.0,818.3,936.7,1012.1
Tbn+SC-ord-G#3-mf-N-N.wav,Tbn+SC,ord,G#3,mf,56,942.5,,,920.9,786.0,925.9,1001.3
Tbn+SC-ord-G#4-mf-N-N.wav,Tbn+SC,ord,G#4,mf,68,1061.4,1455.2,,1022.6,915.2,1055.1,829.0
Tbn+SC-ord-G2-mf-N-T10d.wav,Tbn+SC,ord,G2,mf,43,1011.2,1982.4,,999.8,775.2,936.7,1012.1
Tbn+SC-ord-G3-mf-N-N.wav,Tbn+SC,ord,G3,mf,55,986.9,,,981.4,775.2,958.2,990.5
Tbn+SC-ord-G4-mf-N-N.wav,Tbn+SC,ord,G4,mf,67,906.6,1733.5,,971.9,850.6,1033.6,796.7
