filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Tbn+SS-ord-A#2-mf-N-N.wav,Tbn+SS,ord,A#2,mf,46,718.1,2485.2,,914.0,753.7,602.9,592.2
Tbn+SS-ord-A#3-mf-N-N.wav,Tbn+SS,ord,A#3,mf,58,602.6,1239.8,,824.0,613.7,538.3,193.8
Tbn+SS-ord-A#4-mf-N-N.wav,Tbn+SS,ord,A#4,mf,70,832.8,2387.3,,1078.7,786.0,592.2,473.7
Tbn+SS-ord-A2-mf-N-T11u.wav,Tbn+SS,ord,A2,mf,45,683.2,2527.7,,865.9,710.6,581.4,581.4
Tbn+SS-ord-A3-mf-N-N.wav,Tbn+SS,ord,A3,mf,57,666.5,2309.0,,823.6,699.8,495.3,484.5
Tbn+SS-ord-A4-mf-N-N.wav,Tbn+SS,ord,A4,mf,69,866.4,2391.9,3904.4,1123.2,807.5,592.2,463.0
Tbn+SS-ord-B2-mf-N-T17d.wav,Tbn+SS,ord,B2,mf,47,669.2,1411.4,,821.7,732.1,570.6,549.1
Tbn+SS-ord-B3-mf-N-N.wav,Tbn+SS,ord,B3,mf,59,504.2,1760.3,,924.4,667.5,592.2,538.3
Tbn+SS-ord-C#3-mf-N-T13u.wav,Tbn+SS,ord,C#3,mf,49,812.8,2362.4,3724.8,983.8,753.7,592.2,559.9
Tbn+SS-ord-C#4-mf-N-T10u.wav,Tbn+SS,ord,C#4,mf,61,717.8,888.3,,895.6,667.5,592.2,570.6
Tbn+SS-ord-C3-mf-N-N.wav,Tbn+SS,ord,C3,mf,48,735.4,2282.6,,881.8,732.1,581.4,592.2
Tbn+SS-ord-C4-mf-N-T13u.wav,Tbn+SS,ord,C4,mf,60,668.6,1805.6,,895.3,710.6,602.9,549.1
Tbn+SS-ord-D#3-mf-N-T17u.wav,Tbn+SS,ord,D#3,mf,51,720.9,1998.6,,892.7,732.1,613.7,516.8
Tbn+SS-ord-D#4-mf-N-N.wav,Tbn+SS,ord,D#4,mf,63,673.4,1703.5,,751.9,786.0,624.5,613.7
Tbn+SS-ord-D3-mf-N-N.wav,Tbn+SS,ord,D3,mf,50,782.9,2379.6,,1073.5,764.4,570.6,538.3
Tbn+SS-ord-D4-mf-N-N.wav,Tbn+SS,ord,D4,mf,62,666.5,2324.0,,932.8,699.8,581.4,592.2
Tbn+SS-ord-E2-mf-N-N.wav,Tbn+SS,ord,E2,mf,40,610.7,635.3,,820.4,570.6,602.9,538.3
Tbn+SS-ord-E3-mf-N-T14u.wav,Tbn+SS,ord,E3,mf,52,723.7,1797.2,,858.7,764.4,624.5,527.6
Tbn+SS-ord-E4-mf-N-T10u.wav,Tbn+SS,ord,E4,mf,64,678.6,1886.8,,762.7,796.7,667.5,656.8
Tbn+SS-ord-F#2-mf-N-T13u.wav,Tbn+SS,ord,F#2,mf,42,708.2,710.7,,845.5,678.3,602.9,538.3
Tbn+SS-ord-F#3-mf-N-N.wav,Tbn+SS,ord,F#3,mf,54,869.6,2312.9,,1035.3,818.3,602.9,538.3
Tbn+SS-ord-F#4-mf-N-N.wav,Tbn+SS,ord,F#4,mf,66,821.7,2248.5,,968.4,786.0,538.3,376.8
Tbn+SS-ord-F2-mf-N-N.wav,Tbn+SS,ord,F2,mf,41,675.0,,,765.6,3488.4,3660.6,516.8
Tbn+SS-ord-F3-mf-N-N.wav,Tbn+SS,ord,F3,mf,53,784.9,2397.3,3209.5,963.4,732.1,689.1,516.8
Tbn+SS-ord-F4-mf-N-N.wav,Tbn+SS,ord,F4,mf,65,785.5,2021.4,,900.5,786.0,689.1,699.8
Tbn+SS-ord-G#2-mf-N-T14u.wav,Tbn+SS,ord,G#2,mf,44,688.7,2075.7,,875.1,732.1,592.2,538.3
Tbn+SS-ord-G#3-mf-N-N.wav,Tbn+SS,ord,G#3,mf,56,680.0,2300.8,,810.9,721.4,559.9,538.3
Tbn+SS-ord-G#4-mf-N-N.wav,Tbn+SS,ord,G#4,mf,68,792.2,2326.9,3443.3,1041.6,764.4,570.6,430.7
Tbn+SS-ord-G2-mf-N-N.wav,Tbn+SS,ord,G2,mf,43,704.9,3744.3,,844.0,710.6,613.7,559.9
Tbn+SS-ord-G3-mf-N-N.wav,Tbn+SS,ord,G3,mf,55,729.8,2297.0,,937.8,753.7,570.6,549.1
Tbn+SS-ord-G4-mf-N-N.wav,Tbn+SS,ord,G4,mf,67,711.6,2238.1,,892.6,764.4,549.1,398.4
