filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
TpC-ord-A#3-ff-N-T23u_R100u.wav,TpC,ord,A#3,ff,58,1997.9,,,1126.7,979.8,2594.8,2648.6
TpC-ord-A#3-mf-N-N.wav,TpC,ord,A#3,mf,58,1294.5,2623.3,,1120.3,947.5,1012.1,1292.0
TpC-ord-A#3-pp-N-N.wav,TpC,ord,A#3,pp,58,997.1,1528.4,,1079.0,958.2,1022.8,1055.1
TpC-ord-A#4-ff-N-N.wav,TpC,ord,A#4,ff,70,2049.2,,,1227.0,2024.1,2261.0,1873.4
TpC-ord-A#4-mf-N-N.wav,TpC,ord,A#4,mf,70,1338.5,2053.7,,1192.3,1722.7,1593.5,1388.9
TpC-ord-A#4-pp-N-N.wav,TpC,ord,A#4,pp,70,1200.7,1545.5,,1146.7,1012.1,1152.0,473.7
TpC-ord-A#5-ff-N-N.wav,TpC,ord,A#5,ff,82,2052.8,,,979.4,2142.6,1873.4,1851.9
TpC-ord-A#5-mf-N-N.wav,TpC,ord,A#5,mf,82,1533.7,2462.9,,951.6,2067.2,1894.9,1873.4
TpC-ord-A#5-pp-N-N.wav,TpC,ord,A#5,pp,82,1332.8,2238.4,,951.0,2067.2,1894.9,1873.4
TpC-ord-A3-ff-N-T23u.wav,TpC,ord,A3,ff,57,1916.7,,,1140.7,936.7,2497.9,2454.8
TpC-ord-A3-mf-N-N.wav,TpC,ord,A3,mf,57,1304.0,2704.8,,1131.9,915.2,1033.6,1302.8
TpC-ord-A3-pp-N-T10d.wav,TpC,ord,A3,pp,57,1022.6,1938.0,,1033.2,936.7,990.5,1270.5
TpC-ord-A4-ff-N-T22u.wav,TpC,ord,A4,ff,69,2060.7,,,1298.6,979.8,1507.3,2207.2
TpC-ord-A4-mf-N-T19u.wav,TpC,ord,A4,mf,69,1247.1,2111.1,,1249.2,1830.3,1507.3,1335.1
TpC-ord-A4-pp-N-N.wav,TpC,ord,A4,pp,69,1134.5,1487.5,,1153.8,990.5,1076.7,1324.3
TpC-ord-A5-ff-N-T13u.wav,TpC,ord,A5,ff,81,1996.9,,,1370.6,2121.0,2616.3,1765.7
TpC-ord-A5-mf-N-N.wav,TpC,ord,A5,mf,81,139.8,1716.4,,1294.1,1959.5,1776.5,1765.7
TpC-ord-A5-pp-N-T26d.wav,TpC,ord,A5,pp,81,945.9,1887.5,,1098.9,1345.8,936.7,882.9
TpC-ord-B3-ff-N-R100d.wav,TpC,ord,B3,ff,59,1739.9,3621.8,,1229.3,2034.9,2196.4,2304.1
TpC-ord-B3-mf-N-N.wav,TpC,ord,B3,mf,59,1327.9,2813.8,,1165.5,882.9,1055.1,1302.8
TpC-ord-B3-pp-N-N.wav,TpC,ord,B3,pp,59,1076.1,1781.4,,1131.6,979.8,1162.8,1292.0
TpC-ord-B4-ff-N-N.wav,TpC,ord,B4,ff,71,2079.0,,,1255.8,1991.8,2078.0,1001.3
TpC-ord-B4-mf-N-N.wav,TpC,ord,B4,mf,71,1290.1,2316.8,,1233.5,1744.2,1658.1,1496.6
TpC-ord-B4-pp-N-N.wav,TpC,ord,B4,pp,71,857.2,2294.6,,1156.2,990.5,1152.0,495.3
TpC-ord-B5-ff-N-N.wav,TpC,ord,B5,ff,83,2020.3,,,1009.2,2196.4,2002.6,990.5
TpC-ord-B5-mf-N-T13u.wav,TpC,ord,B5,mf,83,1846.2,1887.6,,1003.0,2207.2,2013.4,1970.3
TpC-ord-B5-pp-N-N.wav,TpC,ord,B5,pp,83,1104.4,2085.7,,998.7,2174.9,2013.4,990.5
TpC-ord-C#4-ff-N-T39u.wav,TpC,ord,C#4,ff,61,2031.8,,,1241.3,1055.1,1442.7,1399.7
