filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Va+S-ord-A#3-ff-3c-N.wav,Va+S,ord,A#3,ff,58,1188.6,3968.1,,984.5,2896.2,355.3,269.2
Va+S-ord-A#3-ff-4c-T19u.wav,Va+S,ord,A#3,ff,58,597.3,2536.3,,870.9,624.5,387.6,269.2
Va+S-ord-A#3-mf-3c-N.wav,Va+S,ord,A#3,mf,58,779.5,2594.3,3869.8,989.0,559.9,366.1,269.2
Va+S-ord-A#3-mf-4c-T16u.wav,Va+S,ord,A#3,mf,58,571.6,2397.3,,878.8,602.9,387.6,269.2
Va+S-ord-A#3-pp-3c-N.wav,Va+S,ord,A#3,pp,58,687.2,2322.2,3971.9,931.8,538.3,355.3,366.1
Va+S-ord-A#3-pp-4c-N.wav,Va+S,ord,A#3,pp,58,587.3,2131.0,,843.5,678.3,376.8,376.8
Va+S-ord-A#4-ff-1c-T14u.wav,Va+S,ord,A#4,ff,70,2608.4,,,1152.4,656.8,366.1,430.7
Va+S-ord-A#4-ff-2c-N.wav,Va+S,ord,A#4,ff,70,1017.2,2889.5,,1189.2,689.1,376.8,430.7
Va+S-ord-A#4-mf-1c-T12u.wav,Va+S,ord,A#4,mf,70,2786.1,,,1138.6,635.2,376.8,2810.1
Va+S-ord-A#4-mf-2c-N.wav,Va+S,ord,A#4,mf,70,864.6,2722.1,,1163.7,602.9,344.5,419.9
Va+S-ord-A#4-pp-1c-T10u.wav,Va+S,ord,A#4,pp,70,2826.9,,,1131.5,602.9,355.3,2788.5
Va+S-ord-A#4-pp-2c-N.wav,Va+S,ord,A#4,pp,70,712.8,2604.7,,1098.6,624.5,344.5,409.1
Va+S-ord-A#5-ff-1c-N.wav,Va+S,ord,A#5,ff,82,1903.8,,,934.2,678.3,2810.1,2799.3
Va+S-ord-A#5-mf-1c-N.wav,Va+S,ord,A#5,mf,82,1351.7,2964.2,,941.1,635.2,2820.8,2820.8
Va+S-ord-A#5-pp-1c-N.wav,Va+S,ord,A#5,pp,82,2209.2,2982.1,,949.6,656.8,2842.4,2831.6
Va+S-ord-A3-ff-3c-T17u.wav,Va+S,ord,A3,ff,57,1418.0,3916.1,,1083.0,2820.8,323.0,226.1
Va+S-ord-A3-ff-4c-N.wav,Va+S,ord,A3,ff,57,1010.0,3447.5,,1033.7,2024.1,355.3,247.6
Va+S-ord-A3-mf-3c-T18u.wav,Va+S,ord,A3,mf,57,159.1,2758.2,,1081.8,1701.1,333.8,226.1
Va+S-ord-A3-mf-4c-N.wav,Va+S,ord,A3,mf,57,579.5,1995.0,,994.7,1755.0,366.1,226.1
Va+S-ord-A3-pp-3c-T14u.wav,Va+S,ord,A3,pp,57,1806.0,3608.6,,990.4,,344.5,236.9
