filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Vc+S-ord-A#2-ff-3c-N.wav,Vc+S,ord,A#2,ff,46,3356.5,,,1168.1,1873.4,323.0,258.4
Vc+S-ord-A#2-mf-3c-N.wav,Vc+S,ord,A#2,mf,46,2814.5,,,1144.8,2056.4,2164.1,258.4
Vc+S-ord-A#2-pp-3c-N.wav,Vc+S,ord,A#2,pp,46,51.2,3587.6,,1159.9,1884.2,301.5,236.9
Vc+S-ord-A#3-ff-1c-N.wav,Vc+S,ord,A#3,ff,58,1250.9,2534.7,,1129.3,2088.7,2045.7,193.8
Vc+S-ord-A#3-ff-2c-T16u.wav,Vc+S,ord,A#3,ff,58,2330.7,,,1097.8,2110.3,312.2,215.3
Vc+S-ord-A#3-mf-1c-N.wav,Vc+S,ord,A#3,mf,58,2473.6,,,1169.0,2024.1,2034.9,193.8
Vc+S-ord-A#3-mf-2c-T12u.wav,Vc+S,ord,A#3,mf,58,2468.9,,,1102.2,2056.4,2013.4,1959.5
Vc+S-ord-A#3-pp-1c-T12u.wav,Vc+S,ord,A#3,pp,58,931.3,2937.5,,1171.3,2024.1,2067.2,2164.1
Vc+S-ord-A#3-pp-2c-T14u.wav,Vc+S,ord,A#3,pp,58,2623.6,,,1124.7,1959.5,1981.1,215.3
Vc+S-ord-A#4-ff-1c-N.wav,Vc+S,ord,A#4,ff,70,1186.0,2884.9,,1185.8,2573.2,323.0,3746.8
Vc+S-ord-A#4-mf-1c-N.wav,Vc+S,ord,A#4,mf,70,2618.9,,,1153.3,2551.7,344.5,2767.0
Vc+S-ord-A#4-pp-1c-N.wav,Vc+S,ord,A#4,pp,70,2596.2,,,1148.3,1819.6,301.5,2756.2
Vc+S-ord-A2-ff-3c-T26d.wav,Vc+S,ord,A2,ff,45,2817.4,,,1134.7,1938.0,2002.6,204.6
Vc+S-ord-A2-mf-3c-N.wav,Vc+S,ord,A2,mf,45,2966.0,,,1064.4,2013.4,2088.7,193.8
Vc+S-ord-A2-pp-3c-N.wav,Vc+S,ord,A2,pp,45,2757.9,,,1083.7,1862.6,1991.8,183.0
Vc+S-ord-A3-ff-1c-N.wav,Vc+S,ord,A3,ff,57,2506.4,,,1089.0,2034.9,323.0,193.8
Vc+S-ord-A3-ff-2c-T27d.wav,Vc+S,ord,A3,ff,57,2208.7,,,1190.4,2045.7,2034.9,193.8
Vc+S-ord-A3-mf-1c-N.wav,Vc+S,ord,A3,mf,57,834.9,2413.5,,1076.8,2357.9,2767.0,193.8
Vc+S-ord-A3-mf-2c-N.wav,Vc+S,ord,A3,mf,57,2346.6,,,1136.3,2002.6,2013.4,183.0
Vc+S-ord-A3-pp-1c-N.wav,Vc+S,ord,A3,pp,57,539.9,2964.5,,1053.4,1981.1,1938.0,2078.0
Vc+S-ord-A3-pp-2c-N.wav,Vc+S,ord,A3,pp,57,2121.2,,,1026.6,1981.1,2045.7,183.0
Vc+S-ord-A4-ff-1c-N.wav,Vc+S,ord,A4,ff,69,2640.0,,,1157.8,2616.3,323.0,2648.6
Vc+S-ord-A4-mf-1c-N.wav,Vc+S,ord,A4,mf,69,545.2,2658.8,,1149.2,2605.5,2627.1,2637.8
Vc+S-ord-A4-pp-1c-N.wav,Vc+S,ord,A4,pp,69,2759.2,,,1054.1,2670.1,2734.7,2637.8
Vc+S-ord-A5-ff-1c-N.wav,Vc+S,ord,A5,ff,81,1507.8,2249.0,,1235.3,2196.4,2562.5,2648.6
Vc+S-ord-A5-mf-1c-N.wav,Vc+S,ord,A5,mf,81,1812.4,,,1231.6,2056.4,2627.1,1787.3
Vc+S-ord-A5-pp-1c-N.wav,Vc+S,ord,A5,pp,81,1616.9,2351.0,,1188.1,2013.4,1841.1,1787.3
Vc+S-ord-B2-ff-3c-T10d.wav,Vc+S,ord,B2,ff,47,204.3,2619.6,,977.9,1948.8,1894.9,183.0
Vc+S-ord-B2-mf-3c-N.wav,Vc+S,ord,B2,mf,47,2038.8,,,954.0,1905.7,1927.2,193.8
Vc+S-ord-B2-pp-3c-N.wav,Vc+S,ord,B2,pp,47,2787.4,,,910.4,2034.9,1905.7,204.6
Vc+S-ord-B3-ff-1c-N.wav,Vc+S,ord,B3,ff,59,2202.4,,,1028.0,2153.3,2056.4,193.8
Vc+S-ord-B3-mf-1c-N.wav,Vc+S,ord,B3,mf,59,917.9,2804.1,,1026.0,2336.4,2056.4,2594.8
Vc+S-ord-B3-pp-1c-N.wav,Vc+S,ord,B3,pp,59,815.6,2540.1,,1051.0,2217.9,2121.0,2099.5
Vc+S-ord-B4-ff-1c-T11u.wav,Vc+S,ord,B4,ff,71,359.7,2286.7,,1241.3,2121.0,323.0,1981.1
Vc+S-ord-B4-mf-1c-N.wav,Vc+S,ord,B4,mf,71,847.7,2233.6,,1255.5,2045.7,312.2,1959.5
Vc+S-ord-B4-pp-1c-N.wav,Vc+S,ord,B4,pp,71,1933.1,,,1279.3,3585.3,3606.8,1959.5
Vc+S-ord-C#2-ff-4c-T15d.wav,Vc+S,ord,C#2,ff,37,2889.8,,,1109.7,3477.6,3639.1,204.6
Vc+S-ord-C#2-mf-4c-N.wav,Vc+S,ord,C#2,mf,37,1797.7,,,1062.0,3509.9,3606.8,215.3
Vc+S-ord-C#2-pp-4c-N.wav,Vc+S,ord,C#2,pp,37,1371.2,,,1093.9,3456.1,3671.4,215.3
Vc+S-ord-C#3-ff-3c-T13d.wav,Vc+S,ord,C#3,ff,49,2297.4,,,1142.2,2013.4,1916.5,183.0
Vc+S-ord-C#3-mf-3c-N.wav,Vc+S,ord,C#3,mf,49,2220.0,,,1062.9,1948.8,1959.5,183.0
Vc+S-ord-C#3-pp-3c-N.wav,Vc+S,ord,C#3,pp,49,2772.1,,,1015.2,1981.1,1959.5,183.0
Vc+S-ord-C#4-ff-1c-N.wav,Vc+S,ord,C#4,ff,61,2166.0,,,1161.8,2196.4,2034.9,1948.8
Vc+S-ord-C#4-mf-1c-N.wav,Vc+S,ord,C#4,mf,61,2020.7,,,1150.5,2325.6,1981.1,1948.8
Vc+S-ord-C#4-pp-1c-N.wav,Vc+S,ord,C#4,pp,61,1598.5,2390.5,,1142.2,2228.7,2239.5,2239.5
Vc+S-ord-C#5-ff-1c-N.wav,Vc+S,ord,C#5,ff,73,2859.4,,,1318.5,2271.8,2164.1,2217.9
Vc+S-ord-C#5-mf-1c-N.wav,Vc+S,ord,C#5,mf,73,333.7,2978.6,,1322.9,2347.1,2745.5,2777.8
Vc+S-ord-C#5-pp-1c-N.wav,Vc+S,ord,C#5,pp,73,557.3,2845.2,,1313.0,2347.1,2734.7,2767.0
Vc+S-ord-C2-ff-4c-N.wav,Vc+S,ord,C2,ff,36,2144.7,,,1053.8,3649.9,323.0,215.3
Vc+S-ord-C2-mf-4c-N.wav,Vc+S,ord,C2,mf,36,1251.7,,,1075.1,3789.8,355.3,236.9
Vc+S-ord-C2-pp-4c-N.wav,Vc+S,ord,C2,pp,36,1240.4,,,1071.0,1755.0,1227.4,226.1
Vc+S-ord-C3-ff-3c-T10u.wav,Vc+S,ord,C3,ff,48,2273.5,,,1081.6,1927.2,1970.3,204.6
Vc+S-ord-C3-mf-3c-T18u.wav,Vc+S,ord,C3,mf,48,2463.5,,,1015.7,2099.5,1970.3,215.3
Vc+S-ord-C3-pp-3c-N.wav,Vc+S,ord,C3,pp,48,1769.8,,,1020.3,1819.6,1916.5,1787.3
Vc+S-ord-C4-ff-1c-N.wav,Vc+S,ord,C4,ff,60,2337.8,,,1040.7,2164.1,333.8,183.0
Vc+S-ord-C4-mf-1c-N.wav,Vc+S,ord,C4,mf,60,2370.3,,,1047.1,2239.5,333.8,183.0
Vc+S-ord-C4-pp-1c-N.wav,Vc+S,ord,C4,pp,60,2422.9,3356.6,,1030.3,2164.1,2067.2,2164.1
Vc+S-ord-C5-ff-1c-T14u.wav,Vc+S,ord,C5,ff,72,1238.8,2444.9,,1267.0,2164.1,323.0,2627.1
Vc+S-ord-C5-mf-1c-T17u.wav,Vc+S,ord,C5,mf,72,2452.8,,,1263.3,2250.2,323.0,2627.1
Vc+S-ord-C5-pp-1c-N.wav,Vc+S,ord,C5,pp,72,2149.5,,,1223.2,3477.6,301.5,2637.8
Vc+S-ord-D#2-ff-4c-T13u.wav,Vc+S,ord,D#2,ff,39,2296.9,,,1075.4,3682.2,279.9,204.6
Vc+S-ord-D#2-mf-4c-T15u.wav,Vc+S,ord,D#2,mf,39,1956.6,,,1048.3,3639.1,3617.6,204.6
Vc+S-ord-D#2-pp-4c-N.wav,Vc+S,ord,D#2,pp,39,1072.8,3104.7,,1079.0,3488.4,3746.8,204.6
Vc+S-ord-D#3-ff-2c-T15d.wav,Vc+S,ord,D#3,ff,51,2331.1,,,1016.2,2013.4,2013.4,2067.2
Vc+S-ord-D#3-ff-3c-N.wav,Vc+S,ord,D#3,ff,51,3012.4,,,1007.3,1948.8,2024.1,204.6
Vc+S-ord-D#3-mf-2c-N.wav,Vc+S,ord,D#3,mf,51,2499.3,,,927.9,1991.8,1948.8,215.3
Vc+S-ord-D#3-mf-3c-N.wav,Vc+S,ord,D#3,mf,51,2533.5,,,949.6,2024.1,2024.1,204.6
Vc+S-ord-D#3-pp-2c-N.wav,Vc+S,ord,D#3,pp,51,1651.3,,,914.4,2228.7,1981.1,2314.8
Vc+S-ord-D#3-pp-3c-T10u.wav,Vc+S,ord,D#3,pp,51,2853.6,,,908.8,2013.4,2034.9,193.8
Vc+S-ord-D#4-ff-1c-T17u.wav,Vc+S,ord,D#4,ff,63,2280.5,,,928.4,2239.5,2045.7,2174.9
Vc+S-ord-D#4-mf-1c-N.wav,Vc+S,ord,D#4,mf,63,2267.3,,,878.5,2239.5,2024.1,1873.4
Vc+S-ord-D#4-pp-1c-N.wav,Vc+S,ord,D#4,pp,63,1783.8,,,880.1,2379.4,1938.0,1238.2
Vc+S-ord-D#5-ff-1c-N.wav,Vc+S,ord,D#5,ff,75,1291.2,3680.8,,911.4,2713.2,3079.2,1862.6
Vc+S-ord-D#5-mf-1c-N.wav,Vc+S,ord,D#5,mf,75,1221.9,3911.9,,888.6,2336.4,1894.9,1862.6
Vc+S-ord-D#5-pp-1c-N.wav,Vc+S,ord,D#5,pp,75,1221.4,3570.3,,919.3,2357.9,3079.2,1851.9
Vc+S-ord-D2-ff-4c-N.wav,Vc+S,ord,D2,ff,38,1769.5,,,1123.9,3520.7,3692.9,193.8
Vc+S-ord-D2-mf-4c-N.wav,Vc+S,ord,D2,mf,38,1600.1,,,1154.5,3779.1,3639.1,183.0
Vc+S-ord-D2-pp-4c-N.wav,Vc+S,ord,D2,pp,38,1918.2,,,1114.1,3499.1,3542.2,1798.0
Vc+S-ord-D3-ff-2c-N.wav,Vc+S,ord,D3,ff,50,2096.0,,,1135.7,2078.0,2013.4,193.8
Vc+S-ord-D3-ff-3c-N.wav,Vc+S,ord,D3,ff,50,2247.6,,,1030.0,2013.4,1970.3,193.8
Vc+S-ord-D3-mf-2c-N.wav,Vc+S,ord,D3,mf,50,2361.0,,,1122.4,1851.9,1884.2,193.8
Vc+S-ord-D3-mf-3c-N.wav,Vc+S,ord,D3,mf,50,1860.8,,,1040.3,2110.3,2034.9,183.0
Vc+S-ord-D3-pp-2c-N.wav,Vc+S,ord,D3,pp,50,2070.0,,,1050.9,2217.9,2271.8,204.6
Vc+S-ord-D3-pp-3c-N.wav,Vc+S,ord,D3,pp,50,2212.9,,,994.3,1991.8,2056.4,183.0
Vc+S-ord-D4-ff-1c-N.wav,Vc+S,ord,D4,ff,62,2233.9,,,1186.2,2196.4,2045.7,2056.4
Vc+S-ord-D4-mf-1c-N.wav,Vc+S,ord,D4,mf,62,2342.4,,,1188.9,2250.2,2078.0,2045.7
Vc+S-ord-D4-pp-1c-N.wav,Vc+S,ord,D4,pp,62,1319.2,3138.0,,1158.6,2207.2,2078.0,2067.2
Vc+S-ord-D5-ff-1c-N.wav,Vc+S,ord,D5,ff,74,2644.4,,,1253.1,2347.1,2325.6,2928.5
Vc+S-ord-D5-mf-1c-T12u.wav,Vc+S,ord,D5,mf,74,2569.2,,,1230.5,2433.3,2907.0,2939.3
Vc+S-ord-D5-pp-1c-N.wav,Vc+S,ord,D5,pp,74,2420.1,,,1283.7,2444.0,2907.0,2336.4
Vc+S-ord-E2-ff-4c-N.wav,Vc+S,ord,E2,ff,40,1850.5,,,1132.1,3585.3,3703.7,193.8
Vc+S-ord-E2-mf-4c-T11u.wav,Vc+S,ord,E2,mf,40,2018.4,,,1124.7,3725.2,3779.1,1141.3
Vc+S-ord-E2-pp-4c-N.wav,Vc+S,ord,E2,pp,40,1461.0,,,1073.9,3617.6,1841.1,1130.5
Vc+S-ord-E3-ff-2c-N.wav,Vc+S,ord,E3,ff,52,2692.6,,,1149.4,1970.3,1970.3,226.1
Vc+S-ord-E3-mf-2c-N.wav,Vc+S,ord,E3,mf,52,2252.3,,,1098.4,1916.5,1970.3,2024.1
Vc+S-ord-E3-pp-2c-N.wav,Vc+S,ord,E3,pp,52,1779.1,3928.7,,1086.5,2045.7,1970.3,2088.7
Vc+S-ord-E4-ff-1c-N.wav,Vc+S,ord,E4,ff,64,2273.0,,,955.2,2282.5,2034.9,1970.3
Vc+S-ord-E4-mf-1c-N.wav,Vc+S,ord,E4,mf,64,2320.8,,,941.9,2293.3,2045.7,1970.3
Vc+S-ord-E4-pp-1c-N.wav,Vc+S,ord,E4,pp,64,2042.8,,,934.6,2325.6,2476.3,2314.8
Vc+S-ord-E5-ff-1c-N.wav,Vc+S,ord,E5,ff,76,2104.1,3718.5,,876.7,2142.6,1981.1,1981.1
Vc+S-ord-E5-mf-1c-T11u.wav,Vc+S,ord,E5,mf,76,2042.5,3669.7,,845.8,2196.4,1991.8,1981.1
Vc+S-ord-E5-pp-1c-N.wav,Vc+S,ord,E5,pp,76,1995.2,2821.3,,907.9,2153.3,1991.8,1970.3
Vc+S-ord-F#2-ff-4c-N.wav,Vc+S,ord,F#2,ff,42,1777.9,,,1121.3,3369.9,1916.5,172.3
Vc+S-ord-F#2-mf-4c-N.wav,Vc+S,ord,F#2,mf,42,2100.6,,,1080.0,3553.0,3649.9,3553.0
Vc+S-ord-F#2-pp-4c-N.wav,Vc+S,ord,F#2,pp,42,1873.6,,,1057.7,3553.0,3305.3,172.3
Vc+S-ord-F#3-ff-2c-N.wav,Vc+S,ord,F#3,ff,54,2665.4,,,1034.0,2099.5,2034.9,193.8
Vc+S-ord-F#3-mf-2c-N.wav,Vc+S,ord,F#3,mf,54,179.7,2712.9,,1092.3,2002.6,1959.5,193.8
Vc+S-ord-F#3-pp-2c-N.wav,Vc+S,ord,F#3,pp,54,1454.4,3742.6,,1094.0,1927.2,1938.0,193.8
Vc+S-ord-F#4-ff-1c-N.wav,Vc+S,ord,F#4,ff,66,2204.8,,,939.1,2121.0,2056.4,2217.9
Vc+S-ord-F#4-mf-1c-N.wav,Vc+S,ord,F#4,mf,66,2332.6,,,982.3,2196.4,2045.7,2207.2
Vc+S-ord-F#4-pp-1c-N.wav,Vc+S,ord,F#4,pp,66,2705.9,,,960.7,2379.4,2724.0,2228.7
Vc+S-ord-F#5-ff-1c-N.wav,Vc+S,ord,F#5,ff,78,868.2,3599.7,,840.8,2196.4,2153.3,3736.0
Vc+S-ord-F#5-mf-1c-N.wav,Vc+S,ord,F#5,mf,78,938.7,3335.1,,876.4,2271.8,2153.3,2960.8
Vc+S-ord-F#5-pp-1c-N.wav,Vc+S,ord,F#5,pp,78,1336.8,3581.2,,950.9,2099.5,2164.1,2185.6
Vc+S-ord-F2-ff-4c-N.wav,Vc+S,ord,F2,ff,41,1828.7,,,1036.4,3477.6,3682.2,193.8
Vc+S-ord-F2-mf-4c-N.wav,Vc+S,ord,F2,mf,41,2031.1,,,990.1,3617.6,3779.1,1453.5
Vc+S-ord-F2-pp-4c-N.wav,Vc+S,ord,F2,pp,41,1261.1,,,1029.8,3542.2,3768.3,204.6
Vc+S-ord-F3-ff-2c-N.wav,Vc+S,ord,F3,ff,53,2519.1,,,1129.9,1948.8,1959.5,226.1
Vc+S-ord-F3-mf-2c-T11u.wav,Vc+S,ord,F3,mf,53,2593.7,,,1108.3,2056.4,1938.0,1851.9
Vc+S-ord-F3-pp-2c-T14u.wav,Vc+S,ord,F3,pp,53,2044.4,,,1094.1,2013.4,1938.0,1884.2
Vc+S-ord-F4-ff-1c-T12u.wav,Vc+S,ord,F4,ff,65,2570.0,,,1019.0,2293.3,2088.7,2099.5
Vc+S-ord-F4-mf-1c-T15u.wav,Vc+S,ord,F4,mf,65,2773.5,,,1028.8,2304.1,323.0,2099.5
Vc+S-ord-F4-pp-1c-T11u.wav,Vc+S,ord,F4,pp,65,2558.8,,,996.7,2336.4,2056.4,2099.5
Vc+S-ord-F5-ff-1c-T15d.wav,Vc+S,ord,F5,ff,77,2101.8,2726.1,,958.7,2099.5,2067.2,2099.5
Vc+S-ord-F5-mf-1c-N.wav,Vc+S,ord,F5,mf,77,2111.8,,,921.1,2099.5,2088.7,2110.3
Vc+S-ord-F5-pp-1c-N.wav,Vc+S,ord,F5,pp,77,2130.6,2385.7,,972.1,2196.4,2078.0,2088.7
Vc+S-ord-G#2-ff-3c-T18d.wav,Vc+S,ord,G#2,ff,44,2801.6,,,1056.0,1991.8,1970.3,193.8
Vc+S-ord-G#2-ff-4c-T14d.wav,Vc+S,ord,G#2,ff,44,1736.1,,,1068.7,,1927.2,193.8
Vc+S-ord-G#2-mf-3c-N.wav,Vc+S,ord,G#2,mf,44,2673.8,,,1041.6,2045.7,1894.9,204.6
Vc+S-ord-G#2-mf-4c-N.wav,Vc+S,ord,G#2,mf,44,1529.7,,,1007.3,1894.9,1991.8,204.6
Vc+S-ord-G#2-pp-3c-T12d.wav,Vc+S,ord,G#2,pp,44,2555.6,,,1045.6,1970.3,1948.8,1884.2
Vc+S-ord-G#2-pp-4c-N.wav,Vc+S,ord,G#2,pp,44,2419.5,,,1013.0,3596.0,3628.3,204.6
Vc+S-ord-G#3-ff-2c-N.wav,Vc+S,ord,G#3,ff,56,2033.0,,,935.1,2099.5,2164.1,204.6
Vc+S-ord-G#3-mf-2c-N.wav,Vc+S,ord,G#3,mf,56,2169.4,,,907.5,2034.9,2013.4,193.8
Vc+S-ord-G#3-pp-2c-N.wav,Vc+S,ord,G#3,pp,56,1756.1,3671.4,,889.4,2121.0,2002.6,193.8
Vc+S-ord-G#4-ff-1c-N.wav,Vc+S,ord,G#4,ff,68,2109.1,,,1159.7,2357.9,2584.0,2067.2
Vc+S-ord-G#4-mf-1c-N.wav,Vc+S,ord,G#4,mf,68,2051.3,,,1133.3,2282.5,2078.0,2067.2
Vc+S-ord-G#4-pp-1c-N.wav,Vc+S,ord,G#4,pp,68,1902.9,,,1126.6,2390.2,2088.7,2078.0
Vc+S-ord-G#5-ff-1c-N.wav,Vc+S,ord,G#5,ff,80,1013.9,3252.9,,1028.9,2153.3,2497.9,3326.9
Vc+S-ord-G#5-mf-1c-N.wav,Vc+S,ord,G#5,mf,80,1281.7,3354.9,,1080.0,2121.0,2487.1,3337.6
Vc+S-ord-G#5-pp-1c-N.wav,Vc+S,ord,G#5,pp,80,1191.3,3250.0,,1029.0,2024.1,2476.3,3316.1
Vc+S-ord-G2-ff-3c-N.wav,Vc+S,ord,G2,ff,43,2058.7,,,1127.1,1851.9,3046.9,193.8
Vc+S-ord-G2-ff-4c-N.wav,Vc+S,ord,G2,ff,43,1880.8,,,1117.7,3671.4,2271.8,172.3
Vc+S-ord-G2-mf-3c-T10u.wav,Vc+S,ord,G2,mf,43,2026.3,,,1068.1,2056.4,2013.4,193.8
Vc+S-ord-G2-mf-4c-N.wav,Vc+S,ord,G2,mf,43,1881.3,,,1165.4,3477.6,1841.1,172.3
Vc+S-ord-G2-pp-3c-N.wav,Vc+S,ord,G2,pp,43,1675.4,3910.7,,1075.8,1755.0,3057.7,193.8
Vc+S-ord-G2-pp-4c-N.wav,Vc+S,ord,G2,pp,43,2053.0,,,1145.7,1755.0,1787.3,172.3
Vc+S-ord-G3-ff-2c-N.wav,Vc+S,ord,G3,ff,55,2171.4,,,1123.3,2110.3,1970.3,193.8
Vc+S-ord-G3-mf-2c-N.wav,Vc+S,ord,G3,mf,55,2335.0,,,1124.8,2067.2,1948.8,193.8
Vc+S-ord-G3-pp-2c-N.wav,Vc+S,ord,G3,pp,55,1988.1,,,1087.6,2034.9,1948.8,204.6
Vc+S-ord-G4-ff-1c-N.wav,Vc+S,ord,G4,ff,67,2214.2,,,1028.8,2207.2,2078.0,1959.5
Vc+S-ord-G4-mf-1c-N.wav,Vc+S,ord,G4,mf,67,2172.8,,,1044.8,2379.4,2584.0,1970.3
Vc+S-ord-G4-pp-1c-N.wav,Vc+S,ord,G4,pp,67,2150.5,,,1013.6,2336.4,2034.9,1959.5
Vc+S-ord-G5-ff-1c-N.wav,Vc+S,ord,G5,ff,79,2148.1,3506.0,,1182.5,2228.7,2347.1,2347.1
Vc+S-ord-G5-mf-1c-N.wav,Vc+S,ord,G5,mf,79,2311.2,,,1155.9,2164.1,2314.8,2347.1
Vc+S-ord-G5-pp-1c-N.wav,Vc+S,ord,G5,pp,79,2148.5,3973.8,,1132.5,2078.0,3111.5,2325.6
