filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Vc+SP-ord-A#2-mf-3c-N.wav,Vc+SP,ord,A#2,mf,46,3887.4,,,961.8,2433.3,936.7,172.3
Vc+SP-ord-A#3-mf-1c-R100u.wav,Vc+SP,ord,A#3,mf,58,806.9,2858.4,,1119.4,2788.5,2487.1,193.8
Vc+SP-ord-A#3-mf-2c-T16u.wav,Vc+SP,ord,A#3,mf,58,3742.8,,,1099.3,2433.3,2691.7,172.3
Vc+SP-ord-A#4-mf-1c-N.wav,Vc+SP,ord,A#4,mf,70,2628.0,,,1196.0,2702.4,2691.7,2724.0
Vc+SP-ord-A2-mf-3c-T13u.wav,Vc+SP,ord,A2,mf,45,3689.1,,,1041.4,2411.7,1012.1,150.7
Vc+SP-ord-A3-mf-1c-N.wav,Vc+SP,ord,A3,mf,57,2543.5,,,1100.3,2637.8,2379.4,183.0
Vc+SP-ord-A3-mf-2c-N.wav,Vc+SP,ord,A3,mf,57,545.4,3756.0,,990.0,2422.5,958.2,172.3
Vc+SP-ord-A4-mf-1c-N.wav,Vc+SP,ord,A4,mf,69,2654.7,,,1212.5,2691.7,2648.6,2627.1
Vc+SP-ord-A5-mf-1c-N.wav,Vc+SP,ord,A5,mf,81,1898.3,3191.9,,1212.5,2304.1,2616.3,2648.6
Vc+SP-ord-B2-mf-3c-N.wav,Vc+SP,ord,B2,mf,47,3712.4,,,973.8,2444.0,1044.4,193.8
Vc+SP-ord-B3-mf-1c-N.wav,Vc+SP,ord,B3,mf,59,3772.9,,,1068.9,2519.4,2594.8,183.0
Vc+SP-ord-B4-mf-1c-N.wav,Vc+SP,ord,B4,mf,71,1566.1,3217.8,,1331.2,2756.2,2702.4,1518.1
Vc+SP-ord-C#2-mf-4c-N.wav,Vc+SP,ord,C#2,mf,37,979.9,,,990.2,2487.1,2648.6,2702.4
Vc+SP-ord-C#3-mf-3c-N.wav,Vc+SP,ord,C#3,mf,49,687.3,3763.7,,1000.2,2433.3,2454.8,2508.6
Vc+SP-ord-C#4-mf-1c-T24u.wav,Vc+SP,ord,C#4,mf,61,2608.8,,,1216.3,2605.5,2648.6,2508.6
Vc+SP-ord-C#5-mf-1c-N.wav,Vc+SP,ord,C#5,mf,73,2864.3,,,1364.6,2584.0,2734.7,2777.8
Vc+SP-ord-C2-mf-4c-T10u.wav,Vc+SP,ord,C2,mf,36,279.5,3285.6,,1031.7,2465.6,2540.9,193.8
Vc+SP-ord-C3-mf-3c-T18u.wav,Vc+SP,ord,C3,mf,48,3518.9,,,1093.8,2422.5,2401.0,2433.3
Vc+SP-ord-C4-mf-1c-N.wav,Vc+SP,ord,C4,mf,60,2573.1,,,1109.0,2519.4,979.8,2562.5
Vc+SP-ord-C5-mf-1c-N.wav,Vc+SP,ord,C5,mf,72,2411.8,,,1382.7,2487.1,2573.2,2605.5
Vc+SP-ord-D#2-mf-4c-N.wav,Vc+SP,ord,D#2,mf,39,942.9,,,975.0,2497.9,2487.1,2433.3
Vc+SP-ord-D#3-mf-2c-R100u.wav,Vc+SP,ord,D#3,mf,51,675.0,3427.1,,1146.2,2573.2,2497.9,3090.0
Vc+SP-ord-D#3-mf-3c-N.wav,Vc+SP,ord,D#3,mf,51,556.9,3816.5,,846.6,2411.7,2250.2,2185.6
Vc+SP-ord-D#4-mf-1c-N.wav,Vc+SP,ord,D#4,mf,63,3088.5,,,950.2,2336.4,2185.6,2788.5
Vc+SP-ord-D#5-mf-1c-N.wav,Vc+SP,ord,D#5,mf,75,734.4,3224.8,,725.0,2756.2,2519.4,3111.5
Vc+SP-ord-D2-mf-4c-T12u.wav,Vc+SP,ord,D2,mf,38,3230.0,,,1017.9,2497.9,2584.0,2476.3
Vc+SP-ord-D3-mf-2c-N.wav,Vc+SP,ord,D3,mf,50,3276.7,,,1162.6,2465.6,2347.1,2907.0
Vc+SP-ord-D3-mf-3c-N.wav,Vc+SP,ord,D3,mf,50,649.5,3778.8,,915.4,2368.7,861.3,161.5
Vc+SP-ord-D4-mf-1c-T10u.wav,Vc+SP,ord,D4,mf,62,1326.5,3131.4,,1216.5,2487.1,2540.9,3531.4
Vc+SP-ord-D5-mf-1c-N.wav,Vc+SP,ord,D5,mf,74,2327.4,,,1107.0,2637.8,2907.0,2939.3
Vc+SP-ord-E2-mf-4c-T14u.wav,Vc+SP,ord,E2,mf,40,2517.1,,,1065.5,2508.6,2476.3,2465.6
Vc+SP-ord-E3-mf-2c-N.wav,Vc+SP,ord,E3,mf,52,530.9,3669.2,,1108.4,2562.5,1087.4,2519.4
Vc+SP-ord-E4-mf-1c-T13u.wav,Vc+SP,ord,E4,mf,64,2910.5,,,1085.9,2476.3,2670.1,2648.6
Vc+SP-ord-E5-mf-1c-N.wav,Vc+SP,ord,E5,mf,76,2675.3,2963.2,,977.8,2691.7,2637.8,2648.6
Vc+SP-ord-F#2-mf-4c-N.wav,Vc+SP,ord,F#2,mf,42,905.9,,,1003.5,2422.5,2368.7,2702.4
Vc+SP-ord-F#3-mf-2c-N.wav,Vc+SP,ord,F#3,mf,54,876.5,3379.4,,1143.9,2153.3,1894.9,2519.4
Vc+SP-ord-F#4-mf-1c-N.wav,Vc+SP,ord,F#4,mf,66,2736.2,,,1066.1,2530.2,2551.7,2584.0
Vc+SP-ord-F#5-mf-1c-N.wav,Vc+SP,ord,F#5,mf,78,1532.3,,,1108.1,2444.0,1475.0,3714.5
Vc+SP-ord-F2-mf-4c-T10u.wav,Vc+SP,ord,F2,mf,41,2695.9,,,970.4,2508.6,2433.3,2433.3
Vc+SP-ord-F3-mf-2c-N.wav,Vc+SP,ord,F3,mf,53,765.5,3908.1,,1106.0,2540.9,2702.4,2594.8
Vc+SP-ord-F4-mf-1c-N.wav,Vc+SP,ord,F4,mf,65,2857.3,,,1203.0,2433.3,2670.1,2777.8
Vc+SP-ord-F5-mf-1c-N.wav,Vc+SP,ord,F5,mf,77,2652.5,,,925.5,2659.4,2734.7,2777.8
Vc+SP-ord-G#2-mf-3c-T13u_R100d.wav,Vc+SP,ord,G#2,mf,44,3580.0,,,1015.0,2357.9,925.9,829.0
Vc+SP-ord-G#2-mf-4c-N.wav,Vc+SP,ord,G#2,mf,44,3473.0,,,883.0,2454.8,2454.8,2422.5
Vc+SP-ord-G#3-mf-2c-N.wav,Vc+SP,ord,G#3,mf,56,725.4,3706.6,,960.4,2497.9,1722.7,2874.7
Vc+SP-ord-G#4-mf-1c-N.wav,Vc+SP,ord,G#4,mf,68,2607.7,,,1167.2,2530.2,2584.0,2508.6
Vc+SP-ord-G#5-mf-1c-N.wav,Vc+SP,ord,G#5,mf,80,2532.6,,,1016.9,2271.8,2519.4,2476.3
Vc+SP-ord-G2-mf-3c-N.wav,Vc+SP,ord,G2,mf,43,3543.3,,,1055.6,2336.4,2357.9,1744.2
Vc+SP-ord-G2-mf-4c-N.wav,Vc+SP,ord,G2,mf,43,3868.7,,,957.3,2562.5,2724.0,2734.7
Vc+SP-ord-G3-mf-2c-N.wav,Vc+SP,ord,G3,mf,55,3001.1,,,1094.3,2497.9,2379.4,2508.6
Vc+SP-ord-G4-mf-1c-N.wav,Vc+SP,ord,G4,mf,67,3893.2,,,1190.7,2476.3,2573.2,3133.1
Vc+SP-ord-G5-mf-1c-N.wav,Vc+SP,ord,G5,mf,79,1848.7,,,1239.9,2401.0,2368.7,2357.9
