filename,instrument,technique,note,dynamic,midi,lpc_F1,lpc_F2,lpc_F3,fp_centroid,cep_F1_order40,cep_F1_order80,cep_F1_order160
Vc-ord-A#2-ff-3c-N.wav,Vc,ord,A#2,ff,46,1971.8,,,1072.5,2024.1,312.2,215.3
Vc-ord-A#2-ff-4c-N.wav,Vc,ord,A#2,ff,46,2220.8,,,1084.7,2217.9,301.5,215.3
Vc-ord-A#2-mf-3c-T13u.wav,Vc,ord,A#2,mf,46,2122.2,,,1068.5,2153.3,2056.4,2099.5
Vc-ord-A#2-mf-4c-N.wav,Vc,ord,A#2,mf,46,2163.4,,,1075.6,2228.7,2002.6,226.1
Vc-ord-A#2-pp-3c-N.wav,Vc,ord,A#2,pp,46,1930.4,,,1114.7,3800.6,947.5,215.3
Vc-ord-A#2-pp-4c-N.wav,Vc,ord,A#2,pp,46,2299.8,,,1094.0,2078.0,2024.1,226.1
Vc-ord-A#3-ff-1c-N.wav,Vc,ord,A#3,ff,58,2131.6,,,1079.0,2078.0,323.0,204.6
Vc-ord-A#3-ff-2c-T12u.wav,Vc,ord,A#3,ff,58,1126.7,2075.8,,1097.0,2217.9,355.3,215.3
Vc-ord-A#3-ff-3c-N.wav,Vc,ord,A#3,ff,58,2039.2,,,1060.5,2174.9,2034.9,193.8
Vc-ord-A#3-ff-4c-N.wav,Vc,ord,A#3,ff,58,920.3,2210.9,,1137.8,2228.7,312.2,204.6
Vc-ord-A#3-mf-1c-N.wav,Vc,ord,A#3,mf,58,1966.7,3911.0,,1026.0,2261.0,2013.4,2121.0
Vc-ord-A#3-mf-2c-T12u.wav,Vc,ord,A#3,mf,58,1274.7,2179.7,,1112.0,2196.4,2013.4,193.8
Vc-ord-A#3-mf-3c-T16d_R100u.wav,Vc,ord,A#3,mf,58,1044.3,2535.7,,1185.1,2228.7,2067.2,204.6
Vc-ord-A#3-mf-4c-N.wav,Vc,ord,A#3,mf,58,1947.0,,,1142.0,2282.5,2121.0,204.6
Vc-ord-A#3-pp-1c-N.wav,Vc,ord,A#3,pp,58,1786.1,2883.4,,1140.7,2121.0,1991.8,1905.7
Vc-ord-A#3-pp-2c-T12u.wav,Vc,ord,A#3,pp,58,991.3,2089.3,,1122.2,1959.5,1981.1,2078.0
Vc-ord-A#3-pp-3c-N.wav,Vc,ord,A#3,pp,58,2076.6,,,1116.0,2142.6,2045.7,2110.3
Vc-ord-A#3-pp-4c-N.wav,Vc,ord,A#3,pp,58,1945.6,,,1084.7,1259.7,2078.0,2142.6
Vc-ord-A#4-ff-1c-N.wav,Vc,ord,A#4,ff,70,1448.5,2888.0,,1268.1,2497.9,344.5,2788.5
Vc-ord-A#4-ff-2c-N.wav,Vc,ord,A#4,ff,70,1688.9,3812.2,,1211.0,2099.5,355.3,1851.9
Vc-ord-A#4-mf-1c-N.wav,Vc,ord,A#4,mf,70,1292.9,2941.7,,1270.9,2691.7,333.8,2777.8
Vc-ord-A#4-mf-2c-N.wav,Vc,ord,A#4,mf,70,1794.4,,,1202.8,1948.8,312.2,1851.9
Vc-ord-A#4-pp-1c-N.wav,Vc,ord,A#4,pp,70,1325.3,2775.0,,1257.7,2519.4,2702.4,2788.5
Vc-ord-A#4-pp-2c-N.wav,Vc,ord,A#4,pp,70,1829.7,,,1158.7,1991.8,1981.1,1862.6
Vc-ord-A#5-ff-1c-N.wav,Vc,ord,A#5,ff,82,1881.5,3423.3,,996.1,1948.8,1884.2,3757.5
Vc-ord-A#5-mf-1c-N.wav,Vc,ord,A#5,mf,82,1862.3,3227.4,,983.7,1981.1,1916.5,1873.4
Vc-ord-A#5-pp-1c-N.wav,Vc,ord,A#5,pp,82,1768.6,2695.1,,982.3,1938.0,1894.9,1862.6
Vc-ord-A2-ff-3c-T19d.wav,Vc,ord,A2,ff,45,1886.7,,,1141.4,1959.5,1948.8,215.3
Vc-ord-A2-ff-4c-N.wav,Vc,ord,A2,ff,45,2066.0,,,1143.9,1916.5,2013.4,193.8
Vc-ord-A2-mf-3c-N.wav,Vc,ord,A2,mf,45,2154.4,,,1104.6,2185.6,2034.9,2088.7
Vc-ord-A2-mf-4c-N.wav,Vc,ord,A2,mf,45,2085.9,,,1148.4,2067.2,1991.8,204.6
Vc-ord-A2-pp-3c-N.wav,Vc,ord,A2,pp,45,2115.7,,,1062.7,2067.2,2013.4,193.8
Vc-ord-A2-pp-4c-N.wav,Vc,ord,A2,pp,45,228.7,2089.8,,1148.4,1981.1,2002.6,193.8
Vc-ord-A3-ff-1c-N.wav,Vc,ord,A3,ff,57,2036.1,,,1131.5,1776.5,312.2,183.0
Vc-ord-A3-ff-2c-N.wav,Vc,ord,A3,ff,57,2030.3,,,1185.6,2067.2,333.8,215.3
Vc-ord-A3-ff-3c-T21d.wav,Vc,ord,A3,ff,57,944.5,2708.8,,1145.6,2217.9,1970.3,193.8
Vc-ord-A3-ff-4c-N.wav,Vc,ord,A3,ff,57,2093.9,,,1136.9,1905.7,323.0,204.6
Vc-ord-A3-mf-1c-N.wav,Vc,ord,A3,mf,57,2011.8,2198.2,,1125.1,2271.8,2067.2,183.0
Vc-ord-A3-mf-2c-N.wav,Vc,ord,A3,mf,57,2051.0,,,1170.8,2196.4,2034.9,193.8
Vc-ord-A3-mf-3c-T16d.wav,Vc,ord,A3,mf,57,983.3,2357.6,,1162.2,2067.2,1959.5,183.0
Vc-ord-A3-mf-4c-N.wav,Vc,ord,A3,mf,57,1990.3,,,1074.1,1248.9,2056.4,193.8
Vc-ord-A3-pp-1c-N.wav,Vc,ord,A3,pp,57,1984.6,,,1183.1,1948.8,1991.8,2067.2
Vc-ord-A3-pp-2c-N.wav,Vc,ord,A3,pp,57,2065.0,,,1120.6,1884.2,1991.8,204.6
Vc-ord-A3-pp-3c-N.wav,Vc,ord,A3,pp,57,2084.9,,,1113.9,1205.9,1184.3,193.8
Vc-ord-A3-pp-4c-N.wav,Vc,ord,A3,pp,57,2248.5,,,1068.7,2142.6,1991.8,183.0
Vc-ord-A4-ff-1c-N.wav,Vc,ord,A4,ff,69,1717.3,2579.3,,1418.9,2616.3,2659.4,2637.8
Vc-ord-A4-ff-2c-N.wav,Vc,ord,A4,ff,69,2251.2,,,1206.6,2056.4,333.8,2164.1
Vc-ord-A4-mf-1c-N.wav,Vc,ord,A4,mf,69,2606.5,,,1343.9,2540.9,2670.1,2637.8
Vc-ord-A4-mf-2c-N.wav,Vc,ord,A4,mf,69,2157.0,,,1192.1,2024.1,2002.6,2153.3
Vc-ord-A4-pp-1c-N.wav,Vc,ord,A4,pp,69,1753.7,3450.1,,1284.2,1582.7,2745.5,3531.4
Vc-ord-A4-pp-2c-N.wav,Vc,ord,A4,pp,69,743.9,2257.3,,1149.7,2067.2,1959.5,1787.3
Vc-ord-A5-ff-1c-T13d.wav,Vc,ord,A5,ff,81,1995.9,3760.2,,1432.5,2024.1,3499.1,1765.7
Vc-ord-A5-mf-1c-N.wav,Vc,ord,A5,mf,81,2047.1,3809.8,,1413.1,1927.2,2627.1,1776.5
Vc-ord-A5-pp-1c-N.wav,Vc,ord,A5,pp,81,1986.6,3511.9,,1402.9,1981.1,1819.6,1776.5
Vc-ord-B2-ff-3c-N.wav,Vc,ord,B2,ff,47,1912.6,,,1049.7,1938.0,2002.6,183.0
Vc-ord-B2-ff-4c-T11u.wav,Vc,ord,B2,ff,47,2067.9,,,1039.4,3574.5,301.5,215.3
Vc-ord-B2-mf-3c-N.wav,Vc,ord,B2,mf,47,2112.1,,,1097.8,2164.1,1991.8,183.0
Vc-ord-B2-mf-4c-T20u.wav,Vc,ord,B2,mf,47,1835.7,3998.8,,1049.1,2164.1,3768.3,3811.4
Vc-ord-B2-pp-3c-N.wav,Vc,ord,B2,pp,47,2064.0,,,1078.7,2099.5,1970.3,2088.7
Vc-ord-B2-pp-4c-T16u.wav,Vc,ord,B2,pp,47,2013.0,,,1069.3,2185.6,3789.8,193.8
Vc-ord-B3-ff-1c-T11u.wav,Vc,ord,B3,ff,59,1674.7,3010.9,,1280.4,2002.6,2013.4,215.3
Vc-ord-B3-ff-2c-N.wav,Vc,ord,B3,ff,59,1266.4,2497.8,,1144.1,2185.6,1991.8,183.0
Vc-ord-B3-ff-3c-T11u.wav,Vc,ord,B3,ff,59,1310.0,2141.1,,1200.3,1970.3,323.0,183.0
