instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_over_centroid,V2_energy_ratio_1khz,V3_inv_formant_disp,V1_z,V2_z,V3_z,Volume_index,koechlin_rank
Bass_Tuba,grave,31,387.8,832.9,2.1325,0.9999,0.003055,1.724,0.959,1.834,1.506,1
Contrabass,grave,82,692.8,1900.6,2.7665,0.9956,0.002299,3.164,0.945,0.393,1.501,2
Horn,pédale,3,554.9,1440.0,2.5667,0.9997,0.002524,2.710,0.958,0.822,1.497,2
Bass_Tuba,médium,36,388.6,803.5,2.0689,0.9999,0.003055,1.580,0.959,1.834,1.457,1
Contrabass,médium,158,981.5,2225.0,2.3972,0.9761,0.002299,2.325,0.884,0.393,1.201,2
Bass_Tuba,aigu,27,415.7,697.4,1.6667,0.9998,0.003055,0.666,0.959,1.834,1.153,1
Bass_Tuba,suraigu,13,469.2,701.6,1.4890,0.9998,0.003055,0.263,0.958,1.834,1.018,1
Horn,grave,14,526.8,965.4,1.8378,0.9990,0.002524,1.055,0.956,0.822,0.944,2
Violoncello_Ensemble,grave,7,788.8,1427.7,1.8204,0.9929,0.002552,1.015,0.937,0.874,0.942,4
Violoncello,grave,46,1077.5,2142.9,2.0318,0.9650,0.002170,1.495,0.850,0.148,0.831,4
Trombone,médium,12,860.1,1213.2,1.4153,0.9394,0.002885,0.095,0.770,1.508,0.791,3
Trombone,aigu,8,1092.9,1554.3,1.4201,0.9204,0.002885,0.106,0.710,1.508,0.775,3
Trombone,grave,19,789.9,1065.3,1.3564,0.9546,0.002885,-0.038,0.817,1.508,0.762,3
Horn,médium,17,594.5,914.5,1.5469,0.9960,0.002524,0.394,0.947,0.822,0.721,2
Violoncello_Ensemble,médium,12,1077.9,1645.7,1.5464,0.9701,0.002552,0.393,0.866,0.874,0.711,4
Contrabass,aigu,131,1562.2,2734.1,1.7738,0.9161,0.002299,0.910,0.697,0.393,0.667,2
Bassoon,bas_médium,12,910.6,1676.1,1.8360,0.9768,0.002037,1.051,0.887,-0.106,0.610,4
Bassoon,grave,12,747.1,1315.5,1.7581,0.9833,0.002037,0.874,0.907,-0.106,0.558,4
Trombone,pédale,1,860.0,979.2,1.1386,0.9069,0.002885,-0.533,0.668,1.508,0.548,3
Violoncello,médium,115,1512.4,2558.5,1.7206,0.9056,0.002170,0.789,0.664,0.148,0.534,4
Horn,aigu,13,747.6,968.1,1.2996,0.9937,0.002524,-0.168,0.939,0.822,0.531,2
Bassoon,haut_médium,12,1100.9,1853.8,1.7146,0.9107,0.002037,0.775,0.680,-0.106,0.450,4
Bass_Clarinet_Bb,grave,17,1014.9,1398.4,1.3819,0.8911,0.002444,0.019,0.619,0.670,0.436,5
Flute,grave,52,1357.8,2188.2,1.6244,0.9203,0.002101,0.570,0.710,0.017,0.432,4
Violoncello_Ensemble,aigu,12,1907.2,2338.8,1.2671,0.8739,0.002552,-0.241,0.565,0.874,0.399,4
Bassoon,aigu,6,1236.7,2063.1,1.6752,0.8741,0.002037,0.686,0.565,-0.106,0.382,4
Flute,médium,63,1826.0,2712.2,1.5044,0.9267,0.002101,0.298,0.730,0.017,0.348,4
Contrabass,suraigu,60,1919.4,2922.7,1.5408,0.7784,0.002299,0.380,0.266,0.393,0.347,2
Bass_Clarinet_Bb,aigu,14,1030.4,1222.9,1.1933,0.8120,0.002444,-0.409,0.371,0.670,0.211,5
Clarinet_Bb,chalumeau,13,1116.0,1666.2,1.4937,0.8910,0.001779,0.273,0.618,-0.596,0.098,5
Bass_Clarinet_Bb,médium,6,1245.3,1462.7,1.1990,0.6348,0.002444,-0.396,-0.183,0.670,0.030,5
Violoncello_Ensemble,suraigu,6,2714.4,2814.2,1.0413,0.6792,0.002552,-0.754,-0.044,0.874,0.025,4
Violoncello,aigu,128,2314.0,2983.0,1.3158,0.6835,0.002170,-0.131,-0.031,0.148,-0.004,4
Bass_Clarinet_Bb,suraigu,15,1432.0,1371.3,0.9731,0.6456,0.002444,-0.909,-0.149,0.670,-0.129,5
Viola,grave,67,1704.2,2284.8,1.3595,0.8378,0.001612,-0.031,0.452,-0.914,-0.165,6
Clarinet_Bb,gorge,6,1305.5,1926.9,1.4839,0.6350,0.001779,0.251,-0.182,-0.596,-0.176,5
Clarinet_Bb,clarine,14,1419.6,1674.3,1.2120,0.8018,0.001779,-0.366,0.339,-0.596,-0.208,5
Viola,médium,183,1872.5,2418.9,1.3164,0.7947,0.001612,-0.129,0.317,-0.914,-0.242,6
Violoncello,suraigu,83,3043.2,3380.6,1.1210,0.4351,0.002170,-0.573,-0.807,0.148,-0.411,4
Violin_Ensemble,grave,5,1676.3,1671.6,1.0020,0.8920,0.001354,-0.843,0.621,-1.407,-0.543,6
Violin_Ensemble,médium,12,1939.2,1829.3,0.9553,0.7985,0.001354,-0.949,0.329,-1.407,-0.676,6
Flute,aigu,63,3272.4,3964.2,1.2402,0.1306,0.002101,-0.302,-1.759,0.017,-0.682,4
Viola,aigu,166,2827.1,3013.3,1.0838,0.5111,0.001612,-0.658,-0.570,-0.914,-0.714,6
Violin,grave,45,2419.8,2550.7,1.0665,0.7309,0.001191,-0.697,0.118,-1.717,-0.765,6
Trumpet_C,grave,6,1625.9,1567.1,0.9754,0.4783,0.001707,-0.904,-0.672,-0.734,-0.770,4
Trumpet_C,aigu,5,1839.0,1812.0,0.9874,0.4193,0.001707,-0.877,-0.857,-0.734,-0.822,4
Trumpet_C,médium,8,1852.6,1765.4,0.9566,0.4022,0.001707,-0.947,-0.910,-0.734,-0.863,4
Violin,médium,177,2681.7,2665.4,1.0093,0.6748,0.001191,-0.827,-0.058,-1.717,-0.867,6
Trumpet_C,suraigu,14,2278.6,2172.5,0.9571,0.3220,0.001707,-0.945,-1.161,-0.734,-0.947,4
Oboe,médium,12,1988.2,2237.6,1.1217,0.2135,0.001677,-0.572,-1.500,-0.792,-0.955,5
Oboe,aigu,7,2154.8,2241.1,1.0417,0.2491,0.001677,-0.753,-1.389,-0.792,-0.978,5
Flute,suraigu,11,5025.3,4969.2,0.9965,0.0001,0.002101,-0.856,-2.167,0.017,-1.002,4
Oboe,grave,10,1651.0,1709.2,1.0345,0.2298,0.001677,-0.770,-1.449,-0.792,-1.004,5
Viola,suraigu,127,3586.3,3506.2,0.9817,0.2111,0.001612,-0.890,-1.508,-0.914,-1.104,6
Violin_Ensemble,aigu,12,3145.0,2662.8,0.8489,0.4570,0.001354,-1.191,-0.739,-1.407,-1.112,6
Clarinet_Bb,suraigu,9,1886.0,1635.2,0.8598,0.0674,0.001779,-1.166,-1.957,-0.596,-1.240,5
Violin,aigu,176,3832.8,3411.1,0.8958,0.3570,0.001191,-1.085,-1.051,-1.717,-1.284,6
Oboe,suraigu,6,2902.5,2222.0,0.7825,0.0000,0.001677,-1.342,-2.168,-0.792,-1.434,5
Violin_Ensemble,suraigu,12,4062.8,3088.5,0.7609,0.0008,0.001354,-1.391,-2.165,-1.407,-1.654,6
Violin,suraigu,92,4951.8,4125.8,0.8362,0.0335,0.001191,-1.220,-2.063,-1.717,-1.667,6
