instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Contrabass_Ensemble,grave,32,-26.8442,40.7026,-6.5977,14.3989,-6.5761,5.8787,1.6266,0.5440,3.7443,-3.8099,3.5949,-2.0254,1.1853
Contrabass_Ensemble,médium,30,-20.7566,41.7411,-9.9519,13.7512,-7.5247,6.0508,1.0331,-0.4022,3.5269,-4.1136,3.7563,-2.4769,1.0237
Bass_Tuba,médium,60,-38.8335,40.2578,0.2053,13.6106,-6.0152,3.1731,-1.4720,-2.8027,1.9218,-3.1839,1.9516,-2.0665,1.1965
Contrabass_Ensemble,aigu,30,-12.9632,40.8839,-15.1865,13.7630,-9.8966,5.5177,-0.5604,-1.9941,3.2026,-5.3302,3.2320,-4.0352,0.2280
Bass_Tuba,grave,55,-41.6830,39.2895,0.2000,12.7183,-5.6971,2.7637,-1.6195,-2.8023,1.5857,-3.2120,1.8757,-1.8782,1.1343
Contrabass,grave,108,-24.0841,37.6561,-10.0517,14.8171,-7.7409,6.8097,0.8174,0.1517,4.5413,-4.1595,3.3788,-3.1911,1.5784
Bass_Tuba,aigu,45,-37.1295,40.0789,-1.9561,11.6049,-8.4873,1.2492,-3.0855,-4.4053,0.1858,-5.2867,-0.1428,-4.0071,-0.3151
Horn,pédale,3,-46.9094,34.3703,-2.4310,12.8100,-3.8859,1.8915,-2.4754,-2.6748,1.4507,-3.3804,2.3712,-0.9061,0.0051
Contrabass,médium,240,-22.7493,37.5430,-11.5818,14.3489,-7.8737,6.6479,0.5393,-0.1960,4.5393,-3.9583,3.4631,-3.2688,1.5377
Violoncello_Ensemble,grave,32,-13.5747,42.2851,-14.0915,14.0048,-7.5496,6.7107,-0.6477,-2.2388,3.5563,-4.1387,4.1847,-3.2501,0.5730
Bass_Tuba,suraigu,29,-35.1449,38.8451,-6.8877,7.6511,-11.4835,-0.6729,-4.5800,-5.6827,-0.4931,-6.1581,-0.8273,-4.2060,-0.3357
Bass_Clarinet_Bb,grave,57,-0.1523,47.1753,-17.7400,13.9800,-9.1474,7.1973,-0.6235,-1.7198,4.2529,-4.4300,5.0443,-3.4872,1.3897
Violoncello_Ensemble,médium,54,-9.8975,42.5221,-16.2615,14.1390,-8.1235,6.2042,-1.1398,-2.1566,3.8989,-4.3841,4.3223,-3.1371,0.7800
