instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Clarinet_Bb,gorge,Viola_Ensemble,grave,355,355,0,1391,1304,87,0.983,/o/–/å/
Horn,pédale,Violoncello,aigu,236,236,0,911,1251,340,0.978,/u/
Contrabass,suraigu,Violoncello_Ensemble,aigu,236,236,0,1275,1277,2,0.963,/u/
Horn,pédale,Violoncello_Ensemble,aigu,236,236,0,911,1277,366,0.950,/u/
Flute,grave,Viola,médium,333,333,0,1377,1317,60,0.947,autre
Violoncello,grave,Violoncello_Ensemble,grave,193,193,0,1149,1155,6,0.942,/u/
Violoncello,grave,Violoncello_Ensemble,médium,193,193,0,1149,1208,59,0.942,/u/
Violoncello,médium,Violoncello_Ensemble,grave,193,193,0,1199,1155,44,0.942,/u/
Violoncello,médium,Violoncello_Ensemble,médium,193,193,0,1199,1208,9,0.942,/u/
Violoncello,aigu,Violoncello_Ensemble,aigu,236,236,0,1251,1277,26,0.942,/u/
Violoncello,suraigu,Violoncello_Ensemble,suraigu,204,204,0,1270,1247,23,0.942,/u/
Violin,aigu,Violin_Ensemble,aigu,355,355,0,1228,1234,6,0.934,/o/–/å/
Flute,grave,Viola_Ensemble,suraigu,333,333,0,1377,1136,241,0.926,autre
Clarinet_Bb,chalumeau,Trombone,grave,215,215,0,1315,1006,309,0.925,/u/
Bass_Clarinet_Bb,aigu,Viola_Ensemble,suraigu,333,333,0,1278,1136,142,0.917,autre
Bass_Clarinet_Bb,grave,Contrabass,aigu,172,172,0,1257,1253,4,0.916,/u/
Viola,grave,Viola_Ensemble,aigu,366,366,0,1305,1292,13,0.916,/o/–/å/
Viola,médium,Viola_Ensemble,suraigu,333,333,0,1317,1136,181,0.916,autre
Viola,suraigu,Viola_Ensemble,aigu,366,366,0,1095,1292,197,0.916,/o/–/å/
Contrabass,suraigu,Horn,pédale,236,236,0,1275,911,364,0.909,/u/
Contrabass,suraigu,Violoncello,aigu,236,236,0,1275,1251,24,0.905,/u/
Viola,grave,Violin,médium,366,366,0,1305,1115,190,0.889,/o/–/å/
Viola,aigu,Violin,suraigu,398,398,0,1232,1207,25,0.889,/o/–/å/
Viola,suraigu,Violin,médium,366,366,0,1095,1115,20,0.889,/o/–/å/
Bass_Tuba,médium,Violoncello_Ensemble,suraigu,204,204,0,1000,1247,247,0.874,/u/
Flute,médium,Trumpet_C,grave,495,495,0,1436,1259,177,0.873,/o/–/å/
Contrabass,grave,Contrabass_Ensemble,grave,161,161,0,1207,1127,80,0.871,/u/
Contrabass,médium,Contrabass_Ensemble,grave,161,161,0,1204,1127,77,0.871,/u/
Contrabass,aigu,Contrabass_Ensemble,médium,172,172,0,1253,1188,65,0.871,/u/
Viola_Ensemble,grave,Violin_Ensemble,aigu,355,355,0,1304,1234,70,0.870,/o/–/å/
Bass_Clarinet_Bb,aigu,Flute,grave,333,333,0,1278,1377,99,0.842,autre
Clarinet_Bb,gorge,Violin_Ensemble,aigu,355,355,0,1391,1234,157,0.839,/o/–/å/
Contrabass_Ensemble,aigu,Violoncello_Ensemble,grave,193,193,0,1225,1155,70,0.834,/u/
Contrabass_Ensemble,aigu,Violoncello_Ensemble,médium,193,193,0,1225,1208,17,0.834,/u/
Contrabass_Ensemble,suraigu,Violoncello_Ensemble,grave,193,193,0,1258,1155,103,0.834,/u/
Contrabass_Ensemble,suraigu,Violoncello_Ensemble,médium,193,193,0,1258,1208,50,0.834,/u/
Bass_Clarinet_Bb,aigu,Viola,médium,333,333,0,1278,1317,39,0.833,autre
Bass_Tuba,grave,Trombone,grave,215,215,0,978,1006,28,0.823,/u/
Bass_Clarinet_Bb,aigu,Bass_Tuba,suraigu,333,333,0,1278,1042,236,0.819,autre
Bass_Tuba,médium,Violoncello,suraigu,204,204,0,1000,1270,270,0.812,/u/
Viola_Ensemble,grave,Violin,aigu,355,355,0,1304,1228,76,0.805,/o/–/å/
Viola_Ensemble,aigu,Violin,médium,366,366,0,1292,1115,177,0.805,/o/–/å/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,médium,172,172,0,1257,1188,69,0.787,/u/
Clarinet_Bb,gorge,Violin,aigu,355,355,0,1391,1228,163,0.780,/o/–/å/
Horn,aigu,Violin_Ensemble,grave,484,484,0,1014,1295,281,0.779,/o/–/å/
Contrabass_Ensemble,aigu,Violoncello,grave,193,193,0,1225,1149,76,0.775,/u/
Contrabass_Ensemble,aigu,Violoncello,médium,193,193,0,1225,1199,26,0.775,/u/
Contrabass_Ensemble,suraigu,Violoncello,grave,193,193,0,1258,1149,109,0.775,/u/
Contrabass_Ensemble,suraigu,Violoncello,médium,193,193,0,1258,1199,59,0.775,/u/
Bass_Tuba,grave,Clarinet_Bb,chalumeau,215,215,0,978,1315,337,0.766,/u/
